group,cell,age_band,branch_entropy,dominant_share,n_days,perturbation,amp,verdict
cell_age,HIGH_BREADTH_HIGH_DISP,AGE_1,1.1546358402523806,0.7341772151898734,79,,,ENTROPY_DEEP_MAP_BUILT
cell_age,HIGH_BREADTH_HIGH_DISP,AGE_2_3,1.0298263089473891,0.8,100,,,ENTROPY_DEEP_MAP_BUILT
cell_age,HIGH_BREADTH_HIGH_DISP,AGE_4_7,0.6455171507029792,0.896,125,,,ENTROPY_DEEP_MAP_BUILT
cell_age,HIGH_BREADTH_HIGH_DISP,AGE_8_14,0.5242447814241266,0.9193548387096774,124,,,ENTROPY_DEEP_MAP_BUILT
cell_age,HIGH_BREADTH_HIGH_DISP,AGE_15_PLUS,0.30839219912845484,0.9589442815249267,341,,,ENTROPY_DEEP_MAP_BUILT
cell_age,HIGH_BREADTH_LOW_DISP,AGE_1,1.325580203719837,0.6746987951807228,83,,,ENTROPY_DEEP_MAP_BUILT
cell_age,HIGH_BREADTH_LOW_DISP,AGE_2_3,1.0632216972559463,0.7684210526315789,95,,,ENTROPY_DEEP_MAP_BUILT
cell_age,HIGH_BREADTH_LOW_DISP,AGE_4_7,0.9985904589095059,0.7676767676767676,99,,,ENTROPY_DEEP_MAP_BUILT
cell_age,HIGH_BREADTH_LOW_DISP,AGE_8_14,1.1149179683468289,0.7142857142857143,35,,,ENTROPY_DEEP_MAP_BUILT
cell_age,HIGH_BREADTH_LOW_DISP,AGE_15_PLUS,,,15,,,ENTROPY_DEEP_MAP_BUILT
cell_age,LOW_BREADTH_HIGH_DISP,AGE_1,1.6307677086934358,0.5303030303030303,66,,,ENTROPY_DEEP_MAP_BUILT
cell_age,LOW_BREADTH_HIGH_DISP,AGE_2_3,1.3541591182832857,0.6607142857142857,56,,,ENTROPY_DEEP_MAP_BUILT
cell_age,LOW_BREADTH_HIGH_DISP,AGE_4_7,0.362051251733998,0.9310344827586207,58,,,ENTROPY_DEEP_MAP_BUILT
cell_age,LOW_BREADTH_HIGH_DISP,AGE_8_14,0.6383184923498898,0.8870967741935484,62,,,ENTROPY_DEEP_MAP_BUILT
cell_age,LOW_BREADTH_HIGH_DISP,AGE_15_PLUS,0.7380636700495734,0.84375,32,,,ENTROPY_DEEP_MAP_BUILT
