metric,coordinated_or_broad_n,isolated_n,coordinated_median,isolated_median,verdict
breadth,1833,812,0.312,0.33,GLOBAL_FIELD_NEUTRAL
dispersion,1833,812,0.30071417353706376,0.3076163641923182,GLOBAL_FIELD_NEUTRAL
vol,1833,812,0.04692313309074921,0.05129336024463503,GLOBAL_FIELD_NEUTRAL
btc7,1833,812,0.0010616268029787213,0.013953478684588516,GLOBAL_FIELD_NEUTRAL
eth_rel7,1833,812,-0.005984936173840327,0.0007182361466177012,GLOBAL_FIELD_NEUTRAL
concentration,1833,812,0.71858019058756,0.7127929858091757,GLOBAL_FIELD_NEUTRAL
state_age,1833,812,7.0,8.0,GLOBAL_FIELD_NEUTRAL
cell_HH,1833,812,0.3491543917075832,0.3522167487684729,GLOBAL_FIELD_NEUTRAL
