patch,coord,activation_rate_min_q,activation_rate_max_q,monotonic_binning,spearman_rho,p,q,surface_type,verdict
1001-1500,top500_breadth_30d,0.302504816955684,0.44509803921568625,True,0.11440505526235592,2.1172759449963616e-07,5.700358313451743e-07,MONOTONIC_THRESHOLD_SURFACE,ACTIVATION_SURFACES_BUILT
1001-1500,top500_dispersion_30d,0.30078125,0.416015625,False,0.0860705210768583,9.696605309323113e-05,0.00019963599166253468,THRESHOLD_SURFACE_NON_MONOTONIC,ACTIVATION_SURFACES_BUILT
1001-1500,vol_med,0.310546875,0.37109375,False,0.0491147458201037,0.02631189190117248,0.04003983550178421,THRESHOLD_SURFACE_NON_MONOTONIC,ACTIVATION_SURFACES_BUILT
1001-1500,btc_return_7d,0.23046875,0.509765625,True,0.23791885208489405,1.0078573170806462e-27,1.1758335365940872e-26,MONOTONIC_THRESHOLD_SURFACE,ACTIVATION_SURFACES_BUILT
1001-1500,top3_share,0.3268101761252446,0.365234375,False,0.0015007861782672638,0.9459104457439659,0.9459104457439659,NO_STABLE_SURFACE,ACTIVATION_SURFACES_BUILT
101-250,top500_breadth_30d,0.4258188824662813,0.5686274509803921,True,0.11093323756471858,4.89765859778318e-07,1.1427870061494087e-06,MONOTONIC_THRESHOLD_SURFACE,ACTIVATION_SURFACES_BUILT
101-250,top500_dispersion_30d,0.447265625,0.5234375,False,0.058118467199150016,0.008551727524804318,0.013605021062188688,THRESHOLD_SURFACE_NON_MONOTONIC,ACTIVATION_SURFACES_BUILT
101-250,vol_med,0.47162426614481406,0.490234375,False,-0.0063909943556127976,0.7726514615369943,0.8194788228422667,NO_STABLE_SURFACE,ACTIVATION_SURFACES_BUILT
101-250,btc_return_7d,0.380859375,0.625,True,0.1974732793403884,1.9558965271206682e-19,9.77948263560334e-19,MONOTONIC_THRESHOLD_SURFACE,ACTIVATION_SURFACES_BUILT
101-250,top3_share,0.447265625,0.505859375,False,0.033948948767998643,0.12475736825629619,0.15594671032037022,NO_STABLE_SURFACE,ACTIVATION_SURFACES_BUILT
1501-2000,top500_breadth_30d,0.2909441233140655,0.47058823529411764,True,0.1378425906349093,3.82282530088403e-10,1.486654283677123e-09,MONOTONIC_THRESHOLD_SURFACE,ACTIVATION_SURFACES_BUILT
1501-2000,top500_dispersion_30d,0.29296875,0.447265625,True,0.12446793677918498,1.617955172829074e-08,4.7190359207514654e-08,MONOTONIC_THRESHOLD_SURFACE,ACTIVATION_SURFACES_BUILT
1501-2000,vol_med,0.298828125,0.40234375,False,0.07227411031227647,0.0010700265016594928,0.0018725463779041124,THRESHOLD_SURFACE_NON_MONOTONIC,ACTIVATION_SURFACES_BUILT
1501-2000,btc_return_7d,0.232421875,0.5234375,True,0.24601425381228198,1.3870527834803085e-29,2.42734237109054e-28,MONOTONIC_THRESHOLD_SURFACE,ACTIVATION_SURFACES_BUILT
1501-2000,top3_share,0.30919765166340507,0.390625,False,-0.03644829001929717,0.09931249380296958,0.12873841789273835,NO_STABLE_SURFACE,ACTIVATION_SURFACES_BUILT
251-500,top500_breadth_30d,0.394990366088632,0.5588235294117647,True,0.12806953437287238,6.1235553020501345e-09,1.9484039597432246e-08,MONOTONIC_THRESHOLD_SURFACE,ACTIVATION_SURFACES_BUILT
251-500,top500_dispersion_30d,0.427734375,0.509765625,True,0.06107157283174874,0.0057215692413085184,0.009535948735514197,MONOTONIC_THRESHOLD_SURFACE,ACTIVATION_SURFACES_BUILT
251-500,vol_med,0.4500978473581213,0.458984375,False,-0.0018161622981199698,0.934567315728961,0.9459104457439659,NO_STABLE_SURFACE,ACTIVATION_SURFACES_BUILT
251-500,btc_return_7d,0.328125,0.59765625,True,0.21892316111793436,1.2678474624022937e-23,8.874932236816056e-23,MONOTONIC_THRESHOLD_SURFACE,ACTIVATION_SURFACES_BUILT
251-500,top3_share,0.42578125,0.4765625,False,0.028631557693417384,0.19547292382632203,0.23591559772142312,NO_STABLE_SURFACE,ACTIVATION_SURFACES_BUILT
26-100,top500_breadth_30d,0.41811175337186895,0.5686274509803921,True,0.11280124124662977,3.128707541991268e-07,7.821768854978169e-07,MONOTONIC_THRESHOLD_SURFACE,ACTIVATION_SURFACES_BUILT
26-100,top500_dispersion_30d,0.43359375,0.53125,True,0.07464805705699935,0.0007270043065083153,0.001339218459357423,MONOTONIC_THRESHOLD_SURFACE,ACTIVATION_SURFACES_BUILT
26-100,vol_med,0.461839530332681,0.498046875,False,0.02320544334284869,0.29411120536784807,0.34312973959582277,NO_STABLE_SURFACE,ACTIVATION_SURFACES_BUILT
26-100,btc_return_7d,0.37109375,0.619140625,True,0.2016743042140393,3.215733692360615e-20,1.8758446538770251e-19,MONOTONIC_THRESHOLD_SURFACE,ACTIVATION_SURFACES_BUILT
26-100,top3_share,0.45792563600782776,0.49609375,False,0.02020397507916987,0.36102394177721614,0.40760767620008276,NO_STABLE_SURFACE,ACTIVATION_SURFACES_BUILT
501-750,top500_breadth_30d,0.3583815028901734,0.5313725490196078,True,0.13060444896795856,3.0404558402250847e-09,1.0641595440787797e-08,MONOTONIC_THRESHOLD_SURFACE,ACTIVATION_SURFACES_BUILT
501-750,top500_dispersion_30d,0.384765625,0.490234375,True,0.08238182564455636,0.00019116087026253622,0.0003717016921771538,MONOTONIC_THRESHOLD_SURFACE,ACTIVATION_SURFACES_BUILT
501-750,vol_med,0.40625,0.44227005870841485,False,0.019240442632916435,0.384384331637835,0.420420362728882,NO_STABLE_SURFACE,ACTIVATION_SURFACES_BUILT
501-750,btc_return_7d,0.306640625,0.59375,True,0.23007205232211522,5.521716146630395e-26,4.831501628301596e-25,MONOTONIC_THRESHOLD_SURFACE,ACTIVATION_SURFACES_BUILT
501-750,top3_share,0.39453125,0.462890625,False,0.044986959448888975,0.04188412846602886,0.061081020679625425,THRESHOLD_SURFACE_NON_MONOTONIC,ACTIVATION_SURFACES_BUILT
751-1000,top500_breadth_30d,0.3179190751445087,0.515686274509804,True,0.1442726685895838,5.5201460141763774e-11,2.415063881202165e-10,MONOTONIC_THRESHOLD_SURFACE,ACTIVATION_SURFACES_BUILT
751-1000,top500_dispersion_30d,0.341796875,0.47265625,True,0.10372080646997113,2.5839252625614692e-06,5.652336511853214e-06,MONOTONIC_THRESHOLD_SURFACE,ACTIVATION_SURFACES_BUILT
751-1000,vol_med,0.36328125,0.427734375,False,0.04130562673227363,0.06175904060524858,0.08646265684734801,THRESHOLD_SURFACE_NON_MONOTONIC,ACTIVATION_SURFACES_BUILT
751-1000,btc_return_7d,0.279296875,0.587890625,True,0.24967168407601756,1.89865609673129e-30,6.645296338559516e-29,MONOTONIC_THRESHOLD_SURFACE,ACTIVATION_SURFACES_BUILT
751-1000,top3_share,0.380859375,0.435546875,False,0.037702317888258334,0.08820509548149297,0.11873762853277899,NO_STABLE_SURFACE,ACTIVATION_SURFACES_BUILT
