sigma_class,abs_class,shock_cell,n,p_fwd7_pos,p_reversal,med_fwd7,med_fwd14,p_high_sigma_abs,auc_sigma_only,auc_abs_only,auc_both,delta_auc_abs_adds,delta_auc_sigma_adds,verdict
2-3,10-20%,2-3|10-20%,42541,0.4679015537951623,0.549493429867657,-0.010884991846978664,-0.012472745031118393,0.0,0.5165032823985221,0.5121218490701186,0.5282049643314893,0.011701681932967278,0.01608311526137074,FULL_2D_SHOCK_MAP_BUILT
2-3,2-5%,2-3|2-5%,4299,0.4559199813910212,0.49685973482205165,-0.005018413066864014,-0.004887262359261513,0.0,0.5165032823985221,0.5121218490701186,0.5282049643314893,0.011701681932967278,0.01608311526137074,FULL_2D_SHOCK_MAP_BUILT
2-3,5-10%,2-3|5-10%,22235,0.4663368563076231,0.49417584888689003,-0.006905782502144575,-0.01083354651927948,0.0,0.5165032823985221,0.5121218490701186,0.5282049643314893,0.011701681932967278,0.01608311526137074,FULL_2D_SHOCK_MAP_BUILT
2-3,<2%,2-3|<2%,2276,0.5338312829525483,0.5799648506151143,0.00021886485046707094,0.00016880598559509963,0.0,0.5165032823985221,0.5121218490701186,0.5282049643314893,0.011701681932967278,0.01608311526137074,FULL_2D_SHOCK_MAP_BUILT
2-3,>20%,2-3|>20%,32634,0.5291107433964577,0.5962186676472391,0.020947955548763275,0.06695447117090225,0.0,0.5165032823985221,0.5121218490701186,0.5282049643314893,0.011701681932967278,0.01608311526137074,FULL_2D_SHOCK_MAP_BUILT
3-4,10-20%,3-4|10-20%,11958,0.4518314099347717,0.5472487037966215,-0.014173604547977448,-0.021836385130882263,0.0,0.5165032823985221,0.5121218490701186,0.5282049643314893,0.011701681932967278,0.01608311526137074,FULL_2D_SHOCK_MAP_BUILT
3-4,2-5%,3-4|2-5%,758,0.4736147757255937,0.521108179419525,-0.001981359673663974,-0.004759093280881643,0.0,0.5165032823985221,0.5121218490701186,0.5282049643314893,0.011701681932967278,0.01608311526137074,FULL_2D_SHOCK_MAP_BUILT
3-4,5-10%,3-4|5-10%,3189,0.44528065224208213,0.4656632173095014,-0.011502978391945362,-0.01108341384679079,0.0,0.5165032823985221,0.5121218490701186,0.5282049643314893,0.011701681932967278,0.01608311526137074,FULL_2D_SHOCK_MAP_BUILT
3-4,<2%,3-4|<2%,599,0.5208681135225376,0.6076794657762938,0.00022825687483418733,0.00015309515583794564,0.0,0.5165032823985221,0.5121218490701186,0.5282049643314893,0.011701681932967278,0.01608311526137074,FULL_2D_SHOCK_MAP_BUILT
3-4,>20%,3-4|>20%,18056,0.4874833850243686,0.5921023482498893,-0.0034581790678203106,0.024961063638329506,0.0,0.5165032823985221,0.5121218490701186,0.5282049643314893,0.011701681932967278,0.01608311526137074,FULL_2D_SHOCK_MAP_BUILT
4+,10-20%,4+|10-20%,5995,0.46605504587155966,0.5412844036697247,-0.009494648315012455,-0.00980619341135025,0.0,0.5165032823985221,0.5121218490701186,0.5282049643314893,0.011701681932967278,0.01608311526137074,FULL_2D_SHOCK_MAP_BUILT
4+,2-5%,4+|2-5%,418,0.4880382775119617,0.569377990430622,-0.0001867911487352103,0.002047783462330699,0.0,0.5165032823985221,0.5121218490701186,0.5282049643314893,0.011701681932967278,0.01608311526137074,FULL_2D_SHOCK_MAP_BUILT
4+,5-10%,4+|5-10%,1238,0.44426494345718903,0.48707592891760904,-0.005507752299308777,-0.005188983865082264,0.0,0.5165032823985221,0.5121218490701186,0.5282049643314893,0.011701681932967278,0.01608311526137074,FULL_2D_SHOCK_MAP_BUILT
4+,<2%,4+|<2%,384,0.5104166666666666,0.6848958333333334,7.997415377758443e-05,2.1237075998215005e-05,0.0,0.5165032823985221,0.5121218490701186,0.5282049643314893,0.011701681932967278,0.01608311526137074,FULL_2D_SHOCK_MAP_BUILT
4+,>20%,4+|>20%,31286,0.44815572460525477,0.600332417055552,-0.029634900391101837,-0.002649212721735239,0.0,0.5165032823985221,0.5121218490701186,0.5282049643314893,0.011701681932967278,0.01608311526137074,FULL_2D_SHOCK_MAP_BUILT
