patch,perturbation,amp_band,n,activation_prob_3d,tail_share_after,median_ret_after,response_shape,verdict
UPPER_CORE,brd_jump,Q1,164,0.9207317073170732,0.032099127334486624,0.006087713409215212,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,brd_jump,Q2,165,0.9393939393939394,0.024722604458409205,0.0033321944065392017,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,brd_jump,Q3,157,0.9044585987261147,0.02657952480918772,0.0053804898634552956,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,brd_jump,Q4,162,0.9685534591194969,0.02973447287721867,0.0072631798684597015,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,brd_drop,Q1,183,0.9180327868852459,0.040796637952244585,-0.007185694295912981,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,brd_drop,Q2,187,0.9144385026737968,0.03764275483140847,-0.00843270868062973,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,brd_drop,Q3,179,0.8994413407821229,0.03491434339383904,-0.016827082261443138,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,brd_drop,Q4,183,0.9398907103825137,0.043266709557946384,-0.02140842191874981,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,disp_jump,Q1,142,0.9432624113475178,0.036454180083109584,0.0032073375768959522,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,disp_jump,Q2,141,0.9219858156028369,0.03379917952622581,0.0010256824316456914,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,disp_jump,Q3,141,0.9432624113475178,0.039821893229627765,0.00483431201428175,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,disp_jump,Q4,141,0.9361702127659575,0.055631983599045226,0.005377758760005236,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,disp_drop,Q1,148,0.8918918918918919,0.03713693098559129,-0.006184183526784182,MONOTONIC_RISING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,disp_drop,Q2,147,0.9387755102040817,0.029956981118893878,-0.013279414735734463,MONOTONIC_RISING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,disp_drop,Q3,147,0.9319727891156463,0.04372798688682238,-0.01646268181502819,MONOTONIC_RISING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,disp_drop,Q4,147,0.9523809523809523,0.04953739844679604,-0.0053868480026721954,MONOTONIC_RISING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,btc_shock,Q1,127,0.937007874015748,0.0458776032701602,-0.004548628814518452,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,btc_shock,Q2,127,0.952755905511811,0.04438595486198318,-0.0017477992223575711,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,btc_shock,Q3,127,0.9448818897637795,0.06056613161026945,-0.0066051664762198925,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,btc_shock,Q4,127,0.9758064516129032,0.07182260931920015,-0.0061501311138272285,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,conc_shock,Q1,78,0.9487179487179487,0.05928158214326775,0.0017883626278489828,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,conc_shock,Q2,77,0.948051948051948,0.07655639772390738,-0.01126216258853674,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,conc_shock,Q3,77,0.9090909090909091,0.03564386613361657,0.0002957065880764276,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,conc_shock,Q4,78,0.9230769230769231,0.0319145102858261,-0.006324579939246178,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,vol_shock,Q1,69,0.927536231884058,0.04505235474568851,-0.006658514961600304,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,vol_shock,Q2,68,0.9264705882352942,0.057052612984442995,-0.004953228868544102,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,vol_shock,Q3,68,0.9692307692307692,0.07889716333510109,-0.0003559434844646603,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_CORE,vol_shock,Q4,68,0.9558823529411765,0.14043128561098422,-0.01961706206202507,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,brd_jump,Q1,164,0.9024390243902439,0.040596954793904384,0.00492917699739337,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,brd_jump,Q2,165,0.9090909090909091,0.03596636739024969,0.0031342701986432076,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,brd_jump,Q3,157,0.910828025477707,0.03582270869922896,0.005224509164690971,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,brd_jump,Q4,162,0.9371069182389937,0.037012248894225705,0.006513094995170832,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,brd_drop,Q1,183,0.912568306010929,0.04955536519199146,-0.007749948184937239,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,brd_drop,Q2,187,0.9090909090909091,0.04911772535765558,-0.008045797236263752,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,brd_drop,Q3,179,0.9162011173184358,0.043112817595940066,-0.016660509631037712,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,brd_drop,Q4,183,0.9344262295081968,0.05579530365987021,-0.02083238959312439,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,disp_jump,Q1,142,0.900709219858156,0.04631057948072107,0.00226472201757133,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,disp_jump,Q2,141,0.9078014184397163,0.04300890034882524,0.001016200054436922,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,disp_jump,Q3,141,0.9219858156028369,0.05048024390653509,0.0035927880089730024,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,disp_jump,Q4,141,0.9290780141843972,0.06694763439031996,0.0052317907102406025,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,disp_drop,Q1,148,0.9054054054054054,0.0465989317805483,-0.006357405800372362,MONOTONIC_RISING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,disp_drop,Q2,147,0.9523809523809523,0.04177007761980734,-0.012592545710504055,MONOTONIC_RISING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,disp_drop,Q3,147,0.9591836734693877,0.055251578373667586,-0.015848379582166672,MONOTONIC_RISING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,disp_drop,Q4,147,0.9591836734693877,0.05938906906160136,-0.006591629236936569,MONOTONIC_RISING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,btc_shock,Q1,127,0.952755905511811,0.05499638539347419,-0.00406899256631732,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,btc_shock,Q2,127,0.952755905511811,0.05285445872506417,-0.002675087423995137,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,btc_shock,Q3,127,0.952755905511811,0.06876395394422945,-0.006273556966334581,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,btc_shock,Q4,127,0.9758064516129032,0.08000672602764818,-0.0069994693621993065,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,conc_shock,Q1,78,0.8974358974358975,0.06431533483613468,-0.000384001323254779,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,conc_shock,Q2,77,0.961038961038961,0.07877324034948235,-0.01143124233931303,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,conc_shock,Q3,77,0.8831168831168831,0.04375798391088331,8.213356341002509e-05,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,conc_shock,Q4,78,0.8974358974358975,0.04860617943308215,-0.005748656112700701,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,vol_shock,Q1,69,0.927536231884058,0.058688265938501995,-0.00685318885371089,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,vol_shock,Q2,68,0.9558823529411765,0.06471643271072963,-0.005996807478368282,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,vol_shock,Q3,68,0.9538461538461539,0.08079700250292221,-0.0008049994939938188,SATURATING,PATCH_RESPONSE_CURVES_BUILT
UPPER_MID,vol_shock,Q4,68,0.9264705882352942,0.14185197892626977,-0.019128087908029556,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,brd_jump,Q1,164,0.9085365853658537,0.05072492914670284,0.004526894073933363,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,brd_jump,Q2,165,0.8848484848484849,0.04684663663013155,0.0025794710963964462,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,brd_jump,Q3,157,0.8789808917197452,0.04548952129700587,0.005005749873816967,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,brd_jump,Q4,162,0.9119496855345912,0.045863283014217465,0.00526090431958437,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,brd_drop,Q1,183,0.9234972677595629,0.061536102238365,-0.008287309668958187,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,brd_drop,Q2,187,0.8770053475935828,0.06100729536526761,-0.007787338458001614,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,brd_drop,Q3,179,0.8547486033519553,0.05361187850271999,-0.016203125938773155,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,brd_drop,Q4,183,0.9180327868852459,0.06046767199484975,-0.02110075205564499,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,disp_jump,Q1,142,0.8936170212765957,0.05428280288899791,0.002816765569150448,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,disp_jump,Q2,141,0.8794326241134752,0.05451499748108407,0.0008760688360780478,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,disp_jump,Q3,141,0.8865248226950354,0.06017096206282805,0.003004486672580242,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,disp_jump,Q4,141,0.9290780141843972,0.07987532101808625,0.00393309909850359,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,disp_drop,Q1,148,0.8851351351351351,0.05372978058605714,-0.00630566943436861,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,disp_drop,Q2,147,0.9319727891156463,0.05520728326343453,-0.012567012570798397,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,disp_drop,Q3,147,0.9115646258503401,0.06952548207923877,-0.01654515229165554,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,disp_drop,Q4,147,0.9115646258503401,0.07753362185620707,-0.007282712962478399,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,btc_shock,Q1,127,0.9291338582677166,0.07071353251246641,-0.003403149778023362,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,btc_shock,Q2,127,0.9291338582677166,0.058420306672926074,-0.003480644430965185,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,btc_shock,Q3,127,0.9448818897637795,0.07721761455970055,-0.006309663411229849,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,btc_shock,Q4,127,0.9596774193548387,0.09314539960741518,-0.007307805120944977,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,conc_shock,Q1,78,0.9102564102564102,0.08085452160886841,-0.0015193120343610644,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,conc_shock,Q2,77,0.922077922077922,0.09070885254496977,-0.01202714629471302,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,conc_shock,Q3,77,0.8961038961038961,0.05987629981990639,-0.001213040784932673,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,conc_shock,Q4,78,0.8846153846153846,0.06338320607206006,-0.005488547496497631,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,vol_shock,Q1,69,0.8840579710144928,0.0703959098166462,-0.006528285797685385,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,vol_shock,Q2,68,0.9117647058823529,0.08413708071633157,-0.006426988635212183,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,vol_shock,Q3,68,0.9692307692307692,0.08948587870749578,-0.0013865712098777294,SATURATING,PATCH_RESPONSE_CURVES_BUILT
MID,vol_shock,Q4,68,0.9117647058823529,0.1424208144245037,-0.018826240673661232,SATURATING,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,brd_jump,Q1,164,0.8719512195121951,0.06088134372192519,0.0037405763287097216,SATURATING,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,brd_jump,Q2,165,0.8242424242424242,0.056395879633021666,0.0017664668848738074,SATURATING,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,brd_jump,Q3,157,0.8535031847133758,0.05417186204033989,0.00359471351839602,SATURATING,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,brd_jump,Q4,162,0.9119496855345912,0.05187281701189476,0.003186730435118079,SATURATING,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,brd_drop,Q1,183,0.8469945355191257,0.07276440007091048,-0.008164722472429276,THRESHOLD,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,brd_drop,Q2,187,0.8770053475935828,0.06574878257616047,-0.00832446850836277,THRESHOLD,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,brd_drop,Q3,179,0.8100558659217877,0.059754592607055144,-0.015696611255407333,THRESHOLD,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,brd_drop,Q4,183,0.8907103825136612,0.06723778061505656,-0.01910415105521679,THRESHOLD,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,disp_jump,Q1,142,0.9078014184397163,0.06396186643066118,0.000952683505602181,SATURATING,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,disp_jump,Q2,141,0.8581560283687943,0.06158958822852085,-0.000221339549170807,SATURATING,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,disp_jump,Q3,141,0.8581560283687943,0.07152264964327797,0.0011819739593192935,SATURATING,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,disp_jump,Q4,141,0.9078014184397163,0.08914836799768969,0.0035948085132986307,SATURATING,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,disp_drop,Q1,148,0.8716216216216216,0.06223116284920288,-0.006569665856659412,SATURATING,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,disp_drop,Q2,147,0.9047619047619048,0.06262736994233918,-0.012025944888591766,SATURATING,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,disp_drop,Q3,147,0.8367346938775511,0.07706626697538177,-0.015704600140452385,SATURATING,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,disp_drop,Q4,147,0.8503401360544217,0.08354185971117609,-0.007658232003450394,SATURATING,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,btc_shock,Q1,127,0.937007874015748,0.07999950719470994,-0.0045190234668552876,SATURATING,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,btc_shock,Q2,127,0.937007874015748,0.06916646216751947,-0.004284912720322609,SATURATING,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,btc_shock,Q3,127,0.9448818897637795,0.08292358405080315,-0.006163190584629774,SATURATING,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,btc_shock,Q4,127,0.9516129032258065,0.0987598142105637,-0.007952224463224411,SATURATING,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,conc_shock,Q1,78,0.9102564102564102,0.08725516446279934,-0.0032389156986027956,SATURATING,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,conc_shock,Q2,77,0.9090909090909091,0.09874667977136399,-0.012524868361651897,SATURATING,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,conc_shock,Q3,77,0.8701298701298701,0.06453035097125306,-0.0013356569688767195,SATURATING,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,conc_shock,Q4,78,0.8717948717948718,0.07717632794464231,-0.006144516170024872,SATURATING,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,vol_shock,Q1,69,0.8985507246376812,0.07714923692311361,-0.007273474242538214,SATURATING,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,vol_shock,Q2,68,0.8970588235294118,0.0878693317628031,-0.007829788140952587,SATURATING,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,vol_shock,Q3,68,0.9230769230769231,0.09143164157020638,-0.0025905121583491564,SATURATING,PATCH_RESPONSE_CURVES_BUILT
LOWER_MID,vol_shock,Q4,68,0.9117647058823529,0.15099378710009947,-0.019928351044654846,SATURATING,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,brd_jump,Q1,164,0.8597560975609756,0.07461769570283969,0.0032597023528069258,SATURATING,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,brd_jump,Q2,165,0.8303030303030303,0.06741771335070701,0.002068506320938468,SATURATING,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,brd_jump,Q3,157,0.8343949044585988,0.06410596992095247,0.002845118287950754,SATURATING,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,brd_jump,Q4,162,0.8616352201257862,0.06911214719487598,0.0031272019259631634,SATURATING,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,brd_drop,Q1,183,0.825136612021858,0.08479028771151292,-0.008175687864422798,SATURATING,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,brd_drop,Q2,187,0.8128342245989305,0.0751540738010772,-0.008488940075039864,SATURATING,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,brd_drop,Q3,179,0.8100558659217877,0.06645690769366833,-0.01495947502553463,SATURATING,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,brd_drop,Q4,183,0.8415300546448088,0.07356384379299051,-0.01740661822259426,SATURATING,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,disp_jump,Q1,142,0.8652482269503546,0.0716583622918579,2.6495628844713792e-05,SATURATING,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,disp_jump,Q2,141,0.8226950354609929,0.07372286260821569,8.40609718579799e-05,SATURATING,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,disp_jump,Q3,141,0.8297872340425532,0.08214067028282251,0.0007588110747747123,SATURATING,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,disp_jump,Q4,141,0.900709219858156,0.10448186906338522,0.0030009944457560778,SATURATING,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,disp_drop,Q1,148,0.8108108108108109,0.06745011148053787,-0.0066501484252512455,SATURATING,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,disp_drop,Q2,147,0.8843537414965986,0.07285688421110624,-0.010971763171255589,SATURATING,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,disp_drop,Q3,147,0.8503401360544217,0.08770285601960377,-0.014061558060348034,SATURATING,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,disp_drop,Q4,147,0.8163265306122449,0.09781670710895148,-0.007737922016531229,SATURATING,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,btc_shock,Q1,127,0.9212598425196851,0.09549027295428084,-0.0038054389879107475,SATURATING,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,btc_shock,Q2,127,0.937007874015748,0.08073579228753856,-0.004400774370878935,SATURATING,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,btc_shock,Q3,127,0.9212598425196851,0.09576776411270595,-0.006194837857037783,SATURATING,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,btc_shock,Q4,127,0.9354838709677419,0.11021991767499716,-0.007155137602239847,SATURATING,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,conc_shock,Q1,78,0.9102564102564102,0.10371611428398197,-0.001847198000177741,NO_STABLE_RESPONSE,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,conc_shock,Q2,77,0.8831168831168831,0.11203742982431769,-0.012220686301589012,NO_STABLE_RESPONSE,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,conc_shock,Q3,77,0.8311688311688312,0.07466952600683309,-0.0014459812082350254,NO_STABLE_RESPONSE,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,conc_shock,Q4,78,0.8589743589743589,0.08771216601856191,-0.007392582017928362,NO_STABLE_RESPONSE,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,vol_shock,Q1,69,0.8840579710144928,0.08223005479156893,-0.006543928291648626,SATURATING,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,vol_shock,Q2,68,0.9117647058823529,0.09821275959022943,-0.009158491156995296,SATURATING,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,vol_shock,Q3,68,0.9230769230769231,0.09703610737773967,-0.0014579081907868385,SATURATING,PATCH_RESPONSE_CURVES_BUILT
TRANSITION,vol_shock,Q4,68,0.8823529411764706,0.15703434295237922,-0.01932665891945362,SATURATING,PATCH_RESPONSE_CURVES_BUILT
