subtype,n,med_breadth,med_dispersion,med_vol,med_btc7,med_age,p_HH,n_subperiods,verdict
FRAGMENTED_ACTIVATION,1,0.788,1.8783994864551234,0.035558912117721664,0.00010782558885980009,3.0,1.0,0,DESCRIPTIVE
ORDERLY_SHALLOW_TO_DEEP,240,0.313,0.3019550485295057,0.04834050591467801,0.003630401178122522,7.5,0.35833333333333334,0,NAMED_SUBTYPE
