patch_a,patch_b,lag_d,spearman_rho,p,verdict
UPPER_CORE,UPPER_MID,0,0.711059335041871,0.0,WEAK_LOCAL_COLLAPSE
UPPER_CORE,UPPER_MID,1,0.4385177445266306,8.630494627294154e-104,WEAK_LOCAL_COLLAPSE
UPPER_CORE,UPPER_MID,3,0.1599492728369521,4.9622643319907613e-14,WEAK_LOCAL_COLLAPSE
UPPER_CORE,UPPER_MID,7,-0.014435797304617016,0.49973990568026067,WEAK_LOCAL_COLLAPSE
UPPER_CORE,MID,0,0.6519802342718425,6.727779441969544e-266,WEAK_LOCAL_COLLAPSE
UPPER_CORE,MID,1,0.4098177566548823,1.2627995258223802e-89,WEAK_LOCAL_COLLAPSE
UPPER_CORE,MID,3,0.15172692764486892,9.265436161788049e-13,WEAK_LOCAL_COLLAPSE
UPPER_CORE,MID,7,-0.0611841520588037,0.004196496465947516,WEAK_LOCAL_COLLAPSE
UPPER_CORE,LOWER_MID,0,0.5927623527751613,2.065008312638453e-208,WEAK_LOCAL_COLLAPSE
UPPER_CORE,LOWER_MID,1,0.3995060451047003,7.290166686451411e-85,WEAK_LOCAL_COLLAPSE
UPPER_CORE,LOWER_MID,3,0.15678468592242334,1.5595260812089688e-13,WEAK_LOCAL_COLLAPSE
UPPER_CORE,LOWER_MID,7,-0.045702756817199694,0.032541882971599254,WEAK_LOCAL_COLLAPSE
UPPER_CORE,TRANSITION,0,0.4571072650327814,8.974218742751166e-114,WEAK_LOCAL_COLLAPSE
UPPER_CORE,TRANSITION,1,0.3173060071222505,1.6467193361066525e-52,WEAK_LOCAL_COLLAPSE
UPPER_CORE,TRANSITION,3,0.13702662649827052,1.1777627015472471e-10,WEAK_LOCAL_COLLAPSE
UPPER_CORE,TRANSITION,7,-0.03154141704103295,0.14023751200535095,WEAK_LOCAL_COLLAPSE
UPPER_MID,MID,0,0.7152816588794983,0.0,WEAK_LOCAL_COLLAPSE
UPPER_MID,MID,1,0.4467274097132849,4.224597843111618e-108,WEAK_LOCAL_COLLAPSE
UPPER_MID,MID,3,0.1488184323371264,2.513410779072046e-12,WEAK_LOCAL_COLLAPSE
UPPER_MID,MID,7,-0.10357031853118706,1.2044501839547318e-06,WEAK_LOCAL_COLLAPSE
UPPER_MID,LOWER_MID,0,0.6303397894320105,1.9504369079497256e-243,WEAK_LOCAL_COLLAPSE
UPPER_MID,LOWER_MID,1,0.43490628514858126,6.235486642603596e-102,WEAK_LOCAL_COLLAPSE
UPPER_MID,LOWER_MID,3,0.179159301561915,2.870708197859962e-17,WEAK_LOCAL_COLLAPSE
UPPER_MID,LOWER_MID,7,-0.09881291444535896,3.6430087864860796e-06,WEAK_LOCAL_COLLAPSE
UPPER_MID,TRANSITION,0,0.5091551144199855,4.227163883704255e-145,WEAK_LOCAL_COLLAPSE
UPPER_MID,TRANSITION,1,0.35120132626535333,1.0622243055635606e-64,WEAK_LOCAL_COLLAPSE
UPPER_MID,TRANSITION,3,0.1338231059152472,3.171081904639995e-10,WEAK_LOCAL_COLLAPSE
UPPER_MID,TRANSITION,7,-0.09414803053192901,1.0281912171639124e-05,WEAK_LOCAL_COLLAPSE
MID,LOWER_MID,0,0.7122374302280611,0.0,WEAK_LOCAL_COLLAPSE
MID,LOWER_MID,1,0.5052762748124424,1.6455088103040827e-142,WEAK_LOCAL_COLLAPSE
MID,LOWER_MID,3,0.23854219974877852,9.781585335200177e-30,WEAK_LOCAL_COLLAPSE
MID,LOWER_MID,7,-0.048715077184195,0.022681914488566646,WEAK_LOCAL_COLLAPSE
MID,TRANSITION,0,0.5887106873754488,6.597660644805849e-205,WEAK_LOCAL_COLLAPSE
MID,TRANSITION,1,0.4313259760589648,4.1260396296709263e-100,WEAK_LOCAL_COLLAPSE
MID,TRANSITION,3,0.2134162750413748,5.368575082291274e-24,WEAK_LOCAL_COLLAPSE
MID,TRANSITION,7,-0.023736704231976564,0.26707167262030374,WEAK_LOCAL_COLLAPSE
LOWER_MID,TRANSITION,0,0.7415440251292322,0.0,WEAK_LOCAL_COLLAPSE
LOWER_MID,TRANSITION,1,0.547598152702671,6.496007738404242e-172,WEAK_LOCAL_COLLAPSE
LOWER_MID,TRANSITION,3,0.2870268448778065,7.6758155982049e-43,WEAK_LOCAL_COLLAPSE
LOWER_MID,TRANSITION,7,0.04061488672317029,0.057498428087786976,WEAK_LOCAL_COLLAPSE
