family,sign,is_coordinated,n_events,p_HH,p_LL,med_breadth,med_dispersion,med_vol,med_btc7,med_eth_rel7,med_age,p_BROAD_RISK,p_BTC_CONC,p_MIXED,n_subperiods,verdict,spread_med_breadth
ISOLATED_UP,UP,False,169,0.1242603550295858,0.5266272189349113,0.158,0.2569337131863384,0.05057206957855416,-0.028076019895748094,-0.012706112818807236,6.0,0.029585798816568046,0.20710059171597633,0.46153846153846156,5,ASYMMETRIC_FIELD_GEOMETRY,0.42499999999999993
ISOLATED_DOWN,DOWN,False,812,0.3522167487684729,0.35591133004926107,0.33,0.3076163641923182,0.05129336024463503,0.013953478684588516,0.0007182361466177012,8.0,0.11083743842364532,0.25492610837438423,0.32389162561576357,6,ASYMMETRIC_FIELD_GEOMETRY,0.42499999999999993
COORDINATED_UP,UP,True,2031,0.3476120137863122,0.37173806006893156,0.312,0.30325146347198817,0.047859972789076694,0.0037904499953447246,-0.004571513560767904,7.0,0.0965041851304776,0.26637124569177745,0.34268833087149186,6,ASYMMETRIC_FIELD_GEOMETRY,0.42499999999999993
MULTI_BAND_UP,UP,True,608,0.5855263157894737,0.19901315789473684,0.583,0.4241837580470905,0.04856694798827718,0.03799607491954138,0.00824844866179164,9.0,0.18585526315789475,0.30756578947368424,0.24013157894736842,5,ASYMMETRIC_FIELD_GEOMETRY,0.42499999999999993
COORDINATED_DOWN,DOWN,True,1833,0.3491543917075832,0.37643207855973815,0.312,0.30071417353706376,0.04692313309074921,0.0010616268029787213,-0.005984936173840327,7.0,0.09001636661211129,0.2744135297326787,0.33987997817785054,6,ASYMMETRIC_FIELD_GEOMETRY,0.42499999999999993
LOCAL_CLUSTER_DOWN,DOWN,True,1791,0.3545505304299274,0.3646007816862088,0.322,0.30435319917932807,0.048257848427103366,0.008326017469313607,-0.0025037556465619115,7.0,0.10217755443886097,0.2702400893355667,0.3394751535455053,6,ASYMMETRIC_FIELD_GEOMETRY,0.42499999999999993
