cell,n_days,n_episodes,median_dwell_d,self_transition_rate,shuffled_baseline,excess_over_baseline,p_escape_1d,recurrence_prob_60d,stationary_share,verdict,n_subperiods
HIGH_BREADTH_HIGH_DISP,770,79,3.0,0.35063752276867033,0.35034168564920276,0.00029583711946756797,0.1025974025974026,,0.35063752276867033,ORDINARY_STATE,4
HIGH_BREADTH_LOW_DISP,327,83,2.0,0.1489071038251366,0.1489749430523918,-6.783922725520086e-05,0.25382262996941896,,0.1489071038251366,ORDINARY_STATE,4
LOW_BREADTH_HIGH_DISP,274,66,2.0,0.12477231329690346,0.12482915717539864,-5.6843878495180244e-05,0.24087591240875914,,0.12477231329690346,ORDINARY_STATE,4
LOW_BREADTH_LOW_DISP,825,103,2.0,0.37522768670309653,0.37585421412300685,-0.0006265274199103166,0.12484848484848485,,0.3756830601092896,ORDINARY_STATE,4
