perturbation,n_patch_bands,activation_spread_across_patches,max_activation_patch,verdict
brd_drop,20,0.12983484446072602,UPPER_CORE,HOMOGENEOUS_TRANSFER_FUNCTION
brd_jump,20,0.14431103487707264,UPPER_CORE,HOMOGENEOUS_TRANSFER_FUNCTION
btc_shock,20,0.05454660909321818,UPPER_CORE,HOMOGENEOUS_TRANSFER_FUNCTION
conc_shock,20,0.1298701298701298,UPPER_MID,HOMOGENEOUS_TRANSFER_FUNCTION
disp_drop,20,0.14837286265857685,UPPER_MID,HOMOGENEOUS_TRANSFER_FUNCTION
disp_jump,20,0.12056737588652489,UPPER_CORE,HOMOGENEOUS_TRANSFER_FUNCTION
vol_shock,20,0.08687782805429867,UPPER_CORE,HOMOGENEOUS_TRANSFER_FUNCTION
