path,prefix_len,atom_seq,n_days,prop_rate_14d,lift_vs_base,n_subperiods,verdict,n_named_paths
PATH_A,2,BREADTH_EXPANDS->CONCENTRATION_RELEASES,1397,0.4574087329992842,0.9742672916260214,6,LOCAL_CONVERSION_PATHS,4
PATH_A,3,BREADTH_EXPANDS->CONCENTRATION_RELEASES->DISPERSION_EXPANDS,638,0.5877742946708464,1.2519421446141403,6,LOCAL_CONVERSION_PATHS,4
PATH_A,4,BREADTH_EXPANDS->CONCENTRATION_RELEASES->DISPERSION_EXPANDS->TAIL_UP_ACTIVATES,328,0.6585365853658537,1.4026637647559794,6,LOCAL_CONVERSION_PATHS,4
PATH_A,5,BREADTH_EXPANDS->CONCENTRATION_RELEASES->DISPERSION_EXPANDS->TAIL_UP_ACTIVATES->RANK_RECRUITS,318,0.660377358490566,1.406584557948868,6,LOCAL_CONVERSION_PATHS,4
PATH_B,2,BREADTH_EXPANDS->CONCENTRATION_RELEASES,1397,0.4574087329992842,0.9742672916260214,6,LOCAL_CONVERSION_PATHS,4
PATH_B,3,BREADTH_EXPANDS->CONCENTRATION_RELEASES->DISPERSION_EXPANDS,638,0.5877742946708464,1.2519421446141403,6,LOCAL_CONVERSION_PATHS,4
PATH_C,2,BREADTH_EXPANDS->DISPERSION_EXPANDS,1564,0.4904092071611253,1.0445573413441622,6,LOCAL_CONVERSION_PATHS,4
PATH_C,3,BREADTH_EXPANDS->DISPERSION_EXPANDS->RANK_RECRUITS,953,0.4994753410283316,1.0638679426752824,6,LOCAL_CONVERSION_PATHS,4
PATH_C,4,BREADTH_EXPANDS->DISPERSION_EXPANDS->RANK_RECRUITS->PROPAGATION_CONFIRMS,252,1.0,2.1299709020368573,5,LOCAL_CONVERSION_PATHS,4
PATH_D,2,CONCENTRATION_RELEASES->DISPERSION_EXPANDS,1192,0.5973154362416108,1.2722644985320828,6,LOCAL_CONVERSION_PATHS,4
PATH_D,3,CONCENTRATION_RELEASES->DISPERSION_EXPANDS->TAIL_UP_ACTIVATES,524,0.6412213740458015,1.365782868481649,6,LOCAL_CONVERSION_PATHS,4
