event_id,family,direction,decision,split,pos,admitted_f_pct,one_R_budget_account_ccy,target_notional_account_ccy,one_R_price_move_bps,translation_status,translation_id
EUR_ORIGIN_202307101100,A,LONG,ACCEPT_FULL,inner_sel,0.442757,0.7,0.007,1.265284653874,55.323519324801,ECONOMIC_TARGET,TR-adb21d616ef350e2cf65b33a95f0b550
EUR_ORIGIN_202307111000,B,SHORT,ACCEPT_FULL,inner_sel,0.74633,0.3,0.003,0.914063433503,32.820479301993,ECONOMIC_TARGET,TR-75cd02fae8b851bd02ffc8ba91ce6a0c
EUR_ORIGIN_202307111400,B,SHORT,ACCEPT_FULL,inner_sel,1.131426,0.3,0.003,1.385707694242,21.649587517382,ECONOMIC_TARGET,TR-b91eaa572a8bda4d8b01363858697750
EUR_ORIGIN_202307121500,A,LONG,ACCEPT_FULL,inner_sel,1.463726,0.7,0.007,4.182944828241,16.734621869117,ECONOMIC_TARGET,TR-3c409ca04b9132460f1fd0eaa3e47f2c
EUR_ORIGIN_202307131600,A,LONG,ACCEPT_FULL,inner_sel,4.246029,0.7,0.007,12.13403761396,5.768895913053,ECONOMIC_TARGET,TR-c5a412e930859abb7ef90e1daceb5f47
EUR_ORIGIN_202307140500,A,LONG,ACCEPT_FULL,inner_sel,0.68228,0.7,0.007,1.949778885385,35.90150684506,ECONOMIC_TARGET,TR-83bf1d28ea2ceb94abc8eea845254a99
EUR_ORIGIN_202307141100,A,LONG,ACCEPT_FULL,inner_sel,0.750399,0.7,0.007,2.144443628072,32.64249947337,ECONOMIC_TARGET,TR-8cfcbc6b98679fc8e9ae852ddd80687a
EUR_ORIGIN_202307170000,B,SHORT,ACCEPT_FULL,inner_sel,0.818351,0.3,0.003,1.00227113742,29.93202026872,ECONOMIC_TARGET,TR-e328485d09972ae3487f35e840c9774b
EUR_ORIGIN_202307171100,A,LONG,ACCEPT_FULL,inner_sel,0.5083,0.7,0.007,1.452589466418,48.189802844018,ECONOMIC_TARGET,TR-3d441478ab02c9a3268c016fe304637a
EUR_ORIGIN_202307181100,B,SHORT,ACCEPT_FULL,inner_sel,0.497939,0.3,0.003,0.609848022739,49.192583859273,ECONOMIC_TARGET,TR-538701718b815a9d140dd4752259a41e
EUR_ORIGIN_202307190600,A,LONG,ACCEPT_FULL,inner_sel,1.243853,0.7,0.007,3.554605889499,19.692759809689,ECONOMIC_TARGET,TR-d6736ea2d79970a8db486806ccf82ab0
EUR_ORIGIN_202307191300,B,SHORT,ACCEPT_FULL,inner_sel,1.2892,0.3,0.003,1.578941169416,19.000074594984,ECONOMIC_TARGET,TR-276f4964297daa481d4ab870c47c5b6e
EUR_ORIGIN_202307201500,B,SHORT,ACCEPT_FULL,inner_sel,1.069987,0.3,0.003,1.31046163032,22.892696211696,ECONOMIC_TARGET,TR-dad7b646b9952280e017ed770093560b
EUR_ORIGIN_202307210600,A,LONG,ACCEPT_FULL,inner_sel,0.292219,0.7,0.007,0.835084041685,83.823898560884,ECONOMIC_TARGET,TR-9a19b4022699872e2317faca3f230e96
EUR_ORIGIN_202307240600,B,SHORT,ACCEPT_FULL,inner_sel,2.110808,0.3,0.003,2.58520156825,11.604510986086,ECONOMIC_TARGET,TR-0f1ac7a7c95e81008a2fc2273267c652
EUR_ORIGIN_202307241000,B,SHORT,ACCEPT_FULL,inner_sel,1.227929,0.3,0.003,1.503899183045,19.948145685705,ECONOMIC_TARGET,TR-9e0ef31c4d7b79b9fd13fb672f8d3250
EUR_ORIGIN_202307262100,A,LONG,ACCEPT_FULL,inner_sel,0.514061,0.7,0.007,1.469050475485,47.649826311721,ECONOMIC_TARGET,TR-71190f1685295ea41c6aa2be46f362ce
EUR_ORIGIN_202307270900,A,LONG,ACCEPT_FULL,inner_sel,0.533652,0.7,0.007,1.525036635706,45.900536656688,ECONOMIC_TARGET,TR-cd8ef42e6790c292d8ff89684a07316f
EUR_ORIGIN_202307271100,B,SHORT,ACCEPT_FULL,inner_sel,0.438002,0.3,0.003,0.536440839824,55.924153742356,ECONOMIC_TARGET,TR-1c52aaf553d382100e27acc6b32d8b23
EUR_ORIGIN_202307271500,B,SHORT,REJECT_HEAT_CAP,inner_sel,0.232644,0.0,0.0,0.0,0.0,NO_EXPOSURE,TR-5944bffc75c7493de04a85567acfecc1
EUR_ORIGIN_202307272300,A,LONG,ACCEPT_FULL,inner_sel,0.249238,0.7,0.007,0.71225598453,98.279272509236,ECONOMIC_TARGET,TR-cbe8dc7aef7de3a86558bd52a082b5a8
EUR_ORIGIN_202307280300,B,SHORT,ACCEPT_FULL,inner_sel,0.253458,0.3,0.003,0.310420808673,96.643005757951,ECONOMIC_TARGET,TR-593e63f4ba21d183ce38b44dbe1abb28
EUR_ORIGIN_202307281200,A,LONG,ACCEPT_FULL,inner_sel,0.461583,0.7,0.007,1.319083727555,53.067139361751,ECONOMIC_TARGET,TR-ca09a898b4bfe1dd67e694618da3a2ce
EUR_ORIGIN_202307311300,B,SHORT,ACCEPT_FULL,inner_sel,0.998266,0.3,0.003,1.222621417516,24.537440265806,ECONOMIC_TARGET,TR-f34c65798394afd6aff60b2727c0ef8d
EUR_ORIGIN_202308021300,B,SHORT,ACCEPT_FULL,inner_sel,1.47992,0.3,0.003,1.812524149472,16.55150360824,ECONOMIC_TARGET,TR-da76f508e276a84bdd53f4587c62979a
EUR_ORIGIN_202308030600,B,SHORT,ACCEPT_FULL,inner_sel,0.442718,0.3,0.003,0.542217073087,55.328394270598,ECONOMIC_TARGET,TR-1ad6f52f4032e2101d4f0bc7c56d0480
EUR_ORIGIN_202308081200,B,SHORT,ACCEPT_FULL,inner_sel,2.370516,0.3,0.003,2.90327720607,10.333150392006,ECONOMIC_TARGET,TR-32937b2d932d146f4f63f51aafacd3c2
EUR_ORIGIN_202308090600,A,LONG,ACCEPT_FULL,inner_sel,2.310505,0.7,0.007,6.602818219844,10.601533719288,ECONOMIC_TARGET,TR-d41482f77b6057470b0d1618b8f900bf
EUR_ORIGIN_202308101100,A,LONG,ACCEPT_FULL,inner_sel,1.167242,0.7,0.007,3.335673164774,20.985269402058,ECONOMIC_TARGET,TR-6c63d48b4d0c91eb47edd5f2b5b3340d
EUR_ORIGIN_202308102000,B,SHORT,ACCEPT_FULL,inner_sel,1.927943,0.3,0.003,2.361238496209,12.705196890599,ECONOMIC_TARGET,TR-edbcfe86a5dedd5a169e721c373faa84
EUR_ORIGIN_202308110800,B,SHORT,ACCEPT_FULL,inner_sel,1.001849,0.3,0.003,1.227009901648,24.44968044652,ECONOMIC_TARGET,TR-a5db466eac444fc6fe841a618e732796
EUR_ORIGIN_202308111200,B,SHORT,ACCEPT_FULL,inner_sel,0.975263,0.3,0.003,1.19444795292,25.116205295215,ECONOMIC_TARGET,TR-025d2af59181bfa0634ccaae30eff721
EUR_ORIGIN_202308111500,B,SHORT,ACCEPT_FULL,inner_sel,1.299012,0.3,0.003,1.590958158976,18.856561268282,ECONOMIC_TARGET,TR-b587f8ee7e47e474e860b3d3c7705bc7
EUR_ORIGIN_202308151300,B,SHORT,ACCEPT_FULL,inner_sel,0.719792,0.3,0.003,0.881562128532,34.030499982978,ECONOMIC_TARGET,TR-6e30765bd5f03e3c83a9e4344700e0f1
EUR_ORIGIN_202308161300,B,SHORT,ACCEPT_FULL,inner_sel,2.029418,0.3,0.003,2.485519333025,12.069912151312,ECONOMIC_TARGET,TR-076897c2c25c9587817c2638aaf1f355
EUR_ORIGIN_202308171800,B,SHORT,ACCEPT_FULL,inner_sel,0.825942,0.3,0.003,1.011568465614,29.656914998615,ECONOMIC_TARGET,TR-607feb7c00759d3d028f255b0212481b
EUR_ORIGIN_202308220700,B,SHORT,ACCEPT_FULL,inner_sel,1.269192,0.3,0.003,1.554436209527,19.299601885324,ECONOMIC_TARGET,TR-7c12922f9bf5b2f5873e7d7ec4d1603d
EUR_ORIGIN_202308221200,B,SHORT,ACCEPT_FULL,inner_sel,1.10785,0.3,0.003,1.356833542474,22.11030245117,ECONOMIC_TARGET,TR-2791c1b00a02d66b1e2daae051969d44
EUR_ORIGIN_202308230600,B,SHORT,ACCEPT_FULL,inner_sel,1.154362,0.3,0.003,1.413799470365,21.219416634984,ECONOMIC_TARGET,TR-2592a09aa54ba9f1c7c954b6ea21bddb
EUR_ORIGIN_202308231000,B,SHORT,ACCEPT_FULL,inner_sel,0.48967,0.3,0.003,0.599721364981,50.023230372879,ECONOMIC_TARGET,TR-2bd77cd3d99acbbcf61aba84d2a8f93e
EUR_ORIGIN_202308231200,B,SHORT,ACCEPT_FULL,inner_sel,0.505436,0.3,0.003,0.619029970555,48.462920095943,ECONOMIC_TARGET,TR-72b2b043a2d10cf0be7856ebd34284ac
EUR_ORIGIN_202308231600,A,LONG,ACCEPT_FULL,inner_sel,2.071452,0.7,0.007,5.919665935116,11.82499160717,ECONOMIC_TARGET,TR-8252b0fa996d45dfe5eaedb7381fe8a0
EUR_ORIGIN_202308240600,A,LONG,ACCEPT_FULL,inner_sel,1.267858,0.7,0.007,3.623204730994,19.319912949219,ECONOMIC_TARGET,TR-fd010022af1d002ae8aa390784be0acd
EUR_ORIGIN_202308281400,B,SHORT,ACCEPT_FULL,inner_sel,1.097577,0.3,0.003,1.344251926456,22.31724530914,ECONOMIC_TARGET,TR-f1adb60ecf8f7a992b920caaae0b21a5
EUR_ORIGIN_202308291300,B,SHORT,ACCEPT_FULL,inner_sel,0.546407,0.3,0.003,0.669208985234,44.829045428169,ECONOMIC_TARGET,TR-d92507ee52ceb1e7cdb86f87453c836c
EUR_ORIGIN_202308300800,A,LONG,ACCEPT_FULL,inner_sel,0.820141,0.7,0.007,2.343749223962,29.866676555814,ECONOMIC_TARGET,TR-d3cc69f97ab86644cbe63e0e79e101e8
EUR_ORIGIN_202308301500,A,LONG,ACCEPT_FULL,inner_sel,2.063729,0.7,0.007,5.897596877684,11.869241226858,ECONOMIC_TARGET,TR-7086d2024357b496f7d3b47b5bc2af91
EUR_ORIGIN_202308310600,B,SHORT,ACCEPT_FULL,inner_sel,1.675898,0.3,0.003,2.052547543975,14.615982995402,ECONOMIC_TARGET,TR-456ac8d5797e0ef7ee55e192da30c56d
EUR_ORIGIN_202308311000,B,SHORT,ACCEPT_FULL,inner_sel,0.522488,0.3,0.003,0.639914478131,46.881264645861,ECONOMIC_TARGET,TR-822843a8aaed9da0d3def900a1e4dbb7
EUR_ORIGIN_202309011200,A,LONG,ACCEPT_FULL,inner_sel,0.484019,0.7,0.007,1.383198930076,50.607326594845,ECONOMIC_TARGET,TR-7ed6f0a4d85a8a1e0ba9700823ab4328
EUR_ORIGIN_202309051300,B,SHORT,ACCEPT_FULL,inner_sel,1.037539,0.3,0.003,1.270720009135,23.608662635619,ECONOMIC_TARGET,TR-6b0c0189dede0c305a47eadbf603f0b9
EUR_ORIGIN_202309060400,B,SHORT,ACCEPT_FULL,inner_sel,0.693649,0.3,0.003,0.849542705333,35.31311588184,ECONOMIC_TARGET,TR-90be71175cd722949361a36021209522
EUR_ORIGIN_202309081200,A,LONG,ACCEPT_FULL,inner_sel,1.561272,0.7,0.007,4.461707133765,15.689062034185,ECONOMIC_TARGET,TR-e0f6111114c56e58992055d0b900dc28
EUR_ORIGIN_202309110000,B,SHORT,ACCEPT_FULL,inner_sel,1.724168,0.3,0.003,2.111666357145,14.206789769841,ECONOMIC_TARGET,TR-6d80ed2cd8996163f4887bd701be1af3
EUR_ORIGIN_202309110700,A,LONG,ACCEPT_FULL,inner_sel,0.639252,0.7,0.007,1.826815105034,38.318054086106,ECONOMIC_TARGET,TR-0dd7f863472888e8e11efd80ba4ffe6a
EUR_ORIGIN_202309120600,B,SHORT,ACCEPT_FULL,inner_sel,2.188518,0.3,0.003,2.680375756651,11.192460581526,ECONOMIC_TARGET,TR-3d5f9ed5ec11b811936487870e9f7db5
EUR_ORIGIN_202309121200,A,LONG,ACCEPT_FULL,inner_sel,2.536338,0.7,0.007,7.248188789147,9.657585092818,ECONOMIC_TARGET,TR-804cd424b35da40591318c606ecfd440
EUR_ORIGIN_202309121900,A,LONG,ACCEPT_FULL,inner_sel,1.915242,0.7,0.007,5.473260587734,12.789451347679,ECONOMIC_TARGET,TR-dbe1ef64e12660b49f5692f08e08c3d2
EUR_ORIGIN_202309122300,A,LONG,REJECT_HEAT_CAP,inner_sel,2.762534,0.0,0.0,0.0,0.0,NO_EXPOSURE,TR-6d110959ad7c88175c7844cd7177bbf7
