age_h,family,pnl_bucket,N,exploratory,current_median_R,final_expectancy_R,remaining_expectancy_R,p_finish_positive,p_finish_negative,future_mfe_R,future_mae_R
1,A+B,< -0.75R,54,False,-0.9110330457874453,-1.4387718469099644,-0.4892097543252434,0.018518518518518517,0.9814814814814815,-0.7989089369411043,-1.672481316053378
1,A+B,-0.75 to -0.50R,74,False,-0.5960380202243336,-0.3875895248718467,0.2246608224199746,0.2972972972972973,0.7027027027027027,-0.012490201586468503,-0.9261873182060222
1,A+B,-0.50 to -0.25R,124,False,-0.3507924279686879,-0.120363529278773,0.23658014385667572,0.4838709677419355,0.5161290322580645,0.34049697047358707,-0.7451130308179166
1,A+B,-0.25 to 0R,171,False,-0.10753994261779946,0.3587961372165434,0.4707964644076148,0.6842105263157895,0.3157894736842105,0.7571671648359025,-0.44624324753772754
1,A+B,0 to +0.25R,152,False,0.10973309120072194,0.41385890284132343,0.293796877696533,0.625,0.375,0.9367499777840393,-0.29947103801412406
1,A+B,+0.25 to +0.50R,125,False,0.371439944609616,0.6760911520745702,0.30471381965367994,0.704,0.296,1.1368104599251025,-0.031394476364317955
1,A+B,+0.50 to +0.75R,103,False,0.6187573001585788,0.7654591986628435,0.14163289186146774,0.8446601941747572,0.1553398058252427,1.1478186057334747,0.2729422808544168
1,A+B,+0.75 to +1.0R,70,False,0.846074269245358,1.3859074357428864,0.5291999923037608,1.0,0.0,1.5402474869421152,0.7367615159372601
1,A+B,> +1.0R,17,True,1.08465155725821,2.7962901171671555,1.6029973504616246,1.0,0.0,2.7975615302318495,1.1847922381804534
1,A,< -0.75R,28,True,-0.9849725020873736,-1.5911797673044064,-0.5975569384632742,0.03571428571428571,0.9642857142857143,-0.813705734224767,-1.806749885220478
1,A,-0.75 to -0.50R,31,False,-0.5902266912119939,-0.2610786371015552,0.35084379822618567,0.3225806451612903,0.6774193548387096,0.01584646951815147,-0.8824133197880343
1,A,-0.50 to -0.25R,51,False,-0.3673011221226773,-0.0876625492095444,0.27854645867557787,0.47058823529411764,0.5294117647058824,0.298345280348874,-0.735811819760792
1,A,-0.25 to 0R,62,False,-0.12808335977975893,0.32705562285140805,0.44157054768790216,0.6129032258064516,0.3870967741935484,0.751231246196933,-0.5302905142815925
1,A,0 to +0.25R,64,False,0.11410848294406947,0.3812341578955716,0.2531136553181734,0.609375,0.390625,0.8725570222543892,-0.32704778160089987
1,A,+0.25 to +0.50R,67,False,0.36466197139170087,0.6369384566611642,0.2649812388911731,0.6865671641791045,0.31343283582089554,1.1041360929093846,-0.09120067083624915
1,A,+0.50 to +0.75R,62,False,0.6160732799291199,0.5851588645061907,-0.03523565669175438,0.8225806451612904,0.1774193548387097,1.0071293700304065,0.19850067119553522
1,A,+0.75 to +1.0R,52,False,0.8628574049479512,1.2349241052233866,0.37029989755988335,1.0,0.0,1.3943674281975165,0.7402924058575342
1,A,> +1.0R,15,True,1.0794966849255787,2.610939397229556,1.4169024420581664,1.0,0.0,2.612380332036209,1.1844030228429685
1,B,< -0.75R,26,True,-0.8804768881851297,-1.2746402403313348,-0.3725281714073642,0.0,1.0,-0.7829739244817756,-1.5278843954118861
1,B,-0.75 to -0.50R,43,False,-0.6115780823917464,-0.4787950486132196,0.13369170032712477,0.27906976744186046,0.7209302325581395,-0.032918964475845684,-0.957745317065502
1,B,-0.50 to -0.25R,73,False,-0.3384255833091626,-0.14320941946412455,0.20726121158593588,0.4931506849315068,0.5068493150684932,0.36994541151961946,-0.7516111371728937
1,B,-0.25 to 0R,109,False,-0.10054510951900165,0.37685037474533606,0.48742038033992857,0.7247706422018348,0.27522935779816515,0.7605435589241236,-0.3984365453531438
1,B,0 to +0.25R,88,False,0.10256949072168732,0.4375859900745977,0.32338467578988545,0.6363636363636364,0.36363636363636365,0.9834357636237848,-0.27941522449646905
1,B,+0.25 to +0.50R,58,False,0.38526770645150554,0.7213192657417807,0.3506118008793341,0.7241379310344828,0.27586206896551724,1.1745549873398111,0.03769198966360252
1,B,+0.50 to +0.75R,41,False,0.6256165760432172,1.0381084844607087,0.40909264821024266,0.8780487804878049,0.12195121951219512,1.3605681816747002,0.3855125198507744
1,B,+0.75 to +1.0R,18,True,0.8174484240983751,1.8220815016881093,0.9882447104527401,1.0,0.0,1.961678767759846,0.7265611672786907
1,B,> +1.0R,2,True,1.1877113532115886,4.186420516699149,2.998709163487561,1.0,0.0,4.186420516699149,1.1877113532115886
2,A+B,< -0.75R,90,False,-1.063490983879769,-1.3899344545518508,-0.23899091968242195,0.0,1.0,-0.9070515971712082,-1.643306727675452
2,A+B,-0.75 to -0.50R,43,False,-0.5828693092053374,-0.4690557583944586,0.1358289036187668,0.32558139534883723,0.6744186046511628,-0.05032732212489371,-0.9637858476813078
2,A+B,-0.50 to -0.25R,82,False,-0.3760368008497318,-0.21356125757208597,0.16106045604914376,0.4146341463414634,0.5853658536585366,0.17791035719117107,-0.7306287063275435
2,A+B,-0.25 to 0R,96,False,-0.09631018585575152,0.016844027828788386,0.1264844038188017,0.5,0.5,0.3947620318939662,-0.5051289205996566
2,A+B,0 to +0.25R,111,False,0.09685051715368216,0.08977987205998943,-0.027818234827142345,0.5495495495495496,0.45045045045045046,0.5548269316873697,-0.35649467646751365
2,A+B,+0.25 to +0.50R,114,False,0.35932894427239226,0.5607707488506519,0.1960844225540639,0.7719298245614035,0.22807017543859648,0.8779845127543653,0.05625033242770496
2,A+B,+0.50 to +0.75R,114,False,0.6048590528421962,0.5689429063027762,-0.047276727825889535,0.7280701754385965,0.2719298245614035,0.9941747080602529,0.20764783870740744
2,A+B,+0.75 to +1.0R,107,False,0.8604832911161603,1.04535958316403,0.17691858801730234,0.9439252336448598,0.056074766355140186,1.3669941619987902,0.5856571305559973
2,A+B,> +1.0R,125,False,1.2548371098072628,1.772174565480444,0.4199460464538101,1.0,0.0,1.9149867982343767,1.1949261142693597
2,A,< -0.75R,40,False,-1.1304224764898017,-1.5404353971192233,-0.31321454944427096,0.0,1.0,-0.9792168913924071,-1.7692787075945198
2,A,-0.75 to -0.50R,21,True,-0.5828693092053374,-0.43770037800760475,0.16030058014486087,0.23809523809523808,0.7619047619047619,-0.12179551279105974,-0.852249164873478
2,A,-0.50 to -0.25R,41,False,-0.34887474000172985,-0.23851057871837386,0.12919264760546814,0.4146341463414634,0.5853658536585366,0.09923003486383371,-0.7724718163753149
2,A,-0.25 to 0R,39,False,-0.10156829038126548,-0.1712773754053853,-0.055448276340384746,0.38461538461538464,0.6153846153846154,0.25773735429683614,-0.6054827646256885
2,A,0 to +0.25R,49,False,0.12586042049348609,0.14071285670045128,0.009647357505316324,0.6530612244897959,0.3469387755102041,0.5234171442475624,-0.2652427391825986
2,A,+0.25 to +0.50R,57,False,0.36207784632730006,0.4370331981110633,0.07413968506795174,0.7192982456140351,0.2807017543859649,0.7655673096998218,0.005487592045844313
2,A,+0.50 to +0.75R,59,False,0.6079478719748554,0.6751736418097689,0.04911008033815775,0.7627118644067796,0.23728813559322035,1.0487712830872002,0.25417204545533895
2,A,+0.75 to +1.0R,51,False,0.8604832911161603,1.169543479115247,0.30571703804667877,0.9607843137254902,0.0392156862745098,1.4589797187396953,0.6233328512529303
2,A,> +1.0R,71,False,1.3060719112280477,1.777034944467143,0.38601952941875056,1.0,0.0,1.9030465525592248,1.2640442606985305
2,B,< -0.75R,50,False,-1.016979469316139,-1.2695337004979532,-0.1796120158729428,0.0,1.0,-0.8493193617942487,-1.542529143740198
2,B,-0.75 to -0.50R,22,True,-0.5857607638611946,-0.49898589421827366,0.11246957602567707,0.4090909090909091,0.5909090909090909,0.01789231442008293,-1.0702526812706
