f_pct,cagr_pooled,max_dd_pooled,cagr_A,max_dd_A,cagr_B,max_dd_B,capital_limiting
0.05,0.0557075307508097,0.005297605800131852,0.030090634350658618,0.005360786996194312,0.024906322489175237,0.00582066216367983,B
0.1,0.1144099708045403,0.010570735644260193,0.06103348455566371,0.010699277767323056,0.05037826978320692,0.01161258916055433,B
0.15,0.1762621586401778,0.015819482905787885,0.0928510229359667,0.016015524039161528,0.07642723273789409,0.017375891160344898,B
0.2,0.24142659721135606,0.021043940702323856,0.12556626470742072,0.021309577676344685,0.10306479507302235,0.02311067809365271,B
0.25,0.3100738151229663,0.02624420189590232,0.15920277968235652,0.026581490680357374,0.13030273576767826,0.028817059651405554,B
0.3,0.38238274388723825,0.031420359093189944,0.19378470418510352,0.03183131518750734,0.1581530314650148,0.034495145284313015,B
0.4,0.5387458560300278,0.04170073065006579,0.26588423264477257,0.04226490791851239,0.21573959725210123,0.045766865374120204,B
0.5,0.7121308579330468,0.05188579112735644,0.3420697374645387,0.052610775580036497,0.2759243507938518,0.05692670914418053,B
0.6,0.9043142153744599,0.061976272207802205,0.42255596979125754,0.06286933991191108,0.338810468395365,0.06797554349859741,B
0.75,1.2321615194078865,0.07693624801504641,0.551844366771856,0.07809442004467655,0.43843877792833075,0.0843425391442537,B
1.0,1.9031117903356591,0.10169539210315685,0.7921724102241832,0.10303906622383466,0.6195526290487996,0.1110779882629639,B
1.25,2.766633315536142,0.12619259910376548,1.0671455721948173,0.1274514269612507,0.8211128922131921,0.13714634157689562,B
1.5,3.875243191842128,0.15030666759339145,1.3813491313161332,0.1513382797991666,1.0451146671609477,0.1625607292676528,B
2.0,7.108671008663055,0.19736476986172954,2.1485712912533104,0.19756286027891348,1.5692099349656843,0.2114793466893752,B
2.5,12.357906202477961,0.24283372252636257,3.142470217679363,0.24176810151418754,2.2110521487204093,0.2579357397083657,B
3.0,20.795967790558475,0.2866857522955963,4.423361300693226,0.2840099686659018,2.9927038939596153,0.3020292613764845,B
4.0,55.396274266819,0.3694669336887639,8.160230811858009,0.3628297815950843,5.079184178078949,0.38351223532364664,B
5.0,139.4975600836562,0.4456368014157138,14.173412119515225,0.4344771600422962,8.069350498842503,0.4566714229300384,B
