quantile,N,share_of_total_positive_pnl,min_pnl_bps,expectancy_excluding_best_q_R
0.01,6,0.05475867109914305,107.29279582301125,
0.025,14,0.10481829086066308,79.72470497207435,
0.05,28,0.17308602667733147,64.02744652768313,
0.1,56,0.2837378498651785,52.119097075059024,
0.01,881,,,0.3023597100683944
0.05,845,,,0.1980620772101283
0.1,801,,,0.09854376755957345
