metric,scope,window_h,median,p75,p90,p95,p99,max,mean
gross_heat,all_hours,1,0.0,0.0,20.0,22.360679774997898,37.32050807568877,58.63703305156273,3.838930256570643
gross_heat,all_hours,3,0.0,0.0,17.15421456647324,22.285192400943227,33.36655891699415,49.33313625097869,3.8397587792351997
gross_heat,all_hours,6,0.0,4.08248290463863,15.637220579069604,18.11183045105837,29.195633017513178,46.27235910517657,3.8402425473913975
gross_heat,all_hours,12,0.0,7.818610289534803,12.48173871680576,17.219703483708233,23.624334917277377,35.2727403007498,3.8390700856976947
gross_heat,all_hours,24,2.7856490501179034,5.533879930420049,9.748206245007816,13.539777612781174,18.05303681704157,26.073632907906894,3.83652059096179
gross_heat,in_market,1,20.0,24.49489742783178,32.3606797749979,38.63703305156273,44.49489742783178,58.63703305156273,20.359707835903265
gross_heat,in_market,3,18.95185906760989,22.285192400943227,29.43940696741647,33.71461051670213,40.350676804637075,49.33313625097869,20.362402341206565
gross_heat,in_market,6,18.05303681704157,21.779816779541218,26.441770057087894,29.88598895480167,36.10607363408314,46.27235910517658,20.362867287626134
gross_heat,in_market,12,18.05303681704157,21.957668250610705,25.067710590251437,27.07955522556235,30.60961187347884,35.2727403007498,20.357160264014166
gross_heat,in_market,24,19.81806514099981,21.732962687968623,23.58103738405994,24.710572842111116,27.07955522556235,30.871126593335706,20.353157033336263
abs_net_heat,all_hours,1,0.0,0.0,17.32050807568877,22.360679774997898,32.3606797749979,58.63703305156273,3.5819188083145836
abs_net_heat,all_hours,3,0.0,0.0,17.15421456647324,19.893729283562223,30.33257094218688,49.33313625097869,3.582747330979141
abs_net_heat,all_hours,6,0.0,4.08248290463863,14.029347546419743,18.05303681704157,25.862299684179845,43.521889872055105,3.583231099135339
abs_net_heat,all_hours,12,0.0,7.014673773209871,11.038363043831694,15.312092005037238,20.29100158394404,35.2727403007498,3.5820586374416368
abs_net_heat,all_hours,24,2.670959413197732,5.519181521915847,9.026518408520785,11.812167458638688,16.02156241712399,24.49489742783178,3.5795091427057315
abs_net_heat,in_market,1,20.0,22.360679774997898,24.49489742783178,34.14213562373095,41.81540550352055,58.63703305156273,18.996651555310628
abs_net_heat,in_market,3,18.95185906760989,20.487547899806575,23.66590427552021,30.33257094218688,39.43940696741647,49.33313625097869,18.999346060613927
abs_net_heat,in_market,6,18.05303681704157,18.05303681704157,23.802186388346865,26.630144100278187,32.93371255850737,43.52188987205509,18.9998110070335
