family,mae_bin,age_bin,N,exploratory,win_probability,win_ci_low,win_ci_high,final_expectancy_R,median_final_return_R,p_recover_breakeven,p_positive_mfe_after,expected_remaining_R,median_remaining_R
A,0 to -0.25R,0-1h,412,False,0.6407766990291263,0.5995145631067961,0.6844660194174758,0.3789130890627166,0.40273149577521805,0.8155339805825242,0.8592233009708737,0.45554201583990017,0.502999171988097
A,0 to -0.25R,1-2h,310,False,0.7419354838709677,0.6935483870967742,0.7887903225806451,0.6476970812188032,0.6380317478900259,0.9419354838709677,0.9741935483870968,0.257432769317223,0.1736655350699023
A,0 to -0.25R,2-3h,274,False,0.7956204379562044,0.7554744525547445,0.8394160583941606,0.7781246080345455,0.7207760006621645,0.9562043795620438,0.9781021897810219,0.1057807720012618,0.007541715276706669
A,0 to -0.25R,3-4h,243,False,0.8559670781893004,0.8126543209876543,0.8951646090534979,0.9144494694178956,0.818051816247691,0.9670781893004116,0.9794238683127572,0.06597966046712221,0.0
A,0 to -0.25R,4-5h,224,False,0.9017857142857143,0.8660714285714286,0.9375,1.009236864391651,0.902450963820938,0.9732142857142857,0.9910714285714286,0.031810800498368,0.0
A,0 to -0.25R,5-6h,209,False,0.9425837320574163,0.9138755980861244,0.9712918660287081,1.0795757392238194,0.9274597689534778,0.9425837320574163,0.9521531100478469,0.0,0.0
A,-0.25 to -0.50R,0-1h,18,True,0.6666666666666666,0.4444444444444444,0.8888888888888888,0.8802255932841215,0.8043125675547054,0.6666666666666666,0.7777777777777778,1.1865690965162425,1.1070842150110183
A,-0.25 to -0.50R,1-2h,62,False,0.5645161290322581,0.43548387096774194,0.6774193548387096,0.37239189109764814,0.11879594496529332,0.6612903225806451,0.7580645161290323,0.5715824128201412,0.3571695550094003
A,-0.25 to -0.50R,2-3h,65,False,0.6461538461538462,0.515,0.7538461538461538,0.4556383905535803,0.23971918869481218,0.7538461538461538,0.8461538461538461,0.33082988418370074,0.2739252278631535
A,-0.25 to -0.50R,3-4h,68,False,0.6176470588235294,0.5147058823529411,0.7352941176470589,0.46662058143646806,0.28392031697298425,0.6764705882352942,0.7352941176470589,0.18704615606536662,0.15785538301887575
A,-0.25 to -0.50R,4-5h,63,False,0.6666666666666666,0.5555555555555556,0.7777777777777778,0.4837428032132512,0.3967691773752223,0.7142857142857143,0.7619047619047619,0.10370105512102208,0.09198720715122666
A,-0.25 to -0.50R,5-6h,56,False,0.6964285714285714,0.5714285714285714,0.8035714285714286,0.6163342802604556,0.44117102425631904,0.6964285714285714,0.7142857142857143,0.0,0.0
A,-0.50 to -0.75R,0-1h,2,True,0.0,0.0,0.0,-1.0311046347333115,-1.0311046347333115,0.5,0.5,-0.44326799712700876,-0.44326799712700876
A,-0.50 to -0.75R,1-2h,32,False,0.3125,0.15625,0.46875,-0.29460358868353087,-0.18389147473755843,0.46875,0.5625,0.2967084545655513,0.3790545381184727
A,-0.50 to -0.75R,2-3h,43,False,0.32558139534883723,0.18604651162790697,0.46511627906976744,-0.20428231143654527,-0.20794693902131903,0.46511627906976744,0.6046511627906976,0.14404511120019745,0.04995149772427529
A,-0.50 to -0.75R,3-4h,43,False,0.4418604651162791,0.3023255813953488,0.6046511627906976,-0.13487002115009475,-0.02285977356874762,0.5581395348837209,0.6976744186046512,0.052957904199386514,0.1267697808561409
A,-0.50 to -0.75R,4-5h,44,False,0.45454545454545453,0.29545454545454547,0.6136363636363636,-0.029158161427236037,-0.016653870065029386,0.5227272727272727,0.5909090909090909,0.11683410515216712,0.11896895511982045
A,-0.50 to -0.75R,5-6h,47,False,0.425531914893617,0.2765957446808511,0.574468085106383,-0.028291026917464646,-0.05653074452663399,0.425531914893617,0.48936170212765956,0.0,0.0
A,-0.75 to -1.00R,1-2h,16,True,0.0625,0.0,0.1875,-1.2443597516600522,-0.7960491663683503,0.0625,0.125,-0.3810495022118817,0.0889617846614173
A,-0.75 to -1.00R,2-3h,21,True,0.047619047619047616,0.0,0.14285714285714285,-0.9232729367375954,-0.6101258184218366,0.047619047619047616,0.14285714285714285,-0.1869630474865111,-0.01718598486123668
A,-0.75 to -1.00R,3-4h,30,False,0.1,0.0,0.2,-0.6581159669678386,-0.5091357411897315,0.1,0.2,0.05497914458646823,0.12152404454388308
A,-0.75 to -1.00R,4-5h,32,False,0.09375,0.0,0.21875,-0.5524066966747113,-0.46504987069115084,0.09375,0.1875,0.030714640628810776,0.08158270856949157
A,-0.75 to -1.00R,5-6h,35,False,0.08571428571428572,0.0,0.17142857142857143,-0.5055586587917691,-0.5314678281791109,0.08571428571428572,0.11428571428571428,0.0,0.0
A,-1.00 to -1.50R,1-2h,12,True,0.0,0.0,0.0,-2.0536064548302115,-2.132607476833305,0.0,0.0,-0.8862335201317973,-0.9092085964871409
A,-1.00 to -1.50R,2-3h,15,True,0.0,0.0,0.0,-1.425599328782293,-1.371289214450545,0.0,0.0,-0.1883095111422728,-0.07174623963425186
A,-1.00 to -1.50R,3-4h,23,True,0.0,0.0,0.0,-1.1982937805414633,-1.159419774917855,0.0,0.0,-0.10557678718393133,0.04428024435610789
A,-1.00 to -1.50R,4-5h,31,False,0.0,0.0,0.0,-1.1681776313950085,-1.1305081000645472,0.0,0.0,-0.12522314450477084,0.03415794497441582
A,-1.00 to -1.50R,5-6h,25,True,0.0,0.0,0.0,-0.8973620440929276,-0.8996016605458177,0.0,0.0,0.0,0.0
A,-1.50 to -2.00R,2-3h,10,True,0.0,0.0,0.0,-2.3076386554171013,-2.311067145140999,0.0,0.0,-0.5363668302026561,-0.5326115511691635
A,-1.50 to -2.00R,3-4h,8,True,0.0,0.0,0.0,-1.9607865665096567,-1.9150524090023784,0.0,0.0,-0.29092900985056896,-0.26415535225193043
A,-1.50 to -2.00R,4-5h,11,True,0.0,0.0,0.0,-1.863087246715019,-1.7816122788138016,0.0,0.0,-0.19330191518138976,-0.12407514057605185
A,-1.50 to -2.00R,5-6h,17,True,0.0,0.0,0.0,-1.6560749082222117,-1.7727842927234074,0.0,0.0,0.0,0.0
A,-2.00 to -2.50R,3-4h,6,True,0.0,0.0,0.0,-2.5054258597424277,-2.500919131475131,0.0,0.0,-0.2985767616809059,-0.25168538184845346
A,-2.00 to -2.50R,4-5h,5,True,0.0,0.0,0.0,-2.4114861647723385,-2.288033773973629,0.0,0.0,-0.22161400381494936,0.04610792861879176
A,-2.00 to -2.50R,5-6h,8,True,0.0,0.0,0.0,-2.1473628248605037,-2.1707497611995517,0.0,0.0,0.0,0.0
A,worse than -2.50R,3-4h,1,True,0.0,0.0,0.0,-3.6553836279681793,-3.6553836279681793,0.0,0.0,-0.522372689676192,-0.522372689676192
A,worse than -2.50R,4-5h,5,True,0.0,0.0,0.0,-2.8526618917342477,-2.68951635747546,0.0,0.0,-0.11067298269424172,-0.15022610154952742
A,worse than -2.50R,5-6h,9,True,0.0,0.0,0.0,-2.8017207925932,-2.68951635747546,0.0,0.0,0.0,0.0
B,0 to -0.25R,0-1h,456,False,0.6118421052631579,0.5657894736842105,0.6546600877192982,0.30306295074687567,0.3562121516263974,0.8289473684210527,0.8486842105263158,0.35412282004871615,0.38685599095773193
B,0 to -0.25R,1-2h,314,False,0.7356687898089171,0.6910828025477707,0.7866242038216561,0.6445217404472597,0.5915783072219158,0.9617834394904459,0.9745222929936306,0.44453759924518615,0.4482219930098491
B,0 to -0.25R,2-3h,281,False,0.7722419928825622,0.7224199288256228,0.820373665480427,0.7691452028244774,0.6450955882285533,0.9786476868327402,0.9822064056939501,0.17738986691510306,0.037494640422321535
B,0 to -0.25R,3-4h,257,False,0.8249027237354085,0.7761673151750973,0.8715953307392996,0.8873198639554115,0.7931395029334596,0.953307392996109,0.9610894941634242,0.07021949836046347,-0.0702265394702063
B,0 to -0.25R,4-5h,236,False,0.885593220338983,0.8389830508474576,0.923728813559322,1.0030860923976683,0.88924230375709,0.9322033898305084,0.9449152542372882,0.06430878556188475,0.0
B,0 to -0.25R,5-6h,218,False,0.9403669724770642,0.908256880733945,0.9724770642201835,1.0994678991559608,0.9379671295365426,0.9403669724770642,0.9403669724770642,0.0,0.0
B,-0.25 to -0.50R,0-1h,1,True,1.0,1.0,1.0,1.820076931375111,1.820076931375111,1.0,1.0,2.1058504371488853,2.1058504371488853
B,-0.25 to -0.50R,1-2h,74,False,0.5,0.38479729729729734,0.6081081081081081,-0.11667852283116192,-0.013177764393217238,0.7567567567567568,0.7837837837837838,0.22932972560832682,0.31463286612163277
B,-0.25 to -0.50R,2-3h,70,False,0.5857142857142857,0.4714285714285714,0.7,0.0992724073730659,0.13571261127783707,0.8714285714285714,0.9,0.11671749810090429,-0.007296251932784409
B,-0.25 to -0.50R,3-4h,66,False,0.6212121212121212,0.5071969696969697,0.7272727272727273,0.22519920559474854,0.17687386630524812,0.8787878787878788,0.8787878787878788,-0.041490168555935826,-0.09692274526007805
B,-0.25 to -0.50R,4-5h,70,False,0.5857142857142857,0.4782142857142857,0.7,0.2378249377433731,0.17687386630524812,0.7428571428571429,0.7714285714285715,-0.041395411204439445,-0.041879233726470955
B,-0.25 to -0.50R,5-6h,63,False,0.6031746031746031,0.49206349206349204,0.7142857142857143,0.3497021387998826,0.19133195420984997,0.6031746031746031,0.6507936507936508,0.0,0.0
B,-0.50 to -0.75R,0-1h,1,True,1.0,1.0,1.0,0.9536278816881644,0.9536278816881644,1.0,1.0,1.679359371610241,1.679359371610241
B,-0.50 to -0.75R,1-2h,44,False,0.29545454545454547,0.1590909090909091,0.4318181818181818,-0.4462399820154609,-0.2704874418219133,0.5,0.5681818181818182,0.15464510843506665,0.36707973203033173
B,-0.50 to -0.75R,2-3h,51,False,0.4117647058823529,0.27450980392156865,0.5397058823529408,-0.3437859436696888,-0.09378028576002695,0.5882352941176471,0.6470588235294118,0.029950027525732403,0.06379528533332068
B,-0.50 to -0.75R,3-4h,59,False,0.4067796610169492,0.2711864406779661,0.5254237288135594,-0.2498572673554802,-0.0903156457974988,0.5423728813559322,0.5932203389830508,-0.005020852354553111,0.0
B,-0.50 to -0.75R,4-5h,52,False,0.46153846153846156,0.3269230769230769,0.6062499999999996,-0.03858304034217603,-0.04522405444448421,0.5384615384615384,0.5769230769230769,0.10003244587321808,0.10440908751497291
B,-0.50 to -0.75R,5-6h,55,False,0.43636363636363634,0.3090909090909091,0.5636363636363636,-0.030142416867964813,-0.07068560098605972,0.43636363636363634,0.4727272727272727,0.0,0.0
B,-0.75 to -1.00R,1-2h,21,True,0.0,0.0,0.0,-1.0687562803537072,-1.041695363402261,0.0,0.0,-0.21296369288193726,-0.11495160541794969
B,-0.75 to -1.00R,2-3h,26,True,0.0,0.0,0.0,-0.8200470030030617,-0.7725818890434462,0.038461538461538464,0.038461538461538464,0.0031196478537814675,-0.037895718000959366
B,-0.75 to -1.00R,3-4h,27,True,0.0,0.0,0.0,-0.7854710002543736,-0.69916642019867,0.037037037037037035,0.037037037037037035,-0.07675709390343927,0.06808003054510636
B,-0.75 to -1.00R,4-5h,29,True,0.0,0.0,0.0,-0.7396455139970087,-0.6779538995831556,0.034482758620689655,0.034482758620689655,-0.045401185487381174,0.03795981835816575
B,-0.75 to -1.00R,5-6h,28,True,0.0,0.0,0.0,-0.5987692902195965,-0.6827413063621355,0.0,0.0,0.0,0.0
B,-1.00 to -1.50R,1-2h,5,True,0.0,0.0,0.0,-2.139352872237372,-2.238325911020394,0.0,0.0,-1.0426989812141576,-1.1483796013075984
B,-1.00 to -1.50R,2-3h,20,True,0.0,0.0,0.0,-1.5100392049334843,-1.4121387663870892,0.0,0.0,-0.2943116406817998,-0.19538986258987667
B,-1.00 to -1.50R,3-4h,26,True,0.0,0.0,0.0,-1.1666180149011198,-1.0855814799004295,0.0,0.0,-0.046715633810975016,0.02864880348045462
B,-1.00 to -1.50R,4-5h,35,False,0.0,0.0,0.0,-1.1962196491137598,-1.0746859808492648,0.0,0.0,-0.09354900691316678,-0.06024927406784908
B,-1.00 to -1.50R,5-6h,40,False,0.0,0.0,0.0,-1.0677991988620716,-1.0737520505788836,0.0,0.0,0.0,0.0
B,-1.50 to -2.00R,2-3h,6,True,0.0,0.0,0.0,-2.2072413407317533,-2.2648009103547464,0.0,0.0,-0.554277935916483,-0.5135253259314112
B,-1.50 to -2.00R,3-4h,9,True,0.0,0.0,0.0,-2.0840672506698423,-2.0478132357886505,0.0,0.0,-0.34728806551847263,-0.4272971667360119
B,-1.50 to -2.00R,4-5h,11,True,0.0,0.0,0.0,-1.5056172647393338,-1.4563703592953507,0.0,0.0,0.1104368836285906,0.3314241325564635
B,-1.50 to -2.00R,5-6h,17,True,0.0,0.0,0.0,-1.5908491017812079,-1.569334841267201,0.0,0.0,0.0,0.0
B,-2.00 to -2.50R,3-4h,7,True,0.0,0.0,0.0,-2.540964293745081,-2.4399881260908427,0.0,0.0,-0.27994992694202064,-0.05339016061684099
B,-2.00 to -2.50R,4-5h,9,True,0.0,0.0,0.0,-2.379940981172095,-2.2912759096890984,0.0,0.0,-0.21939738179073148,-0.10369372055458115
B,-2.00 to -2.50R,5-6h,10,True,0.0,0.0,0.0,-2.2243884006301093,-2.2579523047373082,0.0,0.0,0.0,0.0
B,worse than -2.50R,4-5h,3,True,0.0,0.0,0.0,-2.90337053492372,-2.9570980366997923,0.0,0.0,-0.17971595812875796,-0.1931509786886365
B,worse than -2.50R,5-6h,5,True,0.0,0.0,0.0,-2.923499487876506,-2.9570980366997923,0.0,0.0,0.0,0.0
A+B,0 to -0.25R,0-1h,868,False,0.6255760368663594,0.5961693548387097,0.6578917050691244,0.3390655509613071,0.36866181084750155,0.8225806451612904,0.8536866359447005,0.40226188533208923,0.4149433083149461
A+B,0 to -0.25R,1-2h,624,False,0.7387820512820513,0.7090945512820513,0.7764823717948718,0.6460992334587635,0.6039241164876764,0.9519230769230769,0.9743589743589743,0.3515848792489224,0.31382625726931135
A+B,0 to -0.25R,2-3h,555,False,0.7837837837837838,0.7495495495495496,0.8153603603603603,0.7735782785498083,0.6990014366654003,0.9675675675675676,0.9801801801801802,0.14203690834502652,0.023549100539079812
A+B,0 to -0.25R,3-4h,500,False,0.84,0.8069500000000001,0.872,0.9005048522101788,0.8147541944346322,0.96,0.97,0.06815893714429962,-0.04442205353733935
A+B,0 to -0.25R,4-5h,460,False,0.8934782608695652,0.86625,0.9217391304347826,1.0060812509338684,0.88924230375709,0.9521739130434783,0.967391304347826,0.04848367979182442,0.0
A+B,0 to -0.25R,5-6h,427,False,0.9414519906323185,0.9191451990632319,0.9648711943793911,1.089731455535779,0.9343186788096886,0.9414519906323185,0.9461358313817331,0.0,0.0
A+B,-0.25 to -0.50R,0-1h,19,True,0.6842105263157895,0.47368421052631576,0.8421052631578947,0.9296914531836474,0.8070252672459245,0.6842105263157895,0.7894736842105263,1.2349523249705923,1.139434241830243
A+B,-0.25 to -0.50R,1-2h,136,False,0.5294117647058824,0.4411764705882353,0.625,0.10628004822461914,0.055318139451914064,0.7132352941176471,0.7720588235294118,0.38535668595488926,0.33589499895768493
A+B,-0.25 to -0.50R,2-3h,135,False,0.6148148148148148,0.5333333333333333,0.6962962962962963,0.27085602890442473,0.18605678236184398,0.8148148148148148,0.8740740740740741,0.21980864695558402,0.12818712786139078
A+B,-0.25 to -0.50R,3-4h,134,False,0.6194029850746269,0.5408582089552239,0.7054104477611939,0.34771154557412853,0.25776480419886805,0.7761194029850746,0.8059701492537313,0.07448348871457589,0.024376072426465195
A+B,-0.25 to -0.50R,4-5h,133,False,0.6240601503759399,0.5413533834586466,0.7031954887218044,0.354312347702789,0.2914876796197819,0.7293233082706767,0.7669172932330827,0.027334493897094962,0.0
A+B,-0.25 to -0.50R,5-6h,119,False,0.6470588235294118,0.5502100840336135,0.7310924369747899,0.4751760877225051,0.3557425286937367,0.6470588235294118,0.680672268907563,0.0,0.0
A+B,-0.50 to -0.75R,0-1h,3,True,0.3333333333333333,0.0,1.0,-0.36952712925948616,-0.7283321817418497,0.6666666666666666,0.6666666666666666,0.2642744591187412,-0.062426903864893246
A+B,-0.50 to -0.75R,1-2h,76,False,0.3026315789473684,0.2036184210526316,0.40164473684210494,-0.3823930795599114,-0.23309193534139433,0.4868421052631579,0.5657894736842105,0.21446125417421802,0.36707973203033173
A+B,-0.50 to -0.75R,2-3h,94,False,0.3723404255319149,0.2765957446808511,0.4630319148936168,-0.2799704523289955,-0.19440708982794147,0.5319148936170213,0.6276595744680851,0.0821424594193707,0.05687339152879799
A+B,-0.50 to -0.75R,3-4h,102,False,0.4215686274509804,0.3281862745098039,0.5098039215686274,-0.20138225179830793,-0.0698415503985104,0.5490196078431373,0.6372549019607843,0.019421172467205726,0.028861908217379856
A+B,-0.50 to -0.75R,4-5h,96,False,0.4583333333333333,0.3645833333333333,0.5520833333333334,-0.03426330417282856,-0.024925283818836297,0.53125,0.5833333333333334,0.10773320637606969,0.11802744180854507
A+B,-0.50 to -0.75R,5-6h,102,False,0.43137254901960786,0.3333333333333333,0.5294117647058824,-0.029289325420185332,-0.060750457814680275,0.43137254901960786,0.4803921568627451,0.0,0.0
A+B,-0.75 to -1.00R,1-2h,37,False,0.02702702702702703,0.0,0.08108108108108109,-1.1446929165942887,-1.0253120560613185,0.02702702702702703,0.05405405405405406,-0.2856494482678591,-0.0460239781852082
