f_pct,book,terminal_equity,total_return,cagr,max_dd,avg_dd,longest_dd_duration_h,time_to_recover_h,calmar,sharpe,sortino,ulcer_index,recovery_factor,worst_day_pct,best_day_pct,worst_24h_pct,worst_48h_pct,worst_month_pct,positive_month_rate,max_consecutive_neg_months,worst_trade_pct,worst_seq_pct,worst_cluster_pct,max_concurrent_positions,effective_risk_2pos_pct,effective_risk_3pos_pct,max_gross_R_exposure
0.05,A+B,1.167999960331764,0.1679999603317639,0.0557075307508097,0.005297605800131852,0.000970047560920133,1527,353.0,10.515605134195376,5.656277491755953,3.0288439726334966,0.0013204160199659588,31.712431364293387,-0.0028294622747181064,0.003830156274033091,-0.0028294622747181064,-0.00347055278199413,-0.003163918072465321,0.9117647058823529,2,-0.0018276918139840898,0.005199338687628578,-0.003065416206689986,3,0.1,0.15000000000000002,3.0
0.1,A+B,1.3638437794849523,0.3638437794849523,0.1144099708045403,0.010570735644260193,0.001939861480975023,1527,353.0,10.823274240772808,5.808321908836079,3.11026126818117,0.002639419271669027,34.419910943711464,-0.005653652090040922,0.007672326407718055,-0.005653652090040922,-0.006936084558663968,-0.0063263847249243315,0.9117647058823529,2,-0.0036553836279681795,0.01037706688043908,-0.0061246225554482114,3,0.2,0.30000000000000004,3.0
0.15,A+B,1.5920820498488044,0.5920820498488044,0.1762621586401778,0.015819482905787885,0.002909571900383054,1527,353.0,11.142093562090366,5.965606846612694,3.19448477674577,0.00395700777087815,37.427395912680495,-0.00847257360157755,0.011526539610621046,-0.00847257360157755,-0.010396598746230876,-0.009487354958649382,0.9117647058823529,2,-0.005483075441952269,0.015533249849240484,-0.009177625289148783,3,0.3,0.44999999999999996,3.0
0.2,A+B,1.85799838449344,0.85799838449344,0.24142659721135606,0.021043940702323856,0.003878770365253356,1527,353.0,11.472499406192284,6.128326858653547,3.2816186785769883,0.005273179753706972,40.77175452213151,-0.011286230969958353,0.015392825140834945,-0.011286230969958353,-0.01385209876587865,-0.012646783929861294,0.9117647058823529,2,-0.007310767255936359,0.020667952759222074,-0.012224430650665918,3,0.4,0.6000000000000001,3.0
0.25,A+B,2.1677257354663304,1.1677257354663304,0.3100738151229663,0.02624420189590232,0.00484809511056173,1527,353.0,11.814945501214886,6.296683832957118,3.371771081391995,0.006587935466740779,44.49461790067448,-0.01409462836082417,0.019271212305011682,-0.01409462836082417,-0.017302588043743964,-0.015804626950617157,0.9117647058823529,2,-0.009138459069920448,0.02578124066983205,-0.015265044882873502,3,0.5,0.75,3.0
0.3,A+B,2.5283808846795175,1.5283808846795175,0.38238274388723825,0.031420359093189944,0.005817262911955042,1527,353.0,12.169903684204423,6.470887264058186,3.4650541660835756,0.007901271470523306,48.643011371909466,-0.01689776994482109,0.02316173045839004,-0.01689776994482109,-0.020748070010916293,-0.018960839489729913,0.9117647058823529,2,-0.010966150883904537,0.0308731785346598,-0.018299474228645973,3,0.6,0.8999999999999999,3.0
0.4,A+B,3.4368177787172285,2.4368177787172285,0.5387458560300278,0.04170073065006579,0.007754749648917845,1527,353.0,12.919338525527197,6.837711208361052,3.6614823813432977,0.010523676192296523,58.43585329873312,-0.022488302399730757,0.030979277396823646,-0.022488302399730757,-0.027624025762193596,-0.025268195787291975,0.9117647058823529,2,-0.014621534511872718,0.0409932634112911,-0.024349803232381895,3,0.8,1.2000000000000002,3.0
0.5,A+B,4.666461995073082,3.6664619950730817,0.7121308579330468,0.05188579112735644,0.009691371553225346,1527,353.0,13.724968675626119,7.230637740756428,3.871888105084422,0.013140377459594468,70.66408578166526,-0.02805786179950348,0.0388457017709218,-0.02805786179950348,-0.03447999356698251,-0.03156849974150587,0.9117647058823529,2,-0.018276918139840895,0.051028724896052216,-0.03037546760486698,3,1.0,1.5,3.0
0.6,A+B,6.329021230954098,5.329021230954098,0.9043142153744599,0.061976272207802205,0.011627091842862957,1527,353.0,14.591297332991505,7.651646723758777,4.097331521262252,0.015751358585963153,85.98486228868774,-0.03360648168835482,0.04676124017475545,-0.03360648168835482,-0.041316001051119565,-0.03786140083536869,0.9117647058823529,2,-0.021932301767809075,0.06098007879452279,-0.03637651728909408,3,1.2,1.7999999999999998,3.0
0.75,A+B,9.975991643693852,8.975991643693852,1.2321615194078865,0.07693624801504641,0.01452667141121047,1542,353.0,16.015357535591193,8.340521020530463,4.466212426543185,0.01965707785594126,116.66791499812182,-0.04189022351117326,0.0587271560560794,-0.04189022351117326,-0.051532647300209594,-0.04728611174098762,0.9117647058823529,2,-0.027415377209761345,0.07575053204574891,-0.04533204852524886,3,1.5,2.25,3.0
