f_pct,streak_len,loser_quantile,loser_R,equity_after_streak,drawdown_pct
0.05,5,0.5,-0.643653194333402,0.9983919024044831,0.001608097595516944
0.05,5,0.75,-0.27793681304718376,0.999305351062726,0.0006946489372740006
0.05,5,0.9,-0.09795246717302829,0.9997551428176075,0.00024485718239253274
0.05,8,0.5,-0.643653194333402,0.9974282853828479,0.00257171461715211
0.05,8,0.75,-0.27793681304718376,0.9988887933396494,0.0011112066603505832
0.05,8,0.9,-0.09795246717302829,0.9996082572875308,0.000391742712469223
0.05,10,0.5,-0.643653194333402,0.9967863907868427,0.0032136092131572758
0.05,10,0.75,-0.27793681304718376,0.9986111846625981,0.001388815337401872
0.05,10,0.9,-0.09795246717302829,0.9995103455902548,0.0004896544097452438
0.05,11,0.5,-0.643653194333402,0.9964655984145937,0.0035344015854062993
0.05,11,0.75,-0.27793681304718376,0.9984724092575289,0.0015275907424711077
0.05,11,0.9,-0.09795246717302829,0.999461393338097,0.0005386066619029739
0.05,13,0.5,-0.643653194333402,0.9958243233554231,0.004175676644576853
0.05,13,0.75,-0.27793681304718376,0.9981949163009012,0.0018050836990988195
0.05,13,0.9,-0.09795246717302829,0.999363496026155,0.0006365039738449596
0.05,15,0.5,-0.643653194333402,0.9951834609885744,0.004816539011425647
0.05,15,0.75,-0.27793681304718376,0.9979175004644224,0.0020824995355775977
0.05,15,0.9,-0.09795246717302829,0.9992656083032614,0.0007343916967386122
0.1,5,0.5,-0.643653194333402,0.9967858742569499,0.0032141257430501335
0.1,5,0.75,-0.27793681304718376,0.9986110882088112,0.0013889117911888293
0.1,5,0.9,-0.09795246717302829,0.9995103336015954,0.0004896663984046423
0.1,8,0.5,-0.643653194333402,0.9948623596286215,0.005137640371378538
0.1,8,0.75,-0.27793681304718376,0.9977786672621201,0.002221332737879944
0.1,8,0.9,-0.09795246717302829,0.9992166488611952,0.0007833511388047887
0.1,10,0.5,-0.643653194333402,0.993582079118192,0.006417920881808037
0.1,10,0.75,-0.27793681304718376,0.997224105493586,0.002775894506414023
0.1,10,0.9,-0.09795246717302829,0.9990209069763724,0.0009790930236276418
0.1,11,0.5,-0.643653194333402,0.9929425568391351,0.0070574431608648736
0.1,11,0.75,-0.27793681304718376,0.9969469402038112,0.0030530597961887507
0.1,11,0.9,-0.09795246717302829,0.9989230504137766,0.0010769495862233969
0.1,13,0.5,-0.643653194333402,0.9916647469077475,0.00833525309225247
0.1,13,0.75,-0.27793681304718376,0.9963928407061631,0.0036071592938369257
0.1,13,0.9,-0.09795246717302829,0.9987273660435213,0.001272633956478697
0.1,15,0.5,-0.643653194333402,0.990388581379865,0.009611418620135037
0.1,15,0.75,-0.27793681304718376,0.9958390491750082,0.004160950824991794
0.1,15,0.9,-0.09795246717302829,0.9985317200069223,0.001468279993077748
0.15,5,0.5,-0.643653194333402,0.9951819135593896,0.004818086440610436
0.15,5,0.75,-0.27793681304718376,0.9979172112772952,0.0020827887227048425
0.15,5,0.9,-0.09795246717302829,0.9992655723449169,0.0007344276550831363
0.15,8,0.5,-0.643653194333402,0.9923022115646564,0.007697788435343633
0.15,8,0.75,-0.27793681304718376,0.9966696208665986,0.0033303791334013955
0.15,8,0.9,-0.09795246717302829,0.9988251746815371,0.0011748253184629132
0.15,10,0.5,-0.643653194333402,0.9903870410757283,0.00961295892427172
0.15,10,0.75,-0.27793681304718376,0.9958387605634537,0.004161239436546338
0.15,10,0.9,-0.09795246717302829,0.9985316840738143,0.0014683159261856815
0.15,11,0.5,-0.643653194333402,0.989430842401806,0.01056915759819399
0.15,11,0.75,-0.27793681304718376,0.9954235901863239,0.00457640981367613
0.15,11,0.9,-0.09795246717302829,0.9983849711108062,0.001615028889193848
0.15,13,0.5,-0.643653194333402,0.9875212137341289,0.012478786265871067
0.15,13,0.75,-0.27793681304718376,0.9945937686199952,0.0054062313800048445
0.15,13,0.9,-0.09795246717302829,0.9980916098506577,0.0019083901493422983
0.15,15,0.5,-0.643653194333402,0.9856152707021649,0.014384729297835075
0.15,15,0.75,-0.27793681304718376,0.9937646388233198,0.006235361176680221
0.15,15,0.9,-0.09795246717302829,0.9977983347905538,0.002201665209446202
