interval_h,rank_in_cluster,n,mean_net_pnl_bps,median_net_pnl_bps,win_rate,std_bps
0.5,1,890,8.555722388636145,9.295406507810426,0.6258426966292134,30.458671610263675
1.0,1,890,8.555722388636145,9.295406507810426,0.6258426966292134,30.458671610263675
2.0,1,824,8.614112194941255,9.110726770303032,0.6262135922330098,30.368054282607297
2.0,2,63,8.065013563189579,9.965258563573338,0.6190476190476191,32.467196413733895
2.0,3,3,2.8228742578777446,8.156581889831521,0.6666666666666666,12.137124137767588
3.0,1,775,8.924043733334436,9.248643780969518,0.6270967741935484,30.310135411041657
3.0,2,98,4.564544995422926,8.902318986294663,0.6020408163265306,31.982872479877493
3.0,3,16,15.081025655806531,12.195085790616776,0.6875,28.40726700747594
3.0,4+,1,9.837212507630872,9.837212507630872,1.0,
6.0,1,614,9.141114892736404,9.42593294153439,0.6351791530944625,30.388154335778943
6.0,2,195,6.99703494604145,8.716781247689326,0.5846153846153846,31.764168641093086
6.0,3,64,7.737567569816892,6.601496744770485,0.65625,26.46070683459205
6.0,4+,17,8.371896635273748,14.3448671280016,0.6470588235294118,33.64053210212727
12.0,1,482,8.606092393847513,8.723927868326495,0.6307053941908713,29.86258697631891
12.0,2,228,8.354314749014378,9.955187710142797,0.6096491228070176,30.997585920175553
12.0,3,96,7.462830542702366,6.190289655751657,0.59375,27.057614885766757
12.0,4+,84,10.062391633059095,13.01274147203598,0.6785714285714286,36.04373241552455
