f_pct,worst_CAE_R,worst_CAE_account_pct,worst_unrealized_R,worst_unrealized_account_pct,best_unrealized_R,effective_risk_1pos_pct,effective_risk_2pos_same_dir_pct,effective_risk_2pos_opposing_pct,effective_risk_3pos_pct,max_gross_R_exposure,max_net_R_exposure,max_same_dir_R,max_opposing_R
0.05,3.0587596508891544,0.15293798254445773,-3.0587596508891544,-0.15293798254445773,7.643949643859987,0.05,0.1,0.1,0.15000000000000002,3.0,2.393846850117352,2.393846850117352,1.0
0.1,3.0587596508891544,0.30587596508891546,-3.0587596508891544,-0.30587596508891546,7.643949643859987,0.1,0.2,0.2,0.30000000000000004,3.0,2.393846850117352,2.393846850117352,1.0
0.15,3.0587596508891544,0.4588139476333732,-3.0587596508891544,-0.4588139476333732,7.643949643859987,0.15,0.3,0.3,0.44999999999999996,3.0,2.393846850117352,2.393846850117352,1.0
0.2,3.0587596508891544,0.6117519301778309,-3.0587596508891544,-0.6117519301778309,7.643949643859987,0.2,0.4,0.4,0.6000000000000001,3.0,2.393846850117352,2.393846850117352,1.0
0.25,3.0587596508891544,0.7646899127222886,-3.0587596508891544,-0.7646899127222886,7.643949643859987,0.25,0.5,0.5,0.75,3.0,2.393846850117352,2.393846850117352,1.0
0.3,3.0587596508891544,0.9176278952667464,-3.0587596508891544,-0.9176278952667464,7.643949643859987,0.3,0.6,0.6,0.8999999999999999,3.0,2.393846850117352,2.393846850117352,1.0
0.4,3.0587596508891544,1.2235038603556618,-3.0587596508891544,-1.2235038603556618,7.643949643859987,0.4,0.8,0.8,1.2000000000000002,3.0,2.393846850117352,2.393846850117352,1.0
0.5,3.0587596508891544,1.5293798254445772,-3.0587596508891544,-1.5293798254445772,7.643949643859987,0.5,1.0,1.0,1.5,3.0,2.393846850117352,2.393846850117352,1.0
0.6,3.0587596508891544,1.8352557905334927,-3.0587596508891544,-1.8352557905334927,7.643949643859987,0.6,1.2,1.2,1.7999999999999998,3.0,2.393846850117352,2.393846850117352,1.0
0.75,3.0587596508891544,2.2940697381668658,-3.0587596508891544,-2.2940697381668658,7.643949643859987,0.75,1.5,1.5,2.25,3.0,2.393846850117352,2.393846850117352,1.0
1.0,3.0587596508891544,3.0587596508891544,-3.0587596508891544,-3.0587596508891544,7.643949643859987,1.0,2.0,2.0,3.0,3.0,2.393846850117352,2.393846850117352,1.0
1.25,3.0587596508891544,3.8234495636114434,-3.0587596508891544,-3.8234495636114434,7.643949643859987,1.25,2.5,2.5,3.75,3.0,2.393846850117352,2.393846850117352,1.0
1.5,3.0587596508891544,4.5881394763337315,-3.0587596508891544,-4.5881394763337315,7.643949643859987,1.5,3.0,3.0,4.5,3.0,2.393846850117352,2.393846850117352,1.0
2.0,3.0587596508891544,6.117519301778309,-3.0587596508891544,-6.117519301778309,7.643949643859987,2.0,4.0,4.0,6.0,3.0,2.393846850117352,2.393846850117352,1.0
2.5,3.0587596508891544,7.646899127222887,-3.0587596508891544,-7.646899127222887,7.643949643859987,2.5,5.0,5.0,7.5,3.0,2.393846850117352,2.393846850117352,1.0
3.0,3.0587596508891544,9.176278952667463,-3.0587596508891544,-9.176278952667463,7.643949643859987,3.0,6.0,6.0,9.0,3.0,2.393846850117352,2.393846850117352,1.0
4.0,3.0587596508891544,12.235038603556617,-3.0587596508891544,-12.235038603556617,7.643949643859987,4.0,8.0,8.0,12.0,3.0,2.393846850117352,2.393846850117352,1.0
5.0,3.0587596508891544,15.293798254445774,-3.0587596508891544,-15.293798254445774,7.643949643859987,5.0,10.0,10.0,15.0,3.0,2.393846850117352,2.393846850117352,1.0
