family,N,expectancy_R,win_rate,median_mae_R,p95_mae_R,p99_mae_R,worst_loss_R,p_recover_from_neg1R,median_time_to_neg1R_losers_h,p_less_neg1R,p_less_neg2R,tail5_share_of_losses,fast_failure_rate
A,432,0.3932732502395528,0.6388888888888888,-0.21897880558214572,-1.8897931700583837,-2.6845422091750097,-3.6553836279681793,0.0,3.0,0.10416666666666667,0.03935185185185185,0.39870630263156837,0.1736111111111111
B,458,0.3077956557939707,0.6135371179039302,-0.26035588780332053,-1.7638874254836803,-2.534676422419519,-3.313025441980525,0.0,3.0,0.13755458515283842,0.03275109170305677,0.34608883577757976,0.1812227074235808
