interval_h,rank_in_cluster,N,expectancy_R,median_mae_R,p95_loss_R,p_less_neg1R,p_less_neg2R,median_time_to_neg1R_losers_h
2.0,1,824,0.35166965774486814,-0.23687118269515042,-1.7711966200197207,0.11771844660194175,0.03398058252427184,3.0
2.0,2,63,0.3292527999740015,-0.22982411454514054,-2.1382061185695664,0.1746031746031746,0.06349206349206349,2.0
2.0,3,3,0.11524335899730352,-0.1737993377018372,-0.37335670179140296,0.0,0.0,3.0
3.0,1,775,0.3643225598158534,-0.23550825393581226,-1.7227685682517864,0.11483870967741935,0.02967741935483871,3.0
3.0,2,98,0.18634676911267906,-0.29966750623336774,-2.3453037303343667,0.1836734693877551,0.09183673469387756,2.0
3.0,3,16,0.6156802942424675,-0.1282901874015022,-1.0389927797547347,0.0625,0.0,3.5
3.0,4+,1,0.40160251891700344,-0.0954007982330634,0.40160251891700344,0.0,0.0,
6.0,1,614,0.3731844527893396,-0.24113266962040675,-1.7242221034163823,0.10912052117263844,0.03257328990228013,3.0
6.0,2,195,0.285652755503733,-0.26945517263553814,-1.914085007870385,0.1641025641025641,0.046153846153846156,3.0
6.0,3,64,0.31588487327263737,-0.18316208051125618,-1.39206134228413,0.09375,0.03125,3.0
6.0,4+,17,0.3417812489290675,-0.12030475682227074,-1.6412264599437787,0.17647058823529413,0.058823529411764705,2.0
12.0,1,482,0.35134225073623016,-0.26078194355030165,-1.7068117314643605,0.10995850622406639,0.03319502074688797,3.5
12.0,2,228,0.34106347142821564,-0.23221453001590955,-1.849052094633642,0.13596491228070176,0.039473684210526314,3.0
12.0,3,96,0.3046687811079744,-0.1908137944548025,-1.4246122429262384,0.10416666666666667,0.020833333333333332,3.0
12.0,4+,84,0.4107954182174255,-0.12164755736481797,-2.1990546985249373,0.16666666666666666,0.05952380952380952,2.0
