interval_h,rank_in_cluster,N,median_mfe_R,median_time_to_mfe_h,final_expectancy_R,median_capture_winners,median_giveback_R
3.0,1,775,0.7187011063328186,4.0,0.3643225598158534,0.9119912030362358,0.30184110093467487
3.0,2,98,0.6290403064458505,3.5,0.18634676911267906,0.9528611674940751,0.28202029982855115
3.0,3,16,0.8998226163675933,4.0,0.6156802942424675,0.9999999999999996,0.2773054619862172
3.0,4+,1,1.0592297052598378,5.0,0.40160251891700344,0.3791458235383297,0.6576271863428345
6.0,1,614,0.7325044458406273,4.0,0.3731844527893396,0.8974928334926705,0.29440462881871526
6.0,2,195,0.6567370857433292,4.0,0.285652755503733,0.9607386123228523,0.291483456552016
6.0,3,64,0.6513357785275946,3.5,0.31588487327263737,0.7855661619165879,0.40556989927527826
6.0,4+,17,1.0592297052598378,4.0,0.3417812489290675,0.7666367426040319,0.41455818272425515
12.0,1,482,0.702764931433711,4.0,0.35134225073623016,0.8978673589744646,0.29800155052786853
12.0,2,228,0.6838326649704555,4.0,0.34106347142821564,0.9561662461966648,0.25208545234495616
12.0,3,96,0.7370646154333096,4.0,0.3046687811079744,0.8754499915365719,0.4462696648730054
12.0,4+,84,0.851897740575783,3.5,0.4107954182174255,0.8754501484333921,0.29143440689168587
