threshold_R,n_breached,n_breached_losers,pct_losers_breaching,median_time_losers_h,p25_time_losers_h,p75_time_losers_h,recovery_to_profit_freq,final_expectancy_R_after_breach,final_median_R_after_breach
0.25,438,305,91.5915915915916,1.0,1.0,3.0,0.3036529680365297,-0.40834033686065996,-0.3638964046311102
0.5,310,262,78.67867867867868,2.0,1.0,3.0,0.15483870967741936,-0.7923052482445199,-0.7001658983373851
0.75,200,197,59.15915915915916,3.0,1.0,4.0,0.015,-1.2030769531511665,-1.0566166273031583
1.0,134,134,40.24024024024024,3.0,2.0,4.0,0.0,-1.5241798595050084,-1.408600319161541
1.5,67,67,20.12012012012012,4.0,3.0,5.0,0.0,-2.0366447628451843,-1.9765178277173499
2.0,33,33,9.90990990990991,4.0,3.0,5.0,0.0,-2.462348210320279,-2.33410051630837
2.5,14,14,4.2042042042042045,4.0,4.0,5.0,0.0,-2.8452131837658095,-2.811309862092617
3.0,3,3,0.9009009009009009,5.0,4.0,5.0,0.0,-3.3632065099848005,-3.313025441980525
