family,outcome,unit,N,mean,median,p5,p10,p25,p50,p75,p90,p95,p99,max
A,WINNER,raw_market_bps,276,-2.3071480404190616,0.0,-12.198467142399137,-8.399762028408198,-2.6322028158176636,0.0,0.0,0.0,0.0,0.0,0.0
A,WINNER,strategy_pnl_bps,276,-4.337282356416447,-2.5701795654352697,-13.59025204131769,-11.27119481179865,-5.59818910184277,-2.5701795654352697,-1.3372763340436993,-0.8329666605569707,-0.6357974225850966,-0.29237329834244663,-0.2346269154104826
A,WINNER,R,276,-0.177068810726609,-0.10492714137741031,-0.5548197162840972,-0.4601446013401961,-0.22854511305207398,-0.10492714137741031,-0.05459407772511221,-0.034005721518577614,-0.025956321085169598,-0.011936089922558483,-0.009578603711313893
A,WINNER,per_volnorm_unit_bps,276,-3.7297507801450887,-1.4226027397260275,-13.621069882125166,-9.822364768134225,-4.054805555543691,-1.4226027397260275,-1.4226027397260275,-1.4226027397260272,-1.4226027397260272,-1.422602739726027,-1.422602739726027
A,LOSER,raw_market_bps,156,-20.997303306668876,-16.09952178564189,-65.18107509191351,-46.25831723723994,-29.21749994299061,-16.09952178564189,-7.880809964917468,-3.0956701827378197,-2.1258777031540887,-0.6198157225765251,-0.26876662995611866
A,LOSER,strategy_pnl_bps,156,-25.367056685367768,-21.33304935097899,-63.35393077096994,-49.901275909907525,-32.996635630102375,-21.33304935097899,-13.63424626970257,-7.346338245413996,-3.931396676301013,-2.174707361847523,-2.128605645251926
A,LOSER,R,156,-1.0356057525901299,-0.8709180927918394,-2.5864133931414406,-2.0372110582185297,-1.3470820087048287,-0.8709180927918394,-0.5566157731369377,-0.2999130029859559,-0.16049859722352017,-0.08878205627334287,-0.08689996157458268
A,LOSER,per_volnorm_unit_bps,156,-22.419906046394903,-17.522124525367918,-66.60367783163954,-47.680919976965974,-30.640102682716638,-17.522124525367918,-9.303412704643495,-4.518272922463847,-3.548480442880116,-2.0424184623025528,-1.6913693696821461
B,WINNER,raw_market_bps,281,-3.874816651881368,0.0,-19.745486498568,-12.790616791491516,-5.342865811268638,0.0,0.0,0.0,0.0,0.0,-0.0
B,WINNER,strategy_pnl_bps,281,-4.0583863616165035,-1.8244140757859064,-14.438341852713515,-11.303032033680095,-5.835520123888342,-1.8244140757859064,-0.8761446083117906,-0.5355413532862116,-0.4257770970716955,-0.20561739347054322,-0.1691202036831749
B,WINNER,R,281,-0.16568292941717944,-0.07448139275378049,-0.5894428378503137,-0.461444350480818,-0.23823411145448858,-0.07448139275378049,-0.03576845385424194,-0.02186338419517996,-0.017382277199818594,-0.008394294937398475,-0.006904303403655647
B,WINNER,per_volnorm_unit_bps,281,-4.852213912155341,-0.9773972602739727,-20.72288375884197,-13.768014051765489,-6.32026307154261,-0.9773972602739727,-0.9773972602739726,-0.9773972602739724,-0.9773972602739724,-0.9773972602739723,-0.9773972602739722
B,LOSER,raw_market_bps,177,-21.797967802047086,-15.542356040425531,-55.969884120933955,-43.58475192816335,-27.58358228186708,-15.542356040425531,-8.05656306166469,-3.252579957148782,-1.7389923945732058,-0.13689177958546847,-0.0
B,LOSER,strategy_pnl_bps,177,-24.95903500147812,-21.850725232915607,-55.77960801319614,-48.20021082275961,-33.06338254419749,-21.850725232915607,-14.00416461259356,-7.506204652089538,-3.8599856649924864,-1.354308991938404,-0.6755192449647899
B,LOSER,R,177,-1.0189483370981167,-0.8920521221733392,-2.277192961413172,-1.9677653668389399,-1.3498069400621355,-0.8920521221733392,-0.5717176262465847,-0.30643952170874494,-0.15758325489482003,-0.05528943307186911,-0.027577957693231497
B,LOSER,per_volnorm_unit_bps,177,-22.775365062321058,-16.519753300699502,-56.94728138120793,-44.562149188437324,-28.560979542141055,-16.519753300699502,-9.033960321938663,-4.229977217422754,-2.716389654847178,-1.114289039859441,-0.9773972602739726
A+B,WINNER,raw_market_bps,557,-3.0980185607438515,0.0,-15.987812606542919,-10.440147924699161,-4.029527906155295,0.0,0.0,0.0,0.0,0.0,0.0
A+B,WINNER,strategy_pnl_bps,557,-4.196582581661,-2.254174993173846,-13.972653507281837,-11.309021350435065,-5.746624075758258,-2.254174993173846,-1.0702858780976283,-0.6560106166570807,-0.4379773488257171,-0.23144087579471792,-0.1691202036831749
A+B,WINNER,R,557,-0.17132476647535277,-0.09202630873696128,-0.570431190759171,-0.46168886331344433,-0.23460494548667857,-0.09202630873696128,-0.04369423800409713,-0.026781521277639775,-0.0178803503919994,-0.009448534188665285,-0.006904303403655647
A+B,WINNER,per_volnorm_unit_bps,557,-4.2960203314823975,-1.4226027397260275,-17.259680078120073,-11.515318014821487,-5.160364416401732,-1.4226027397260275,-0.9773972602739727,-0.9773972602739726,-0.9773972602739724,-0.9773972602739723,-0.9773972602739722
A+B,LOSER,raw_market_bps,333,-21.422881732140176,-15.681824467996819,-61.81466537130297,-45.74973638377599,-28.093943656761766,-15.681824467996819,-7.882425143685978,-3.2287456239306063,-1.8815391857938153,-0.3370605041833826,-0.0
A+B,LOSER,strategy_pnl_bps,333,-25.15018029483183,-21.651108484934365,-58.774129415785346,-48.84520684905885,-33.06338254419749,-21.651108484934365,-13.806857918976185,-7.361035740753475,-3.8415144786974325,-1.8105896430862207,-0.6755192449647899
A+B,LOSER,R,333,-1.0267518110223028,-0.8839028025622094,-2.399443785749621,-1.9940972193482047,-1.3498069400621355,-0.8839028025622094,-0.5636626142099477,-0.3005130257206002,-0.15682917187204048,-0.07391701265215256,-0.027577957693231497
A+B,LOSER,per_volnorm_unit_bps,333,-22.608843721526824,-17.104427207722846,-63.237268111029,-47.08329802761161,-29.371974888895735,-17.104427207722846,-9.052496114324084,-4.270792463714982,-3.0575832267463086,-1.5668887489473582,-0.9773972602739726
