zone,f_pct,account_usd,dollar_1R,impact_minus_0_5R,impact_minus_1R,impact_minus_2R,impact_minus_3R,impact_A_worst_minus_3_66R,impact_B_worst_minus_3_31R,expected_event_gain,typical_2pos_gross_risk,typical_3pos_gross_risk
RM-S0_PRESERVATION,1.5,5000.0,75.0,-37.5,-75.0,-150.0,-225.0,-274.15377209761346,-248.4769081485394,26.19644279133079,150.0,225.0
RM-S0_PRESERVATION,1.5,10000.0,150.0,-75.0,-150.0,-300.0,-450.0,-548.3075441952269,-496.9538162970788,52.39288558266158,300.0,450.0
RM-S0_PRESERVATION,1.5,25000.0,375.0,-187.5,-375.0,-750.0,-1125.0,-1370.7688604880673,-1242.384540742697,130.98221395665394,750.0,1125.0
RM-S0_PRESERVATION,1.5,50000.0,750.0,-375.0,-750.0,-1500.0,-2250.0,-2741.5377209761346,-2484.769081485394,261.9644279133079,1500.0,2250.0
RM-S0_PRESERVATION,1.5,100000.0,1500.0,-750.0,-1500.0,-3000.0,-4500.0,-5483.075441952269,-4969.538162970788,523.9288558266157,3000.0,4500.0
RM-S1_CONSERVATIVE,3.0,5000.0,150.0,-75.0,-150.0,-300.0,-450.0,-548.3075441952269,-496.9538162970788,52.39288558266158,300.0,450.0
RM-S1_CONSERVATIVE,3.0,10000.0,300.0,-150.0,-300.0,-600.0,-900.0,-1096.6150883904538,-993.9076325941576,104.78577116532315,600.0,900.0
RM-S1_CONSERVATIVE,3.0,25000.0,750.0,-375.0,-750.0,-1500.0,-2250.0,-2741.5377209761346,-2484.769081485394,261.9644279133079,1500.0,2250.0
RM-S1_CONSERVATIVE,3.0,50000.0,1500.0,-750.0,-1500.0,-3000.0,-4500.0,-5483.075441952269,-4969.538162970788,523.9288558266157,3000.0,4500.0
RM-S1_CONSERVATIVE,3.0,100000.0,3000.0,-1500.0,-3000.0,-6000.0,-9000.0,-10966.150883904538,-9939.076325941576,1047.8577116532315,6000.0,9000.0
RM-S2_BALANCED,5.0,5000.0,250.0,-125.0,-250.0,-500.0,-750.0,-913.8459069920448,-828.2563604951313,87.32147597110263,500.0,750.0
RM-S2_BALANCED,5.0,10000.0,500.0,-250.0,-500.0,-1000.0,-1500.0,-1827.6918139840895,-1656.5127209902626,174.64295194220526,1000.0,1500.0
RM-S2_BALANCED,5.0,25000.0,1250.0,-625.0,-1250.0,-2500.0,-3750.0,-4569.229534960225,-4141.281802475656,436.6073798555131,2500.0,3750.0
RM-S2_BALANCED,5.0,50000.0,2500.0,-1250.0,-2500.0,-5000.0,-7500.0,-9138.45906992045,-8282.563604951312,873.2147597110262,5000.0,7500.0
RM-S2_BALANCED,5.0,100000.0,5000.0,-2500.0,-5000.0,-10000.0,-15000.0,-18276.9181398409,-16565.127209902625,1746.4295194220524,10000.0,15000.0
RM-S3_GROWTH,5.0,5000.0,250.0,-125.0,-250.0,-500.0,-750.0,-913.8459069920448,-828.2563604951313,87.32147597110263,500.0,750.0
RM-S3_GROWTH,5.0,10000.0,500.0,-250.0,-500.0,-1000.0,-1500.0,-1827.6918139840895,-1656.5127209902626,174.64295194220526,1000.0,1500.0
RM-S3_GROWTH,5.0,25000.0,1250.0,-625.0,-1250.0,-2500.0,-3750.0,-4569.229534960225,-4141.281802475656,436.6073798555131,2500.0,3750.0
RM-S3_GROWTH,5.0,50000.0,2500.0,-1250.0,-2500.0,-5000.0,-7500.0,-9138.45906992045,-8282.563604951312,873.2147597110262,5000.0,7500.0
RM-S3_GROWTH,5.0,100000.0,5000.0,-2500.0,-5000.0,-10000.0,-15000.0,-18276.9181398409,-16565.127209902625,1746.4295194220524,10000.0,15000.0
RM-S4_FULL_PRESS,5.0,5000.0,250.0,-125.0,-250.0,-500.0,-750.0,-913.8459069920448,-828.2563604951313,87.32147597110263,500.0,750.0
RM-S4_FULL_PRESS,5.0,10000.0,500.0,-250.0,-500.0,-1000.0,-1500.0,-1827.6918139840895,-1656.5127209902626,174.64295194220526,1000.0,1500.0
RM-S4_FULL_PRESS,5.0,25000.0,1250.0,-625.0,-1250.0,-2500.0,-3750.0,-4569.229534960225,-4141.281802475656,436.6073798555131,2500.0,3750.0
RM-S4_FULL_PRESS,5.0,50000.0,2500.0,-1250.0,-2500.0,-5000.0,-7500.0,-9138.45906992045,-8282.563604951312,873.2147597110262,5000.0,7500.0
RM-S4_FULL_PRESS,5.0,100000.0,5000.0,-2500.0,-5000.0,-10000.0,-15000.0,-18276.9181398409,-16565.127209902625,1746.4295194220524,10000.0,15000.0
