family,N,median_mfe_R,p90_mfe_R,p95_mfe_R,median_time_to_first_0_5R_h,median_time_to_mfe_h,median_capture_ratio_winners,median_giveback_R,remaining_expectancy_at_h3_R,late_hold_share_of_winner_pnl
A,432,0.7339945958898855,1.919784678442055,2.4379392279581005,2.0,4.0,0.9141688641142192,0.29197143097545986,0.10412915611102193,-0.12815075691009364
B,458,0.6977675091931836,1.822354112248054,2.1551051773404732,2.0,4.0,0.9361062649549972,0.33997953910464446,0.11104281781736357,0.4237158107482489
