failure_class,n,median_reveal_time_h,median_time_to_worst_mae_h,median_final_loss_R,mean_final_expectancy_R,p95_loss_R,recovery_to_profit_after_0_5R_breach,mean_mfe_after_0_5R_breach_R
FAST,158,1.0,3.0,-0.8566082932249026,-1.100308058009693,-2.704015210044992,0.10759493670886076,-0.518805603576261
MEDIUM,72,3.0,4.0,-0.7815136843454057,-0.8994795910559262,-1.947417266324963,0.0,-0.6067039741841312
SLOW,103,6.0,5.0,-0.31720016533736245,-0.3976141400076713,-1.087528601556998,0.0,-0.8140161820402592
