family,outcome,N,median_giveback_R,p25_giveback_R,p75_giveback_R,p90_giveback_R,median_giveback_fraction,mean_giveback_R
A,WINNER,276,0.08127952421276197,0.0,0.3315012149855685,0.5180125014447049,0.08583113588578091,0.18206428571227218
A,LOSER,156,0.8021008373372776,0.43000244861064485,1.3489647547519685,2.0054928421194975,2.129088567107059,0.963126087809996
A,mfe_hour_1,63,0.8357861692996819,,,,,
A,mfe_hour_2,63,0.5228965548472497,,,,0.9069401784070179,
A,mfe_hour_3,74,0.46694400741944586,,,,0.8013995392400547,
A,mfe_hour_4,63,0.3762045692739159,,,,0.36731551135305873,
A,mfe_hour_5,65,0.23043271268113186,,,,0.22182867653989094,
A,mfe_hour_6,104,0.0,,,,0.0,
B,WINNER,281,0.08814690233092404,0.0,0.3457119566680549,0.5574313103986509,0.06389373504500283,0.18983983804468563
B,LOSER,177,0.9113329009731616,0.6316987950320352,1.241840369402689,1.8548967507134126,2.808268557479591,1.00137285220958
B,mfe_hour_1,69,1.118840198746913,,,,,
B,mfe_hour_2,35,0.9113329009731616,,,,3.0411302275441354,
B,mfe_hour_3,85,0.5715485830560327,,,,0.8783855858706193,
B,mfe_hour_4,88,0.44090625608067646,,,,0.522491508113074,
B,mfe_hour_5,70,0.23803780699090815,,,,0.26502220088934575,
B,mfe_hour_6,111,0.0,,,,0.0,
A+B,WINNER,557,0.08601982046539558,0.0,0.3382662095107234,0.541472837817476,0.0813404002718142,0.18598696112593135
A+B,LOSER,333,0.8357861692996819,0.5239524480268802,1.2772052714116984,1.9879000748609763,2.4104021267994455,0.9834554490674324
A+B,mfe_hour_1,132,1.0443422074729212,,,,,
A+B,mfe_hour_2,98,0.5992949714743552,,,,1.34213922628664,
A+B,mfe_hour_3,159,0.5241328675325352,,,,0.8395646056036931,
A+B,mfe_hour_4,151,0.4037968426342757,,,,0.43925433015770443,
A+B,mfe_hour_5,135,0.23459348173777972,,,,0.23266908272024384,
A+B,mfe_hour_6,215,0.0,,,,0.0,
