scheme,f_pct,n_paths,P_dd_ge_10,P_dd_ge_15,P_dd_ge_20,P_dd_ge_30,P_dd_ge_40,P_dd_ge_50,P_technical_ruin,P_capital_impairment_50
iid,0.05,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iid,0.1,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iid,0.15,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iid,0.2,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iid,0.25,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iid,0.3,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iid,0.4,10000,4.606741573033708e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iid,0.5,10000,4.089887640449438e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iid,0.6,10000,0.00022460674157303372,3.3707865168539327e-06,0.0,0.0,0.0,0.0,0.0,0.0
iid,0.75,10000,0.0011119101123595505,3.4269662921348316e-05,1.1235955056179775e-06,0.0,0.0,0.0,0.0,0.0
iid,1.0,10000,0.005737303370786517,0.00043235955056179776,2.786516853932584e-05,0.0,0.0,0.0,0.0,0.0
iid,1.25,10000,0.015415730337078652,0.0019392134831460674,0.00022134831460674157,2.247191011235955e-06,0.0,0.0,0.0,0.0
iid,1.5,10000,0.029816516853932586,0.005319887640449438,0.0008708988764044944,1.741573033707865e-05,0.0,0.0,0.0,0.0
iid,2.0,10000,0.06782719101123595,0.01898696629213483,0.004896516853932584,0.00025752808988764044,9.325842696629213e-06,0.0,0.0,0.0
iid,2.5,10000,0.1109970786516854,0.04071685393258427,0.013942134831460675,0.00133438202247191,8.741573033707866e-05,4.382022471910112e-06,0.0,4.382022471910112e-06
iid,3.0,10000,0.15418303370786518,0.06770067415730337,0.028178988764044944,0.0040538202247191015,0.00044191011235955054,3.2134831460674156e-05,0.0,3.2134831460674156e-05
