scheme,f_pct,n_paths,cagr_p5,cagr_p25,cagr_p50,cagr_p75,cagr_p90,cagr_p95,cagr_p99,max_dd_p5,max_dd_p25,max_dd_p50,max_dd_p75,max_dd_p90,max_dd_p95,max_dd_p99,terminal_p5,terminal_p25,terminal_p50,terminal_p75,terminal_p90,terminal_p95,terminal_p99,min_eq_p5,min_eq_p25,min_eq_p50,min_eq_p75,min_eq_p90,min_eq_p95,min_eq_p99,dur_trades_p5,dur_trades_p25,dur_trades_p50,dur_trades_p75,dur_trades_p90,dur_trades_p95,dur_trades_p99,exp_cagr,exp_max_dd,median_terminal,P_dd_ge_10,P_dd_ge_15,P_dd_ge_20,P_dd_ge_30,P_dd_ge_40,P_dd_ge_50,P_technical_ruin,P_capital_impairment_50
iid,0.05,10000,0.04454674149972856,0.05112492652314721,0.05569735445855983,0.06039805675452026,0.0646362150868374,0.06719211446911434,0.07202561648304237,0.0035252913811932686,0.004308083278935575,0.005019828747388247,0.005903517098519681,0.006959650185100046,0.007779046112656157,0.00950210061667694,1.1329757660569895,1.1535350682354257,1.167967709017447,1.1829272449040253,1.196521203138584,1.204768223676261,1.2204652608076874,0.9971286682600515,0.9988739705320547,0.9996673064689583,1.0002071101651009,1.0006121796813303,1.000902560977759,1.001361503450209,28.0,37.0,47.0,60.0,77.0,88.0,118.0,0.05576787221824869,0.005239742762360291,1.167967709017447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iid,0.1,10000,0.09094357347827785,0.1047184675638253,0.11435113286509924,0.12428854876350887,0.1332907328032329,0.1387468560102499,0.1490774092847995,0.007043920347569224,0.008605216289901688,0.010022707740990719,0.011783207621553594,0.0138818935472518,0.015510831146170172,0.018927763508322835,1.2831814554187981,1.3301424737383283,1.36363751794436,1.398762640281885,1.431085815072793,1.4509110658399091,1.4889358634476535,0.9942615954573775,0.9977474515932158,0.9993339666734635,1.0004141973656708,1.0012243593626604,1.0018051219555182,1.002723006900418,28.0,37.0,47.0,60.0,77.0,88.0,118.0,0.11454938040524784,0.010459261295413651,1.36363751794436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iid,0.15,10000,0.13926204269394524,0.16090968813268042,0.17611166350857244,0.1918746506251442,0.20620003032691248,0.21492976470736047,0.23147312866471859,0.010553728675445486,0.01289038571272759,0.015007299129937132,0.017636371162111655,0.02076558967946829,0.023196808269985103,0.02827738934232311,1.4527922180396022,1.533278268747114,1.5914986121979067,1.6533675182477623,1.710933188217005,1.7466443405858585,1.8156428347357514,0.9913983548669613,0.9966193093984175,0.9989981957895924,1.0006212960485064,1.0018365390439907,1.0027076829332775,1.0040845103506268,28.0,37.0,47.0,60.0,77.0,88.0,118.0,0.17650199252309723,0.015658606453752912,1.5914986121979067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iid,0.2,10000,0.18957247484649853,0.21980531606658338,0.24112456259505433,0.263366765632174,0.2836188279253089,0.2960430246302607,0.3195771401603071,0.014060599777254478,0.017162547749568848,0.01997891396866056,0.023465020984255326,0.027611469582497907,0.03083610481298074,0.037551403355963554,1.6442356949248331,1.7667984344316692,1.8567037563778443,1.9536208817634693,2.0446781533514784,2.101882883999628,2.213076018059247,0.9885366279706621,0.9954876640408115,0.9986594853628904,1.0008283947313419,1.002447776360686,1.0036050533808965,1.0054460138008359,28.0,37.0,47.0,61.0,77.0,88.0,118.01000000000022,0.24179111176814722,0.020837837975036223,1.8567037563778443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iid,0.25,10000,0.24192277974154774,0.28153284586728144,0.3095521798745362,0.3389657547250691,0.3658131081299877,0.3823977689349735,0.4137706253208766,0.017554064311560657,0.021425046836403287,0.024930690568541074,0.029265944098425423,0.034427560251023,0.0384300345520818,0.04675033521672702,1.8601264752887676,2.035174210960468,2.1652541433322705,2.307504804105689,2.442533671434117,2.5284596068397533,2.696336664337933,0.9856814597174414,0.9943533206914001,0.9983236420238836,1.0010332852069208,1.0030597204508576,1.0045056671211607,1.006807517251045,28.0,37.0,47.0,61.0,77.0,88.0,118.01000000000022,0.31059046098046217,0.025997008095665644,2.1652541433322705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iid,0.3,10000,0.2964277319668482,0.3462178822467056,0.381587390853491,0.4189087495755952,0.45310521785652474,0.47427218894792406,0.5144592300149083,0.021037806585953805,0.025673322346233627,0.02986786312535106,0.03505853694967574,0.041201124777484485,0.045977033289881945,0.05587466730826102,2.1036706154797407,2.3434873577339306,2.524215993203428,2.724503162813265,2.9168534977715215,3.0402268791299423,3.2837052199669414,0.9828143429620892,0.9932156132544319,0.9979856597790198,1.0012281801203096,1.0036715074802567,1.0054067670860274,1.008169020701254,28.0,37.0,47.0,61.0,78.0,89.0,119.0,0.3830824848818708,0.031136180996486167,2.524215993203428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iid,0.4,10000,0.4123022209245555,0.48498636179356786,0.5371992494447663,0.5928594320833735,0.6442196511591051,0.6762242898860394,0.7370737963336786,0.027986822014963483,0.034131283221987135,0.039681866814121836,0.04656320622929378,0.054660338304847025,0.060933174111218756,0.07390145153573674,2.688322047195606,3.103948706789562,3.4269316792703477,3.79450910772979,4.155626261850975,4.391568680947245,4.863860686109704,0.9770874835065972,0.9909266467371813,0.9973004086368797,1.0016355214446673,1.004887763857667,1.00720902278137,1.0108920276016717,28.0,37.0,47.0,61.0,78.0,89.0,120.0,0.5399204896084948,0.04135473267851428,3.4269316792703477,4.606741573033708e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iid,0.5,10000,0.5377256322491282,0.6372418402660043,0.7094732756553385,0.7870346595253659,0.8593932183814662,0.9046732498033065,0.9912147976783059,0.03489874314402719,0.04254813955144478,0.049445390561386554,0.057970535049093656,0.06793754012570483,0.07569593253200516,0.09163558218879019,3.4302943022957093,4.105306475293231,4.645742871071922,5.275428224678956,5.910691503402651,6.33244002491975,7.192020049655934,0.9713710415409229,0.9886430167380351,0.9966155840795443,1.0020400288255402,1.0060976577479224,1.008988055470083,1.0136150345020898,28.0,38.0,48.0,61.0,78.0,90.0,121.0,0.713955606587979,0.05149393076828133,4.645742871071922,4.089887640449438e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iid,0.6,10000,0.6735215863987094,0.8041624944801335,0.9000695006151436,1.003812241585656,1.101752853542804,1.163101753685884,1.2811727812799436,0.041811828978227196,0.050910963002185144,0.05912454933043679,0.06926125910862228,0.08110378593941926,0.09025526432796412,0.1090808451177547,4.371315396726408,5.421566437448151,6.288693282280242,7.323130212439574,8.395842945522627,9.117131811843798,10.616381367957093,0.9656511449797817,0.9863464050177356,0.9959335066172283,1.0024409798635656,1.0073167143221502,1.0107856665640995,1.0163380414025076,28.0,38.0,48.0,61.0,78.0,90.0,121.0,0.9070068992544704,0.06155414328266934,6.288693282280242,0.00022460674157303372,3.3707865168539327e-06,0.0,0.0,0.0,0.0,0.0,0.0
iid,0.75,10000,0.8981542909928232,1.084909156696017,1.224463434704902,1.3770362631525486,1.5233187156227512,1.6156542354375547,1.7940453961109453,0.052140000357786834,0.06338135156966362,0.07356881687397784,0.08607215992691473,0.10059826537674367,0.11174932407321768,0.13486257731581075,6.270552266413632,8.204534940992806,9.877753878077204,11.945066927519976,14.173772891802983,15.710740056297128,18.9791216936296,0.9571484341342107,0.9828927691835391,0.9948967221696924,1.003045057716412,1.0091458929026877,1.0134802498098643,1.0204225517531347,28.0,38.0,48.0,62.0,79.0,90.0,121.01000000000022,1.2366782761813948,0.07649723736853477,9.877753878077204,0.0011119101123595505,3.4269662921348316e-05,1.1235955056179775e-06,0.0,0.0,0.0,0.0,0.0
