model,bar,at_risk,events,censored,hazard,survival
MODEL_A,1.0,315.0,64.0,0.0,0.20317460317460317,0.7968253968253969
MODEL_A,2.0,251.0,29.0,0.0,0.11553784860557768,0.7047619047619048
MODEL_A,3.0,222.0,17.0,0.0,0.07657657657657657,0.6507936507936508
MODEL_A,4.0,205.0,17.0,0.0,0.08292682926829269,0.5968253968253968
MODEL_A,5.0,188.0,12.0,0.0,0.06382978723404255,0.5587301587301587
MODEL_A,6.0,176.0,14.0,0.0,0.07954545454545454,0.5142857142857142
MODEL_A,7.0,162.0,5.0,0.0,0.030864197530864196,0.49841269841269836
MODEL_A,8.0,157.0,4.0,0.0,0.025477707006369428,0.48571428571428565
MODEL_A,9.0,153.0,12.0,0.0,0.0784313725490196,0.4476190476190476
MODEL_A,10.0,141.0,6.0,0.0,0.0425531914893617,0.42857142857142855
MODEL_A,11.0,135.0,4.0,0.0,0.02962962962962963,0.41587301587301584
MODEL_A,12.0,131.0,6.0,0.0,0.04580152671755725,0.3968253968253968
MODEL_A,13.0,125.0,2.0,0.0,0.016,0.3904761904761904
MODEL_A,14.0,123.0,2.0,0.0,0.016260162601626018,0.3841269841269841
MODEL_A,15.0,121.0,4.0,0.0,0.03305785123966942,0.3714285714285714
MODEL_A,16.0,117.0,1.0,0.0,0.008547008547008548,0.3682539682539682
MODEL_A,17.0,116.0,2.0,0.0,0.017241379310344827,0.36190476190476184
MODEL_A,18.0,114.0,2.0,0.0,0.017543859649122806,0.35555555555555546
MODEL_A,19.0,112.0,3.0,0.0,0.026785714285714284,0.3460317460317459
MODEL_A,20.0,109.0,4.0,0.0,0.03669724770642202,0.3333333333333332
MODEL_A,21.0,105.0,1.0,0.0,0.009523809523809525,0.33015873015873004
MODEL_A,22.0,104.0,3.0,0.0,0.028846153846153848,0.3206349206349205
MODEL_A,23.0,101.0,3.0,0.0,0.0297029702970297,0.31111111111111095
MODEL_A,24.0,98.0,0.0,98.0,0.0,0.31111111111111095
MODEL_B,1.0,216.0,24.0,0.0,0.1111111111111111,0.8888888888888888
MODEL_B,2.0,192.0,16.0,0.0,0.08333333333333333,0.8148148148148148
MODEL_B,3.0,176.0,16.0,0.0,0.09090909090909091,0.7407407407407407
MODEL_B,4.0,160.0,10.0,0.0,0.0625,0.6944444444444444
MODEL_B,5.0,150.0,14.0,0.0,0.09333333333333334,0.6296296296296295
MODEL_B,6.0,136.0,5.0,0.0,0.03676470588235294,0.6064814814814814
MODEL_B,7.0,131.0,3.0,0.0,0.022900763358778626,0.5925925925925924
MODEL_B,8.0,128.0,11.0,0.0,0.0859375,0.5416666666666665
MODEL_B,9.0,117.0,6.0,0.0,0.05128205128205128,0.5138888888888887
MODEL_B,10.0,111.0,3.0,0.0,0.02702702702702703,0.4999999999999999
MODEL_B,11.0,108.0,5.0,0.0,0.046296296296296294,0.47685185185185175
MODEL_B,12.0,103.0,2.0,0.0,0.019417475728155338,0.4675925925925925
MODEL_B,13.0,101.0,2.0,0.0,0.019801980198019802,0.45833333333333326
MODEL_B,14.0,99.0,3.0,0.0,0.030303030303030304,0.44444444444444436
MODEL_B,15.0,96.0,0.0,0.0,0.0,0.44444444444444436
MODEL_B,16.0,96.0,2.0,0.0,0.020833333333333332,0.43518518518518506
MODEL_B,17.0,94.0,2.0,0.0,0.02127659574468085,0.4259259259259258
MODEL_B,18.0,92.0,2.0,0.0,0.021739130434782608,0.4166666666666666
MODEL_B,19.0,90.0,2.0,0.0,0.022222222222222223,0.40740740740740733
MODEL_B,20.0,88.0,1.0,0.0,0.011363636363636364,0.4027777777777777
MODEL_B,21.0,87.0,3.0,0.0,0.034482758620689655,0.3888888888888888
MODEL_B,22.0,84.0,3.0,0.0,0.03571428571428571,0.3749999999999999
MODEL_B,23.0,81.0,0.0,0.0,0.0,0.3749999999999999
MODEL_B,24.0,81.0,1.0,80.0,0.012345679012345678,0.37037037037037024
MODEL_C,1.0,111.0,10.0,0.0,0.09009009009009009,0.9099099099099099
MODEL_C,2.0,101.0,7.0,0.0,0.06930693069306931,0.8468468468468469
MODEL_C,3.0,94.0,5.0,0.0,0.05319148936170213,0.8018018018018018
MODEL_C,4.0,89.0,6.0,0.0,0.06741573033707865,0.7477477477477478
MODEL_C,5.0,83.0,4.0,0.0,0.04819277108433735,0.7117117117117117
MODEL_C,6.0,79.0,4.0,0.0,0.05063291139240506,0.6756756756756755
MODEL_C,7.0,75.0,4.0,0.0,0.05333333333333334,0.6396396396396395
MODEL_C,8.0,71.0,0.0,0.0,0.0,0.6396396396396395
MODEL_C,9.0,71.0,5.0,0.0,0.07042253521126761,0.5945945945945945
MODEL_C,10.0,66.0,4.0,0.0,0.06060606060606061,0.5585585585585585
MODEL_C,11.0,62.0,1.0,0.0,0.016129032258064516,0.5495495495495495
MODEL_C,12.0,61.0,3.0,0.0,0.04918032786885246,0.5225225225225224
MODEL_C,13.0,58.0,1.0,0.0,0.017241379310344827,0.5135135135135134
MODEL_C,14.0,57.0,0.0,0.0,0.0,0.5135135135135134
MODEL_C,15.0,57.0,3.0,0.0,0.05263157894736842,0.4864864864864864
MODEL_C,16.0,54.0,0.0,0.0,0.0,0.4864864864864864
MODEL_C,17.0,54.0,1.0,0.0,0.018518518518518517,0.47747747747747743
MODEL_C,18.0,53.0,1.0,0.0,0.018867924528301886,0.4684684684684684
MODEL_C,19.0,52.0,1.0,0.0,0.019230769230769232,0.4594594594594594
MODEL_C,20.0,51.0,1.0,0.0,0.0196078431372549,0.45045045045045035
MODEL_C,21.0,50.0,1.0,0.0,0.02,0.4414414414414413
MODEL_C,22.0,49.0,1.0,0.0,0.02040816326530612,0.4324324324324323
