model,block,n_model,n_baseline,model_cont_6,baseline_cont_6,delta
MODEL_A,2023H2,114,148,0.6754,0.6486,0.0268
MODEL_A,2024H1,103,113,0.8058,0.6814,0.1244
MODEL_A,2024H2,98,136,0.7653,0.7132,0.0521
MODEL_B,2023H2,78,148,0.7308,0.6486,0.0822
MODEL_B,2024H1,67,113,0.8209,0.6814,0.1395
MODEL_B,2024H2,71,136,0.8169,0.7132,0.1037
MODEL_C,2023H2,34,111,0.7647,0.7207,0.044
MODEL_C,2024H1,34,126,0.8529,0.8175,0.0354
MODEL_C,2024H2,43,117,0.8372,0.7692,0.068
