model,from_state,to_-9,to_-8,to_-7,to_-6,to_-5,to_-4,to_-3,to_-2,to_-1,to_0,to_1,to_2,to_3,to_4,to_-11,to_-10
MODEL_A,-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MODEL_A,-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MODEL_A,-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MODEL_A,-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MODEL_A,-5,0.0,0.0,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MODEL_A,-4,0.0,0.0,0.0556,0.1667,0.1111,0.0556,0.2778,0.0556,0.1111,0.1667,0.0,0.0,0.0,0.0,,
MODEL_A,-3,0.0345,0.0,0.069,0.0345,0.069,0.069,0.2069,0.2759,0.1034,0.1379,0.0,0.0,0.0,0.0,,
MODEL_A,-2,0.0145,0.0145,0.0145,0.0145,0.0435,0.1014,0.1739,0.2029,0.2174,0.1884,0.0,0.0,0.0145,0.0,,
MODEL_A,-1,0.0,0.0,0.0248,0.0435,0.0559,0.0683,0.0932,0.1801,0.2112,0.2857,0.0186,0.0186,0.0,0.0,,
MODEL_A,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MODEL_A,1,0.0,0.0,0.0,0.0,0.0,0.0435,0.1739,0.2174,0.1304,0.4348,0.0,0.0,0.0,0.0,,
MODEL_A,2,0.0,0.0,0.0,0.1111,0.2222,0.0,0.0,0.2222,0.1111,0.3333,0.0,0.0,0.0,0.0,,
MODEL_A,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
MODEL_A,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MODEL_B,-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MODEL_B,-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MODEL_B,-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MODEL_B,-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MODEL_B,-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
