model,side,n,cont_6,disp_6_mean
MODEL_A,pos,55,0.6,-1.88622
MODEL_A,neg,260,0.7769,0.53916
MODEL_B,pos,8,0.75,-4.07237
MODEL_B,neg,208,0.7885,0.25045
MODEL_C,pos,9,0.7778,-5.70384
MODEL_C,neg,102,0.8235,-0.07987
B3_PLAIN_BREAKOUT,pos,104,0.5673,-3.54836
B3_PLAIN_BREAKOUT,neg,293,0.7201,0.40324
A_BASE,pos,41,0.5854,-1.78568
A_BASE,neg,231,0.7662,0.49005
B_BASE,pos,8,0.75,-4.07237
B_BASE,neg,209,0.7847,0.24694
C_BASE,pos,9,0.7778,-5.70384
C_BASE,neg,102,0.8235,-0.07987
C_DIRECT_2SIGMA,pos,40,0.575,-4.50606
C_DIRECT_2SIGMA,neg,314,0.7962,0.17205
