stage,model,event_id,known_pos,direction,cont_1,cont_2,cont_3,cont_6,cont_12,cont_24,signed_disp_1,signed_disp_2,signed_disp_3,signed_disp_6,signed_disp_12,signed_disp_24,mfe_1,mfe_2,mfe_3,mfe_6,mfe_12,mfe_24,mae_1,mae_2,mae_3,mae_6,mae_12,mae_24
development,MODEL_A,MODEL_A_000000,28,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8975623101751267,1.5638274061132102,2.5331882430840595,1.1203228256358055,1.9358011431879223,5.168599144903221,0.8975623101751267,1.5638274061132102,2.5331882430840595,3.522228783144884,3.522228783144884,5.173974002966625,0.8975623101751267,0.8975623101751267,0.8975623101751267,-0.5380304279572835,-0.5380304279572835,-0.5380304279572835
development,MODEL_A,MODEL_A_000001,35,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.4465487770145886,-0.05982312782725385,-0.11390380502208997,-0.6319664512618779,2.903460591716773,4.341096798602184,-0.4465487770145886,-0.05982312782725385,-0.05982312782725385,-0.05982312782725385,2.903460591716773,8.145952549153815,-0.4465487770145886,-0.4465487770145886,-0.4465487770145886,-0.6319664512618779,-0.6319664512618779,-0.6319664512618779
development,MODEL_A,MODEL_A_000002,88,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.278994679850624,0.8552733474993939,0.857781457532705,-1.3354426700998705,-1.1733508221878215,-2.6171078969318273,1.278994679850624,1.278994679850624,1.278994679850624,1.278994679850624,1.278994679850624,1.278994679850624,1.278994679850624,0.8552733474993939,0.8552733474993939,-1.3354426700998705,-1.6007126447018574,-4.3380349082506
development,MODEL_A,MODEL_A_000003,106,-1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5137935727784484,0.1561639910250774,-2.0372452573215405,-3.2856939797500706,-2.152078768791973,-0.927153541707666,0.5137935727784484,0.5137935727784484,0.5137935727784484,0.5137935727784484,0.5137935727784484,0.5137935727784484,0.5137935727784484,0.1561639910250774,-2.0372452573215405,-5.006620991068843,-5.994116959792898,-5.994116959792898
development,MODEL_A,MODEL_A_000004,111,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.7209270113187722,-0.9874959687240543,0.9574678371498382,2.7751865139017897,3.0901496333261287,8.334743243592284,1.7209270113187722,1.7209270113187722,1.7209270113187722,2.7751865139017897,3.0901496333261287,8.334743243592284,1.7209270113187722,-0.9874959687240543,-0.9874959687240543,-0.9874959687240543,-0.9874959687240543,-0.9874959687240543
development,MODEL_A,MODEL_A_000005,114,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.5328661088771645,-1.809537060803645,-1.8177186767519515,-2.0399503840896047,-2.9978004736520756,0.6870063515467262,-0.5328661088771645,-0.5328661088771645,-0.5328661088771645,-0.5328661088771645,-0.5328661088771645,0.6870063515467262,-0.5328661088771645,-1.809537060803645,-1.8177186767519515,-2.0399503840896047,-2.9978004736520756,-7.377275406442446
development,MODEL_A,MODEL_A_000006,125,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.4871407318359646,0.7397398826444019,1.3589358432387155,-0.3329823966328904,-1.5781186984095341,-2.5195183994653148,0.4871407318359646,0.7397398826444019,1.3589358432387155,1.3589358432387155,4.866615664626336,4.866615664626336,0.4871407318359646,0.4871407318359646,0.4871407318359646,-0.3329823966328904,-1.5781186984095341,-3.197666093362837
development,MODEL_A,MODEL_A_000007,133,-1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.6879330320029093,3.6807938800835744,-1.5276305896734512,-2.23070611889342,-2.3692468657362067,-0.11361894416062723,1.6879330320029093,3.6807938800835744,3.6807938800835744,3.6807938800835744,3.6807938800835744,3.6807938800835744,1.6879330320029093,1.6879330320029093,-1.5276305896734512,-4.383487877905598,-4.383487877905598,-4.383487877905598
development,MODEL_A,MODEL_A_000008,155,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.15569917213490747,-0.07788453221291469,2.3516517742414673,1.631831607251005,-0.776594796034423,0.2773838816336105,-0.15569917213490747,-0.07788453221291469,2.3516517742414673,2.6039217949834765,2.6039217949834765,2.6039217949834765,-0.15569917213490747,-0.15569917213490747,-0.15569917213490747,-0.15569917213490747,-0.776594796034423,-2.9622073252812777
development,MODEL_A,MODEL_A_000009,177,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.12284074300818837,0.7487696081972837,0.3290838617169618,-3.813204499651368,-2.239383870018637,-1.9635201317577438,-0.12284074300818837,0.7487696081972837,0.7487696081972837,1.860780891930829,1.860780891930829,1.860780891930829,-0.12284074300818837,-0.12284074300818837,-0.12284074300818837,-3.813204499651368,-4.688211141105924,-4.688211141105924
