model,stage,n_model_only,n_baseline_only,model_only,baseline_only
MODEL_A,development,56,140,"{'n': 56, 'cont_rate': 0.7857, 'ci_lo': np.float64(0.6618), 'ci_hi': np.float64(0.8729)}","{'n': 140, 'cont_rate': 0.5357, 'ci_lo': np.float64(0.4533), 'ci_hi': np.float64(0.6163)}"
MODEL_A,confirmation,45,113,"{'n': 45, 'cont_rate': 0.7111, 'ci_lo': np.float64(0.5663), 'ci_hi': np.float64(0.8227)}","{'n': 113, 'cont_rate': 0.6018, 'ci_lo': np.float64(0.5096), 'ci_hi': np.float64(0.6872)}"
MODEL_B,development,34,215,"{'n': 34, 'cont_rate': 0.7941, 'ci_lo': np.float64(0.632), 'ci_hi': np.float64(0.8965)}","{'n': 215, 'cont_rate': 0.5628, 'ci_lo': np.float64(0.496), 'ci_hi': np.float64(0.6274)}"
MODEL_B,confirmation,27,174,"{'n': 27, 'cont_rate': 0.8519, 'ci_lo': np.float64(0.6752), 'ci_hi': np.float64(0.9408)}","{'n': 174, 'cont_rate': 0.6034, 'ci_lo': np.float64(0.5293), 'ci_hi': np.float64(0.6731)}"
MODEL_C,development,3,246,"{'n': 3, 'cont_rate': 0.6667, 'ci_lo': np.float64(0.2077), 'ci_hi': np.float64(0.9385)}","{'n': 246, 'cont_rate': 0.752, 'ci_lo': np.float64(0.6945), 'ci_hi': np.float64(0.8018)}"
MODEL_C,confirmation,2,193,"{'n': 2, 'cont_rate': 1.0, 'ci_lo': np.float64(0.3424), 'ci_hi': 1.0}","{'n': 193, 'cont_rate': 0.7565, 'ci_lo': np.float64(0.6913), 'ci_hi': np.float64(0.8116)}"
