model,baseline,n_dev,n_conf,dev_cont_6,base_cont_6,dev_delta_pp,conf_delta_pp,lr_p,evidence_category
MODEL_A,B3_PLAIN_BREAKOUT,315,231,0.746,0.6801,6.6,4.2,0.210018,REDUNDANT
MODEL_B,B3_PLAIN_BREAKOUT,216,153,0.787,0.6801,10.7,14.4,0.084468,REDUNDANT
MODEL_C,C_DIRECT_2SIGMA,111,83,0.8198,0.7712,4.9,3.1,0.014692,CONDITIONAL
