axis,var,rank_decay_med,rank_recovery_med,diff,p,n_a,n_b,p_fdr
PRE,rank_vel_7d,-24.5,-34.0,9.5,0.29192911327294746,282,339,0.40870075858212646
PRE,rank_vel_14d,-29.5,-33.0,3.5,0.4093629503390941,282,339,0.44085240805748593
PRE,sigma_t0,0.05636215955018997,0.06261786818504333,-0.006255708634853363,0.16380261103732685,282,339,0.3276052220746537
PRE,log10_mcap,7.2360920906066895,7.185520172119141,0.05057191848754883,0.2234445787324808,282,339,0.3910280127818414
PRE,mcap_q,3.0,3.0,0.0,0.022992157068975668,282,339,0.05364836649427656
PRE,listing_age,976.5,871.0,105.5,0.3793211877310543,282,339,0.44085240805748593
POST,fwd_rank_vel_30d,-27.0,23.0,-50.0,3.245430982157898e-13,255,297,2.271801687510529e-12
POST,fwd7_cum,0.008713621646165848,0.181040957570076,-0.17232733964920044,1.5767684170719757e-33,282,339,2.207475783900766e-32
POST,fwd14_cum,0.06235504150390625,0.18280595541000366,-0.12045091390609741,5.5735436356129496e-11,282,339,2.60098702995271e-10
POST,fwd30_cum,0.1834082454442978,0.253997802734375,-0.07058955729007721,0.2527291668080749,282,339,0.3931342594792276
T0,top500_breadth_30d,0.388,0.252,0.136,0.007082855052708699,282,339,0.02478999268448045
T0,top500_dispersion_30d,0.3405882965348217,0.28788456106655586,0.052703735468265844,0.022031244567547834,267,316,0.05364836649427656
T0,rank_depth_rel,-0.031025358188013497,-0.028250415444848603,-0.002774942743164893,0.3683086218712681,267,316,0.44085240805748593
T0,vol_med,0.05146930379541209,0.05249300111089304,-0.0010236973154809509,0.6780618865961106,276,330,0.6780618865961106
