cell,age_band,exit_to,n,p_exit_dest,fwd7_prop,fwd14_prop,fwd7_reentry,fwd7_isol_dn,fwd7_band_up,p_btc_up,p_vol_high,med_rank_depth
HIGH_BREADTH_HIGH_DISP,AGE_1,HIGH_BREADTH_HIGH_DISP,58,0.7341772151898734,0.2413793103448276,0.3620689655172414,0.43103448275862066,0.29310344827586204,48.12068965517241,0.8448275862068966,0.20689655172413793,-0.043122961506059924
HIGH_BREADTH_HIGH_DISP,AGE_1,HIGH_BREADTH_LOW_DISP,12,0.1518987341772152,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.5,62.75,1.0,0.08333333333333333,-0.031444551399075114
HIGH_BREADTH_HIGH_DISP,AGE_2_3,HIGH_BREADTH_HIGH_DISP,80,0.7920792079207921,0.3,0.325,0.375,0.45,51.625,0.85,0.2,-0.05096425182619539
HIGH_BREADTH_HIGH_DISP,AGE_4_7,HIGH_BREADTH_HIGH_DISP,112,0.896,0.38392857142857145,0.36607142857142855,0.36607142857142855,0.4732142857142857,54.40178571428571,0.9375,0.2857142857142857,-0.060600943972617095
HIGH_BREADTH_HIGH_DISP,AGE_8_14,HIGH_BREADTH_HIGH_DISP,114,0.9193548387096774,0.43859649122807015,0.631578947368421,0.3333333333333333,0.49122807017543857,73.99122807017544,0.9210526315789473,0.2543859649122807,-0.06704929086956579
HIGH_BREADTH_HIGH_DISP,AGE_15_PLUS,HIGH_BREADTH_HIGH_DISP,327,0.9589442815249267,0.6788990825688074,0.5382262996941896,0.10091743119266056,0.5474006116207951,55.59021406727829,0.8318042813455657,0.5351681957186545,-0.035804068743007754
HIGH_BREADTH_LOW_DISP,AGE_1,HIGH_BREADTH_LOW_DISP,56,0.6746987951807228,0.23214285714285715,0.19642857142857142,0.32142857142857145,0.44642857142857145,36.44642857142857,0.7321428571428571,0.017857142857142856,-0.016499275674872575
HIGH_BREADTH_LOW_DISP,AGE_1,LOW_BREADTH_LOW_DISP,17,0.20481927710843373,0.17647058823529413,0.23529411764705882,0.29411764705882354,0.4117647058823529,40.05882352941177,0.5294117647058824,0.17647058823529413,-0.030974738079889035
HIGH_BREADTH_LOW_DISP,AGE_2_3,HIGH_BREADTH_HIGH_DISP,11,0.11578947368421053,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.36363636363636365,30.09090909090909,0.7272727272727273,0.0,-0.023649106464233193
HIGH_BREADTH_LOW_DISP,AGE_2_3,HIGH_BREADTH_LOW_DISP,73,0.7684210526315789,0.1917808219178082,0.2602739726027397,0.4383561643835616,0.4931506849315068,40.23287671232877,0.8356164383561644,0.0136986301369863,-0.02015370260511735
HIGH_BREADTH_LOW_DISP,AGE_2_3,LOW_BREADTH_LOW_DISP,10,0.10526315789473684,0.1,0.0,0.4,0.2,36.7,0.7,0.0,-0.004530884300518112
HIGH_BREADTH_LOW_DISP,AGE_4_7,HIGH_BREADTH_LOW_DISP,76,0.7676767676767676,0.2894736842105263,0.25,0.3157894736842105,0.40789473684210525,46.14473684210526,0.9473684210526315,0.0,-0.030382496208873466
HIGH_BREADTH_LOW_DISP,AGE_4_7,LOW_BREADTH_LOW_DISP,15,0.15151515151515152,0.13333333333333333,0.3333333333333333,0.4666666666666667,0.26666666666666666,48.93333333333334,0.8,0.0,-0.019168487885101802
HIGH_BREADTH_LOW_DISP,AGE_8_14,HIGH_BREADTH_LOW_DISP,25,0.7142857142857143,0.16,0.08,0.52,0.4,58.2,0.76,0.0,-0.03471721677361579
LOW_BREADTH_HIGH_DISP,AGE_1,HIGH_BREADTH_HIGH_DISP,16,0.24242424242424243,0.125,0.125,0.5625,0.5625,52.0,0.4375,0.25,-0.05479425863595952
LOW_BREADTH_HIGH_DISP,AGE_1,LOW_BREADTH_HIGH_DISP,35,0.5303030303030303,0.05714285714285714,0.05714285714285714,0.2,0.4,28.628571428571426,0.2857142857142857,0.34285714285714286,-0.043439095416101935
LOW_BREADTH_HIGH_DISP,AGE_1,LOW_BREADTH_LOW_DISP,12,0.18181818181818182,0.0,0.0,0.3333333333333333,0.75,53.58333333333333,0.08333333333333333,0.4166666666666667,0.0033986500838359504
