age_band,FROM_HL_vs_FROM_LH_fwd7_p,n_hl,n_lh
AGE_1,0.11942341427809945,33,23
AGE_2_3,,0,0
AGE_4_7,,0,0
AGE_8_14,,0,0
AGE_15_PLUS,,0,0
