cell,h_d,hazard,n_at_risk,cumulative_incidence
HIGH_BREADTH_HIGH_DISP,1,0.0012987012987012987,770,0.0012987012987012436
HIGH_BREADTH_HIGH_DISP,2,0.0013003901170351106,769,0.0025974025974024872
HIGH_BREADTH_HIGH_DISP,3,0.0013020833333333333,768,0.003896103896103842
HIGH_BREADTH_HIGH_DISP,4,0.001303780964797914,767,0.0051948051948050855
HIGH_BREADTH_HIGH_DISP,5,0.0013054830287206266,766,0.006493506493506329
HIGH_BREADTH_HIGH_DISP,6,0.00130718954248366,765,0.007792207792207573
HIGH_BREADTH_HIGH_DISP,7,0.0013089005235602095,764,0.009090909090908927
HIGH_BREADTH_HIGH_DISP,8,0.001310615989515072,763,0.010389610389610282
HIGH_BREADTH_HIGH_DISP,9,0.0013123359580052493,762,0.011688311688311637
HIGH_BREADTH_HIGH_DISP,10,0.001314060446780552,761,0.01298701298701288
HIGH_BREADTH_HIGH_DISP,11,0.0013157894736842105,760,0.014285714285714124
HIGH_BREADTH_HIGH_DISP,12,0.0013175230566534915,759,0.015584415584415368
HIGH_BREADTH_HIGH_DISP,13,0.0013192612137203166,758,0.01688311688311661
HIGH_BREADTH_HIGH_DISP,14,0.001321003963011889,757,0.018181818181817966
HIGH_BREADTH_HIGH_DISP,15,0.0013227513227513227,756,0.01948051948051921
HIGH_BREADTH_HIGH_DISP,16,0.0013245033112582781,755,0.020779220779220564
HIGH_BREADTH_HIGH_DISP,17,0.001326259946949602,754,0.022077922077921808
HIGH_BREADTH_HIGH_DISP,18,0.0013280212483399733,753,0.02337662337662305
HIGH_BREADTH_HIGH_DISP,19,0.0013297872340425532,752,0.024675324675324295
HIGH_BREADTH_HIGH_DISP,20,0.0013315579227696406,751,0.02597402597402554
HIGH_BREADTH_HIGH_DISP,21,0.0013333333333333333,750,0.027272727272726782
HIGH_BREADTH_HIGH_DISP,22,0.0013351134846461949,749,0.028571428571428137
HIGH_BREADTH_HIGH_DISP,23,0.001336898395721925,748,0.02987012987012949
HIGH_BREADTH_HIGH_DISP,24,0.0013386880856760374,747,0.031168831168830846
HIGH_BREADTH_HIGH_DISP,25,0.0013404825737265416,746,0.0324675324675322
HIGH_BREADTH_HIGH_DISP,26,0.0013422818791946308,745,0.033766233766233444
HIGH_BREADTH_HIGH_DISP,27,0.0013440860215053765,744,0.03506493506493469
HIGH_BREADTH_HIGH_DISP,28,0.0013458950201884253,743,0.03636363636363604
HIGH_BREADTH_HIGH_DISP,29,0.0013477088948787063,742,0.037662337662337286
HIGH_BREADTH_HIGH_DISP,30,0.001349527665317139,741,0.03896103896103864
HIGH_BREADTH_LOW_DISP,1,0.0030581039755351682,327,0.003058103975535187
HIGH_BREADTH_LOW_DISP,2,0.003067484662576687,326,0.006116207951070374
HIGH_BREADTH_LOW_DISP,3,0.003076923076923077,325,0.00917431192660556
HIGH_BREADTH_LOW_DISP,4,0.0030864197530864196,324,0.012232415902140747
HIGH_BREADTH_LOW_DISP,5,0.0030959752321981426,323,0.015290519877675934
HIGH_BREADTH_LOW_DISP,6,0.003105590062111801,322,0.01834862385321101
HIGH_BREADTH_LOW_DISP,7,0.003115264797507788,321,0.021406727828746197
HIGH_BREADTH_LOW_DISP,8,0.003125,320,0.024464831804281384
HIGH_BREADTH_LOW_DISP,9,0.003134796238244514,319,0.02752293577981657
HIGH_BREADTH_LOW_DISP,10,0.0031446540880503146,318,0.030581039755351758
HIGH_BREADTH_LOW_DISP,11,0.0031545741324921135,317,0.033639143730886945
HIGH_BREADTH_LOW_DISP,12,0.0031645569620253164,316,0.03669724770642213
HIGH_BREADTH_LOW_DISP,13,0.0031746031746031746,315,0.03975535168195732
HIGH_BREADTH_LOW_DISP,14,0.0031847133757961785,314,0.042813455657492505
HIGH_BREADTH_LOW_DISP,15,0.003194888178913738,313,0.04587155963302769
HIGH_BREADTH_LOW_DISP,16,0.003205128205128205,312,0.04892966360856288
HIGH_BREADTH_LOW_DISP,17,0.003215434083601286,311,0.051987767584098066
HIGH_BREADTH_LOW_DISP,18,0.0032258064516129032,310,0.05504587155963314
HIGH_BREADTH_LOW_DISP,19,0.003236245954692557,309,0.05810397553516833
HIGH_BREADTH_LOW_DISP,20,0.003246753246753247,308,0.061162079510703515
HIGH_BREADTH_LOW_DISP,21,0.003257328990228013,307,0.0642201834862387
HIGH_BREADTH_LOW_DISP,22,0.0032679738562091504,306,0.06727828746177389
HIGH_BREADTH_LOW_DISP,23,0.003278688524590164,305,0.07033639143730896
HIGH_BREADTH_LOW_DISP,24,0.003289473684210526,304,0.07339449541284415
HIGH_BREADTH_LOW_DISP,25,0.0033003300330033004,303,0.07645259938837934
HIGH_BREADTH_LOW_DISP,26,0.0033112582781456954,302,0.07951070336391453
HIGH_BREADTH_LOW_DISP,27,0.0033222591362126247,301,0.08256880733944971
HIGH_BREADTH_LOW_DISP,28,0.0033333333333333335,300,0.0856269113149849
HIGH_BREADTH_LOW_DISP,29,0.0033444816053511705,299,0.08868501529052009
HIGH_BREADTH_LOW_DISP,30,0.003355704697986577,298,0.09174311926605527
LOW_BREADTH_HIGH_DISP,1,0.0036496350364963502,274,0.0036496350364964014
LOW_BREADTH_HIGH_DISP,2,0.003663003663003663,273,0.007299270072992692
LOW_BREADTH_HIGH_DISP,3,0.003676470588235294,272,0.010948905109488982
LOW_BREADTH_HIGH_DISP,4,0.0036900369003690036,271,0.014598540145985273
LOW_BREADTH_HIGH_DISP,5,0.003703703703703704,270,0.018248175182481563
LOW_BREADTH_HIGH_DISP,6,0.0037174721189591076,269,0.021897810218977964
LOW_BREADTH_HIGH_DISP,7,0.0037313432835820895,268,0.025547445255474255
LOW_BREADTH_HIGH_DISP,8,0.003745318352059925,267,0.029197080291970656
LOW_BREADTH_HIGH_DISP,9,0.0037593984962406013,266,0.03284671532846706
LOW_BREADTH_HIGH_DISP,10,0.0037735849056603774,265,0.03649635036496346
LOW_BREADTH_HIGH_DISP,11,0.003787878787878788,264,0.04014598540145986
LOW_BREADTH_HIGH_DISP,12,0.0038022813688212928,263,0.04379562043795626
LOW_BREADTH_HIGH_DISP,13,0.003816793893129771,262,0.04744525547445255
LOW_BREADTH_HIGH_DISP,14,0.0038314176245210726,261,0.051094890510948954
LOW_BREADTH_HIGH_DISP,15,0.0038461538461538464,260,0.054744525547445244
LOW_BREADTH_HIGH_DISP,16,0.003861003861003861,259,0.058394160583941535
LOW_BREADTH_HIGH_DISP,17,0.003875968992248062,258,0.062043795620437936
LOW_BREADTH_HIGH_DISP,18,0.0038910505836575876,257,0.06569343065693423
LOW_BREADTH_HIGH_DISP,19,0.00390625,256,0.06934306569343063
LOW_BREADTH_HIGH_DISP,20,0.00392156862745098,255,0.07299270072992692
LOW_BREADTH_HIGH_DISP,21,0.003937007874015748,254,0.07664233576642321
LOW_BREADTH_HIGH_DISP,22,0.003952569169960474,253,0.0802919708029195
LOW_BREADTH_HIGH_DISP,23,0.003968253968253968,252,0.08394160583941579
LOW_BREADTH_HIGH_DISP,24,0.00398406374501992,251,0.08759124087591219
LOW_BREADTH_HIGH_DISP,25,0.004,250,0.09124087591240859
LOW_BREADTH_HIGH_DISP,26,0.004016064257028112,249,0.094890510948905
LOW_BREADTH_HIGH_DISP,27,0.004032258064516129,248,0.0985401459854014
LOW_BREADTH_HIGH_DISP,28,0.004048582995951417,247,0.1021897810218978
LOW_BREADTH_HIGH_DISP,29,0.0040650406504065045,246,0.10583941605839409
LOW_BREADTH_HIGH_DISP,30,0.004081632653061225,245,0.10948905109489049
LOW_BREADTH_LOW_DISP,1,0.0012121212121212121,825,0.00121212121212122
LOW_BREADTH_LOW_DISP,2,0.0012135922330097086,824,0.00242424242424244
LOW_BREADTH_LOW_DISP,3,0.001215066828675577,823,0.0036363636363636598
LOW_BREADTH_LOW_DISP,4,0.0012165450121654502,822,0.00484848484848488
LOW_BREADTH_LOW_DISP,5,0.001218026796589525,821,0.0060606060606061
LOW_BREADTH_LOW_DISP,6,0.0012195121951219512,820,0.0072727272727273196
LOW_BREADTH_LOW_DISP,7,0.001221001221001221,819,0.00848484848484854
LOW_BREADTH_LOW_DISP,8,0.0012224938875305623,818,0.00969696969696976
LOW_BREADTH_LOW_DISP,9,0.0012239902080783353,817,0.010909090909090868
LOW_BREADTH_LOW_DISP,10,0.0012254901960784314,816,0.012121212121212088
LOW_BREADTH_LOW_DISP,11,0.001226993865030675,815,0.013333333333333308
LOW_BREADTH_LOW_DISP,12,0.0012285012285012285,814,0.014545454545454528
LOW_BREADTH_LOW_DISP,13,0.0012300123001230013,813,0.015757575757575748
LOW_BREADTH_LOW_DISP,14,0.0012315270935960591,812,0.016969696969696968
LOW_BREADTH_LOW_DISP,15,0.0012330456226880395,811,0.018181818181818188
LOW_BREADTH_LOW_DISP,16,0.0012345679012345679,810,0.019393939393939408
LOW_BREADTH_LOW_DISP,17,0.0012360939431396785,809,0.020606060606060628
LOW_BREADTH_LOW_DISP,18,0.0012376237623762376,808,0.021818181818181848
LOW_BREADTH_LOW_DISP,19,0.0012391573729863693,807,0.023030303030303068
LOW_BREADTH_LOW_DISP,20,0.0012406947890818859,806,0.024242424242424288
LOW_BREADTH_LOW_DISP,21,0.0012422360248447205,805,0.025454545454545507
LOW_BREADTH_LOW_DISP,22,0.0012437810945273632,804,0.026666666666666727
LOW_BREADTH_LOW_DISP,23,0.0012453300124533001,803,0.027878787878787947
LOW_BREADTH_LOW_DISP,24,0.0012468827930174563,802,0.029090909090909167
LOW_BREADTH_LOW_DISP,25,0.0012484394506866417,801,0.030303030303030387
LOW_BREADTH_LOW_DISP,26,0.00125,800,0.03151515151515161
LOW_BREADTH_LOW_DISP,27,0.0012515644555694619,799,0.03272727272727283
LOW_BREADTH_LOW_DISP,28,0.0012531328320802004,798,0.03393939393939405
LOW_BREADTH_LOW_DISP,29,0.0012547051442910915,797,0.03515151515151527
LOW_BREADTH_LOW_DISP,30,0.001256281407035176,796,0.03636363636363649
