vol_tile,hh_age_band,n,p_stay_1d,fwd7_prop,fwd7_reentry,fwd7_band_up,subperiods
VOL_LO,AGE_1,36,0.7777777777777778,0.1388888888888889,0.4444444444444444,51.77777777777778,3
VOL_LO,AGE_2_3,49,0.7551020408163265,0.20408163265306123,0.3877551020408163,49.59183673469387,3
VOL_LO,AGE_4_7,50,0.84,0.24,0.48,57.6,3
VOL_LO,AGE_8_14,42,0.8809523809523809,0.38095238095238093,0.40476190476190477,82.07142857142857,3
VOL_MID,AGE_1,31,0.6451612903225806,0.3870967741935484,0.3548387096774194,55.41935483870968,5
VOL_MID,AGE_2_3,31,0.7741935483870968,0.4838709677419355,0.16129032258064516,47.83870967741935,5
VOL_MID,AGE_4_7,40,0.95,0.6,0.05,45.775,5
VOL_MID,AGE_8_14,50,0.94,0.42,0.28,58.18,5
VOL_MID,AGE_15_PLUS,103,0.9514563106796117,0.6019417475728155,0.0970873786407767,59.87378640776699,5
VOL_HI,AGE_4_7,31,0.9032258064516129,0.3548387096774194,0.5806451612903226,58.41935483870968,2
VOL_HI,AGE_15_PLUS,209,0.9665071770334929,0.69377990430622,0.07655502392344497,52.44976076555024,2
