cell,age_band,n_days,clock,median_latency_d,p_by_7d,p_by_14d,p_by_30d,p_by_3d
HIGH_BREADTH_HIGH_DISP,AGE_1,79,STATE_EXIT,2.0,0.6835443037974683,0.810126582278481,0.8734177215189873,
HIGH_BREADTH_HIGH_DISP,AGE_1,79,PROPAGATION,,0.22784810126582278,0.3037974683544304,0.25316455696202533,0.22784810126582278
HIGH_BREADTH_HIGH_DISP,AGE_1,79,REENTRY,,0.4177215189873418,0.2911392405063291,0.189873417721519,0.45569620253164556
HIGH_BREADTH_HIGH_DISP,AGE_1,79,ARRIVAL_isol_dn,3.0,0.8607594936708861,0.9873417721518988,1.0,
HIGH_BREADTH_HIGH_DISP,AGE_1,79,ARRIVAL_band_up,1.0,0.9873417721518988,1.0,1.0,
HIGH_BREADTH_HIGH_DISP,AGE_1,79,ARRIVAL_multi_up,3.0,0.8227848101265823,0.9873417721518988,1.0,
HIGH_BREADTH_HIGH_DISP,AGE_1,79,ARRIVAL_coord_dn,1.0,0.9873417721518988,1.0,1.0,
HIGH_BREADTH_HIGH_DISP,AGE_2_3,101,STATE_EXIT,4.0,0.5841584158415841,0.7227722772277227,0.8217821782178217,
HIGH_BREADTH_HIGH_DISP,AGE_2_3,101,PROPAGATION,,0.2871287128712871,0.3069306930693069,0.36633663366336633,0.3069306930693069
HIGH_BREADTH_HIGH_DISP,AGE_2_3,101,REENTRY,,0.36633663366336633,0.297029702970297,0.18811881188118812,0.48514851485148514
HIGH_BREADTH_HIGH_DISP,AGE_2_3,101,ARRIVAL_isol_dn,2.0,0.8415841584158416,0.9900990099009901,0.9900990099009901,
HIGH_BREADTH_HIGH_DISP,AGE_2_3,101,ARRIVAL_band_up,1.0,0.9702970297029703,0.9900990099009901,0.9900990099009901,
HIGH_BREADTH_HIGH_DISP,AGE_2_3,101,ARRIVAL_multi_up,2.0,0.8415841584158416,0.9801980198019802,0.9900990099009901,
