component,measure,long_med,short_med,diff,p,n_long,n_short,verdict
BIRTH_QUALITY,entry_quality_score long- vs short-lived,0.6434599156118144,0.4388185654008439,0.20464135021097046,5.260322650465178e-06,26,53.0,BIRTH_AND_SELECTION
BIRTH_QUALITY,top500_breadth_30d,0.683,0.43,0.25300000000000006,0.002013376595994625,26,53.0,BIRTH_AND_SELECTION
BIRTH_QUALITY,top500_dispersion_30d,0.4923172173670154,0.3690228393750648,0.12329437799195059,0.012647105070597846,26,53.0,BIRTH_AND_SELECTION
BIRTH_QUALITY,btc_return_30d,0.19924322195719213,0.07844516051913941,0.12079806143805272,0.00031885058741922315,26,53.0,BIRTH_AND_SELECTION
BIRTH_QUALITY,rank_depth_rel,-0.02022036192148391,-0.03151623927334013,0.01129587735185622,0.9500852661117193,26,53.0,BIRTH_AND_SELECTION
BIRTH_QUALITY,top3_share,0.7229425510657751,0.7236353897588619,-0.0006928386930867836,0.6840828550211284,26,53.0,BIRTH_AND_SELECTION
BIRTH_QUALITY,vol_med,0.04652484706294932,0.042757933125252855,0.003766913937696466,0.27789441113825253,26,53.0,BIRTH_AND_SELECTION
SURVIVAL_SELECTION,P(leave) at age>=1,0.1025974025974026,,,,770,,BIRTH_AND_SELECTION
SURVIVAL_SELECTION,P(leave) at age>=3,0.0679304897314376,,,,633,,BIRTH_AND_SELECTION
SURVIVAL_SELECTION,P(leave) at age>=5,0.059674502712477394,,,,553,,BIRTH_AND_SELECTION
SURVIVAL_SELECTION,P(leave) at age>=7,0.05295315682281059,,,,491,,BIRTH_AND_SELECTION
SURVIVAL_SELECTION,P(leave) at age>=10,0.04523809523809524,,,,420,,BIRTH_AND_SELECTION
SURVIVAL_SELECTION,P(leave) at age>=15,0.04105571847507331,,,,341,,BIRTH_AND_SELECTION
WITHIN_STATE_MATURATION,early vs late fwd7 prop (same episode),0.375,0.0,0.375,0.19388688150843592,19,19.0,BIRTH_AND_SELECTION
