group,age_band,n,p_cell_HH,p_cell_LL,reversal_rate,med_fwd7_sigma,p_cross_PR_UP_RD,p_cross_PR_UP_RU
SHMC,AGE_1,3514,0.23790552077404667,0.25611838360842343,0.5765509391007398,-0.20547327399253845,0.0005691519635742744,0.0002845759817871372
SHMC,AGE_2_3,3321,0.25082806383619394,0.3526046371574827,0.6004215597711533,-0.23289582133293152,0.00030111412225233364,0.0009033423667570009
SHMC,AGE_4_7,4437,0.23349109758846068,0.4324994365562317,0.5724588686049132,-0.1653733104467392,0.000450755014649538,0.000225377507324769
SHMC,AGE_8_14,5001,0.1851629674065187,0.5550889822035593,0.6166766646670666,-0.24246859550476074,0.0005998800239952009,0.0001999600079984003
SHMC,AGE_15_PLUS,7091,0.3889437314906219,0.5298265406853758,0.5600056409533211,-0.10351994633674622,0.0004230714990833451,0.0009871668311944718
SHHM,AGE_1,11470,0.34280732345248477,0.23626852659110723,0.5408892763731473,-0.15162673592567444,0.0006102877070619006,0.0003487358326068004
SHHM,AGE_2_3,12119,0.37280303655417113,0.20026404818879445,0.5808235002888027,-0.23732122778892517,0.0006601204719861375,0.0002475451769948016
SHHM,AGE_4_7,16035,0.4457748674773932,0.19301527907701901,0.5754911131898971,-0.20872297883033752,0.0006236357966947302,0.00012472715933894605
SHHM,AGE_8_14,12781,0.5012909787966513,0.286675533995775,0.5564509819262968,-0.15895207226276398,0.0003912056959549331,0.00031296455676394646
SHHM,AGE_15_PLUS,27350,0.7020109689213894,0.25118829981718466,0.5555393053016453,-0.14731371402740479,0.00047531992687385743,0.00047531992687385743
