axis,verdict,steepest_bin_mid,width_bins,max_slope,subperiod_stable,age_shifts,n_subperiod_locs,n_age_locs
rank_depth_rel,SHIFTING_GATE,-0.08566879954823797,8,4.199091192379088,0,1,5,5
top500_breadth_30d,SHIFTING_GATE,0.102,3,2.9089769575421363,0,1,5,5
top500_dispersion_30d,STABLE_GATE,0.22168597571425205,2,3.15339710477104,1,0,5,5
vol_med,SHIFTING_GATE,0.03922429498641584,5,24.9607804927412,0,1,5,5
top3_share,INCONCLUSIVE,0.7259252328304752,3,28.517913926952016,0,0,5,5
age_in_cell,SMOOTH,12.0,3,0.02714512711864407,1,0,5,2
