historical_date,cmc_id,rank,rank_band,ret_1d,sigma_t0,fwd1_cum,fwd2_cum,fwd3_cum,fwd5_cum,fwd7_cum,fwd10_cum,fwd14_cum,fwd21_cum,fwd30_cum,rank_vel_1d,rank_vel_3d,rank_vel_7d,rank_vel_14d,rank_vel_30d,volume_24h_usd,vol_prev7_med,listing_age_days,log10_mcap,mcap_q_within_date,momentum_state,top500_breadth_30d,top500_dispersion_30d,mkt_vol_30d,btc_ret_1d,eth_ret_1d,z1,sign,ns,cls,family,fwd7_sigma,reversal,subperiod,event_id,price_outcome,pre_rank_state,fwd_rank_vel_7d,rank_outcome,price_recovered,price_new_low,rank_recovered,rank_decayed,cross_state,response_class,resp3,rank_depth_rel,vol_med,cell,age_in_cell,top3_share,fwd_rank_vel_30d,price_flat,price_declining,price_relapse_30d,later_price_breakdown
2024-06-03 23:59:59,258,723,501-750,-0.098576054,0.032846782,-0.044923708,-0.044895902,-0.07901467,-0.088057205,-0.09204835,-0.13461338,-0.3666479,-0.3836345,-0.40162322,-33.0,-38.0,-44.0,-81.0,-96.0,5.895175e+06,686569.25,3706,7.5919104,3.0,SHORT_COLD_MEDIUM_COLD,0.442,0.2854898141993506,0.04044785,0.015544687,-0.0038368502,3.0010872,-1,1,ISOLATED,ISOLATED_DOWNSIDE_EXTREME,-1.0591908,0,2024,LF2EV_258_20240603,CONTINUED_DECLINE,RANK_DETERIORATING,-21.0,RANK_CONTINUED_DETERIORATION,0,1,0,1,PRICE_DECAY_RANK_DECAY,NO_RESPONSE,NO_RESPONSE,0.018175245548703645,0.04044784998097771,HIGH_BREADTH_LOW_DISP,2.0,0.7124091211402798,15.0,0,1,0,1
2025-03-19 23:59:59,268,960,751-1000,-0.15347335,0.060281873,-0.04447763,-0.07260572,-0.08101908,-0.08083744,-0.097236946,-0.107181296,-0.11828346,-0.2824415,-0.42572218,-67.0,-11.0,-27.0,13.0,143.0,169143.67,181830.9,3988,7.086395,2.0,SHORT_HOT_MEDIUM_COLD,0.098,0.2111264292493519,0.06199884,0.049997564,0.06478805,2.5459287,-1,1,ISOLATED,ISOLATED_DOWNSIDE_EXTREME,-0.60967106,0,2025-2026,LF2EV_268_20250319,CONTINUED_DECLINE,RANK_DETERIORATING,-41.0,RANK_CONTINUED_DETERIORATION,0,1,0,1,PRICE_DECAY_RANK_DECAY,NO_RESPONSE,NO_RESPONSE,-0.08887209376534444,0.06199884187108534,LOW_BREADTH_LOW_DISP,10.0,0.7414723128380385,-117.0,0,1,0,1
2021-07-03 23:59:59,506,1573,1501-2000,-0.3894043,0.18277979,0.017565632,-0.023737298,-0.012487913,-0.052493818,-0.031985816,0.041167386,-0.060487207,0.05151486,0.21414463,-180.0,-190.0,-188.0,-12.0,-81.0,0.01,,2527,6.029806,1.0,SHORT_COLD_MEDIUM_COLD,0.086,0.2352778890773732,0.0782423,0.022760088,0.035382554,2.130456,-1,1,ISOLATED,ISOLATED_DOWNSIDE_EXTREME,-0.06614245,0,2020-2021,LF2EV_506_20210703,FULL_REVERSAL,RANK_DETERIORATING,1.0,RANK_RECOVERY,1,0,1,0,PRICE_RECOVERY_RANK_RECOVERY,NO_RESPONSE,NO_RESPONSE,-0.034394431267898484,0.07824229903727364,LOW_BREADTH_LOW_DISP,34.0,0.6534469398293,35.0,1,0,0,0
2022-09-07 23:59:59,624,996,751-1000,-0.0067850323,0.0023833597,0.00058467046,0.00025031337,0.009236586,0.0084273545,0.00023552614,-0.0015388229,-0.019619705,-0.034627397,-0.012939392,-13.0,-1.0,-6.0,11.0,30.0,1.6569784e+06,1.5730654e+06,2906,6.6104336,2.0,SHORT_COLD_MEDIUM_COLD,0.1,0.30418354774786704,0.042154204,0.02402931,0.043641984,2.8468351,-1,1,ISOLATED,ISOLATED_DOWNSIDE_EXTREME,0.037350852,1,2022,LF2EV_624_20220907,LATE_RECOVERY,RANK_DETERIORATING,-7.0,RANK_CONTINUED_DETERIORATION,0,1,0,1,PRICE_DECAY_RANK_DECAY,NO_RESPONSE,NO_RESPONSE,-0.0073231299486991586,0.04215420591435445,LOW_BREADTH_LOW_DISP,13.0,0.6211771895798014,2.0,1,0,1,1
2020-10-20 23:59:59,1008,703,501-750,-0.15842153,0.0632605,-0.094768085,-0.0059060585,-0.17066705,-0.39077777,-0.3644987,-0.9990654,-1.1843855,-1.5432994,-0.9810138,-51.0,0.0,-50.0,-158.0,205.0,2984.833,1175.0162,1916,6.665275,3.0,SHORT_COLD_MEDIUM_COLD,0.212,0.2966206210214056,0.053517338,0.014843931,-0.028422432,2.5042725,-1,1,ISOLATED,ISOLATED_DOWNSIDE_EXTREME,-2.1777816,0,2020-2021,LF2EV_1008_20201020,CONTINUED_DECLINE,RANK_DETERIORATING,-118.0,RANK_CONTINUED_DETERIORATION,0,1,0,1,PRICE_DECAY_RANK_DECAY,NO_RESPONSE,NO_RESPONSE,-0.08648292944125274,0.05351733744194595,LOW_BREADTH_LOW_DISP,2.0,0.7400569325579128,-586.0,0,1,0,1
2021-01-06 23:59:59,1500,943,751-1000,-0.19370274,0.073345944,-0.11338674,0.028738834,-0.10095676,-0.19187619,-0.09277171,-0.07869829,-0.11530394,-0.16047068,-0.15018375,-83.0,-3.0,-32.0,-79.0,-95.0,24615.43,34666.94,1459,6.509698,2.0,SHORT_HOT_MEDIUM_COLD,0.584,2.375645621211483,0.06448588,0.08331076,0.09736867,2.6409469,-1,1,ISOLATED,ISOLATED_DOWNSIDE_EXTREME,-0.47806883,0,2020-2021,LF2EV_1500_20210106,CONTINUED_DECLINE,RANK_DETERIORATING,-151.0,RANK_CONTINUED_DETERIORATION,0,1,0,1,PRICE_DECAY_RANK_DECAY,NO_RESPONSE,NO_RESPONSE,-0.18370072083602706,0.06448588077792233,HIGH_BREADTH_HIGH_DISP,7.0,0.8212493261234335,-150.0,0,1,0,1
2021-06-30 23:59:59,1587,834,751-1000,-0.1538231,0.065333374,-0.10390164,-0.11047158,0.008004786,-0.089951985,-0.10732279,-0.007937578,-0.1281957,-0.11608705,-0.08541059,-58.0,-73.0,-58.0,-89.0,-117.0,51.18,1596.8,1557,6.98673,3.0,SHORT_COLD_MEDIUM_COLD,0.114,0.22425655493678487,0.08109536,-0.023055248,0.0526569,2.3544335,-1,1,ISOLATED,ISOLATED_DOWNSIDE_EXTREME,-0.62088025,0,2020-2021,LF2EV_1587_20210630,CONTINUED_DECLINE,RANK_DETERIORATING,-44.0,RANK_CONTINUED_DETERIORATION,0,0,0,1,PRICE_DECAY_RANK_DECAY,NO_RESPONSE,NO_RESPONSE,-0.07637967604866708,0.08109535730451334,LOW_BREADTH_LOW_DISP,31.0,0.6543530211550812,-90.0,0,1,0,1
2020-10-15 23:59:59,1609,906,751-1000,-0.11697733,0.04841272,-0.026207305,0.024125664,-0.058366038,-0.33673388,-0.20843717,-0.22835205,-0.12057727,-0.123523414,-0.156298,-32.0,-77.0,-66.0,-73.0,-297.0,574767.6,563924.0,1293,6.392857,2.0,SHORT_COLD_MEDIUM_COLD,0.252,0.40260691239973395,0.053407107,0.0057607703,-0.005381497,2.416252,-1,1,ISOLATED,ISOLATED_DOWNSIDE_EXTREME,-1.6272964,0,2020-2021,LF2EV_1609_20201015,CONTINUED_DECLINE,RANK_DETERIORATING,-81.0,RANK_CONTINUED_DETERIORATION,0,1,0,1,PRICE_DECAY_RANK_DECAY,NO_RESPONSE,NO_RESPONSE,-0.04758383812163319,0.05340710597669491,LOW_BREADTH_HIGH_DISP,20.0,0.7247680764329034,,0,1,0,1
2021-03-02 23:59:59,1673,1046,1001-1500,-0.19169797,0.09344313,0.022734007,-0.004231303,-0.04291579,0.054882918,0.060608305,-0.15585916,-0.084683485,-0.2609505,0.52922845,3.0,31.0,-78.0,-39.0,-57.0,56764.62,84142.13,1389,6.55078,2.0,SHORT_COLD_MEDIUM_COLD,0.754,1.2549433364661284,0.0976898,-0.02523115,-0.04607815,2.0514934,-1,1,ISOLATED,ISOLATED_DOWNSIDE_EXTREME,0.24515218,1,2020-2021,LF2EV_1673_20210302,LATE_RECOVERY,RANK_DETERIORATING,-34.0,RANK_CONTINUED_DETERIORATION,1,0,0,1,PRICE_RECOVERY_RANK_DECAY,NO_RESPONSE,NO_RESPONSE,-0.2569293401749747,0.0976897975644681,HIGH_BREADTH_HIGH_DISP,15.0,0.737057324844993,-177.0,0,0,0,0
2025-11-02 23:59:59,1856,960,751-1000,-0.05353376,0.025357688,-0.042147607,-0.04635158,-0.04968093,0.0022348312,-0.057629023,-0.04578927,-0.17418058,-0.17242797,-0.19267835,-117.0,-22.0,-113.0,-132.0,-128.0,57152.94,45389.67,3013,7.2864113,2.0,SHORT_COLD_MEDIUM_COLD,0.078,0.3527748511000126,0.06823723,0.0052297646,0.009518187,2.111145,-1,1,ISOLATED,ISOLATED_DOWNSIDE_EXTREME,-0.8589791,0,2025-2026,LF2EV_1856_20251102,CONTINUED_DECLINE,RANK_DETERIORATING,-3.0,RANK_CONTINUED_DETERIORATION,0,1,0,1,PRICE_DECAY_RANK_DECAY,NO_RESPONSE,NO_RESPONSE,-0.07704512927328988,0.06823723129495932,LOW_BREADTH_HIGH_DISP,1.0,0.7241813837726667,18.0,0,1,0,1
