perturbation,hh_age_band,n_treated,n_control,p_stay_treated,p_stay_control,delta_stay,fwd7_prop_treated,fwd7_prop_control,delta_prop,subperiods
brd_jump,AGE_1,41,38,0.7073170731707317,0.7631578947368421,-0.05584082156611048,0.21951219512195122,0.23684210526315788,-0.01732991014120666,5
brd_jump,AGE_2_3,54,47,0.7962962962962963,0.7872340425531915,0.009062253743104765,0.2962962962962963,0.2765957446808511,0.019700551615445205,5
brd_jump,AGE_4_7,72,53,0.875,0.9245283018867925,-0.04952830188679247,0.3333333333333333,0.4339622641509434,-0.1006289308176101,5
brd_jump,AGE_8_14,47,77,0.9361702127659575,0.9090909090909091,0.027079303675048405,0.3191489361702128,0.4805194805194805,-0.16137054434926773,5
brd_jump,AGE_15_PLUS,72,269,0.9861111111111112,0.9516728624535316,0.034438248657579607,0.7222222222222222,0.6505576208178439,0.07166460140437836,5
brd_drop,AGE_1,24,55,0.7083333333333334,0.7454545454545455,-0.03712121212121211,0.125,0.2727272727272727,-0.1477272727272727,5
brd_drop,AGE_2_3,27,74,0.7777777777777778,0.7972972972972973,-0.019519519519519468,0.2222222222222222,0.3108108108108108,-0.08858858858858859,5
brd_drop,AGE_4_7,22,103,0.9545454545454546,0.883495145631068,0.07105030891438657,0.2727272727272727,0.39805825242718446,-0.12533097969991175,5
brd_drop,AGE_8_14,36,88,0.8611111111111112,0.9431818181818182,-0.08207070707070707,0.3888888888888889,0.4318181818181818,-0.04292929292929293,5
brd_drop,AGE_15_PLUS,118,223,0.940677966101695,0.968609865470852,-0.027931899369157076,0.559322033898305,0.7219730941704036,-0.16265106027209852,5
disp_jump,AGE_1,45,34,0.7333333333333333,0.7352941176470589,-0.0019607843137255943,0.24444444444444444,0.20588235294117646,0.038562091503267976,5
disp_jump,AGE_2_3,51,50,0.7843137254901961,0.8,-0.015686274509803977,0.35294117647058826,0.22,0.13294117647058826,5
disp_jump,AGE_4_7,48,77,0.8958333333333334,0.8961038961038961,-0.00027056277056269895,0.4375,0.33766233766233766,0.09983766233766234,5
disp_jump,AGE_8_14,58,66,0.9310344827586207,0.9090909090909091,0.021943573667711602,0.43103448275862066,0.4090909090909091,0.021943573667711547,5
disp_jump,AGE_15_PLUS,141,200,0.9716312056737588,0.95,0.02163120567375887,0.7801418439716312,0.585,0.19514184397163126,5
disp_drop,AGE_4_7,36,89,0.8611111111111112,0.9101123595505618,-0.04900124843945064,0.3055555555555556,0.4044943820224719,-0.09893882646691632,5
disp_drop,AGE_8_14,40,84,0.925,0.9166666666666666,0.008333333333333415,0.375,0.44047619047619047,-0.06547619047619047,5
disp_drop,AGE_15_PLUS,137,204,0.9343065693430657,0.9754901960784313,-0.041183626735365686,0.5912408759124088,0.7156862745098039,-0.12444539859739512,5
