cell,landmark_age,n_days,p_stay_1d,p_stay_3d,p_stay_7d,p_prop_3d,p_prop_7d,p_prop_14d,p_reentry_3d,p_reentry_7d,p_reentry_14d,p_tail_isol_dn_7d,p_tail_band_up_7d,exit_HIGH_BREADTH_HIGH_DISP,exit_HIGH_BREADTH_LOW_DISP,exit_LOW_BREADTH_HIGH_DISP,exit_LOW_BREADTH_LOW_DISP
HIGH_BREADTH_HIGH_DISP,1,770,0.8974025974025974,0.8558441558441559,0.7714285714285715,0.4922077922077922,0.4844155844155844,0.45714285714285713,0.2961038961038961,0.24805194805194805,0.2012987012987013,0.4896103896103896,56.9038961038961,0.0,0.3974358974358974,0.358974358974359,0.24358974358974358
HIGH_BREADTH_HIGH_DISP,3,633,0.9320695102685624,0.8909952606635071,0.8072669826224329,0.5434439178515008,0.5371248025276462,0.48973143759873616,0.2559241706161137,0.21642969984202212,0.18009478672985782,0.5181674565560821,57.90047393364929,0.0,0.2857142857142857,0.38095238095238093,0.3333333333333333
HIGH_BREADTH_HIGH_DISP,5,553,0.9403254972875226,0.9005424954792043,0.8245931283905967,0.5732368896925859,0.5678119349005425,0.515370705244123,0.22965641952983726,0.19168173598553345,0.15913200723327306,0.5280289330922242,59.17902350813743,0.0,0.24242424242424243,0.3939393939393939,0.36363636363636365
HIGH_BREADTH_HIGH_DISP,7,491,0.9470468431771895,0.9083503054989817,0.8411405295315683,0.604887983706721,0.5906313645621182,0.5376782077393075,0.20977596741344195,0.17311608961303462,0.14052953156822812,0.5295315682281059,59.35845213849287,0.0,0.23076923076923078,0.34615384615384615,0.4230769230769231
HIGH_BREADTH_HIGH_DISP,10,420,0.9547619047619048,0.9238095238095239,0.85,0.6523809523809524,0.6214285714285714,0.5571428571428572,0.17142857142857143,0.15,0.12380952380952381,0.5428571428571428,58.385714285714286,0.0,0.15789473684210525,0.47368421052631576,0.3684210526315789
HIGH_BREADTH_HIGH_DISP,15,341,0.9589442815249267,0.9208211143695014,0.8475073313782991,0.7008797653958945,0.6656891495601173,0.5278592375366569,0.12609970674486803,0.10263929618768329,0.12903225806451613,0.5454545454545454,55.369501466275665,0.0,0.21428571428571427,0.5,0.2857142857142857
HIGH_BREADTH_LOW_DISP,1,327,0.746177370030581,0.5871559633027523,0.44954128440366975,0.20489296636085627,0.21406727828746178,0.21712538226299694,0.4036697247706422,0.40061162079510704,0.3730886850152905,0.40672782874617736,45.09480122324159,0.39759036144578314,0.0,0.04819277108433735,0.5542168674698795
HIGH_BREADTH_LOW_DISP,3,188,0.7925531914893617,0.5957446808510638,0.4574468085106383,0.2127659574468085,0.21808510638297873,0.21808510638297873,0.39893617021276595,0.44148936170212766,0.4095744680851064,0.3829787234042553,49.212765957446805,0.46153846153846156,0.0,0.0,0.5384615384615384
HIGH_BREADTH_LOW_DISP,5,115,0.7652173913043478,0.591304347826087,0.46956521739130436,0.20869565217391303,0.21739130434782608,0.20869565217391303,0.40869565217391307,0.4782608695652174,0.4260869565217391,0.3652173913043478,48.82608695652174,0.5185185185185185,0.0,0.0,0.48148148148148145
HIGH_BREADTH_LOW_DISP,7,67,0.746268656716418,0.6417910447761194,0.4925373134328358,0.208955223880597,0.14925373134328357,0.11940298507462686,0.417910447761194,0.5671641791044776,0.5223880597014925,0.26865671641791045,51.64179104477612,0.5294117647058824,0.0,0.0,0.47058823529411764
HIGH_BREADTH_LOW_DISP,10,32,0.84375,0.71875,0.625,0.0625,0.03125,0.0,0.59375,0.8125,0.6875,0.1875,58.4375,0.4,0.0,0.0,0.6
LOW_BREADTH_HIGH_DISP,1,274,0.7591240875912408,0.6459854014598541,0.46715328467153283,0.08029197080291971,0.07664233576642336,0.09854014598540146,0.18613138686131386,0.22992700729927007,0.2664233576642336,0.4927007299270073,39.18613138686131,0.3484848484848485,0.09090909090909091,0.0,0.5606060606060606
LOW_BREADTH_HIGH_DISP,3,173,0.8786127167630058,0.7398843930635838,0.4913294797687861,0.08092485549132948,0.08670520231213873,0.12716763005780346,0.16184971098265896,0.1907514450867052,0.28901734104046245,0.5202312138728323,37.82658959537572,0.14285714285714285,0.09523809523809523,0.0,0.7619047619047619
LOW_BREADTH_HIGH_DISP,5,136,0.8897058823529411,0.7352941176470589,0.4852941176470588,0.08823529411764706,0.09558823529411764,0.14705882352941177,0.17647058823529413,0.19852941176470587,0.3161764705882353,0.5808823529411765,38.904411764705884,0.13333333333333333,0.06666666666666667,0.0,0.8
LOW_BREADTH_HIGH_DISP,7,107,0.8785046728971962,0.7009345794392523,0.45794392523364486,0.08411214953271028,0.11214953271028037,0.1588785046728972,0.18691588785046728,0.24299065420560748,0.3177570093457944,0.6542056074766355,38.05607476635514,0.15384615384615385,0.07692307692307693,0.0,0.7692307692307693
LOW_BREADTH_HIGH_DISP,10,71,0.8591549295774648,0.676056338028169,0.4647887323943662,0.11267605633802817,0.14084507042253522,0.18309859154929578,0.23943661971830985,0.29577464788732394,0.323943661971831,0.6619718309859155,39.309859154929576,0.2,0.0,0.0,0.8
LOW_BREADTH_HIGH_DISP,15,32,0.84375,0.59375,0.34375,0.1875,0.21875,0.25,0.375,0.34375,0.3125,0.59375,36.34375,0.2,0.0,0.0,0.8
LOW_BREADTH_LOW_DISP,1,825,0.8751515151515151,0.8,0.6993939393939393,0.05696969696969697,0.06181818181818182,0.07878787878787878,0.19515151515151516,0.22666666666666666,0.2690909090909091,0.4581818181818182,37.75272727272727,0.22330097087378642,0.44660194174757284,0.3300970873786408,0.0
LOW_BREADTH_LOW_DISP,3,660,0.9272727272727272,0.8575757575757575,0.740909090909091,0.04242424242424243,0.05303030303030303,0.06818181818181818,0.17575757575757575,0.20909090909090908,0.27575757575757576,0.4772727272727273,35.78484848484848,0.0625,0.5416666666666666,0.3958333333333333,0.0
LOW_BREADTH_LOW_DISP,5,572,0.9353146853146853,0.8671328671328671,0.7517482517482518,0.03671328671328671,0.05419580419580419,0.06993006993006994,0.16433566433566432,0.20279720279720279,0.2867132867132867,0.48951048951048953,35.730769230769226,0.08108108108108109,0.5675675675675675,0.35135135135135137,0.0
LOW_BREADTH_LOW_DISP,7,501,0.936127744510978,0.872255489021956,0.7425149700598802,0.03792415169660679,0.0499001996007984,0.0658682634730539,0.1536926147704591,0.20359281437125748,0.2934131736526946,0.4870259481037924,36.02395209580838,0.09375,0.53125,0.375,0.0
LOW_BREADTH_LOW_DISP,10,414,0.9396135265700483,0.8719806763285024,0.7198067632850241,0.033816425120772944,0.04589371980676329,0.06763285024154589,0.14492753623188406,0.21739130434782608,0.2946859903381642,0.4830917874396135,37.07971014492754,0.12,0.52,0.36,0.0
LOW_BREADTH_LOW_DISP,15,298,0.9295302013422819,0.8523489932885906,0.7046979865771812,0.026845637583892617,0.053691275167785234,0.08053691275167785,0.1610738255033557,0.23154362416107382,0.31543624161073824,0.47315436241610737,36.54697986577181,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.0
