group,n,p0,p1,p5,p25,p50,p75,p95,p99,p100
POOLED,890,0.110383,0.208103,0.355539,0.708625,1.10902,1.710361,3.6247,5.73355,18.187813
A,432,0.164928,0.221043,0.370594,0.749737,1.179898,1.844104,4.041715,5.899228,11.465802
B,458,0.110383,0.204346,0.345245,0.646651,1.043367,1.636725,3.356086,5.47156,18.187813
DEVELOPMENT,610,0.110383,0.184527,0.317195,0.622634,1.0,1.634283,3.692267,5.480212,18.187813
RELATIONSHIP_CONFIRMED_OOS,280,0.199585,0.235669,0.53179,0.908356,1.285636,1.839901,3.435815,6.283762,8.777373
