equity_usd,family,one_R_budget_usd,median_target_notional_usd,p95_target_notional_usd,p99_target_notional_usd,max_target_notional_usd,median_notional_equity,p95_notional_equity,max_notional_equity,historical_worst_observed_account_impact_pct,broker_feasibility
5000.0,A,35.0,16756.68,57203.53,86032.26,163831.29,3.3513,11.441,32.766,-2.5588,MISSING_EXECUTION_TRANSLATION_FIELD (until account/spec truth)
5000.0,B,15.0,6424.98,20615.7,33552.42,111377.15,1.285,4.123,22.275,-0.9939,MISSING_EXECUTION_TRANSLATION_FIELD (until account/spec truth)
10000.0,A,70.0,33513.36,114407.05,172064.51,327662.59,3.3513,11.441,32.766,-2.5588,MISSING_EXECUTION_TRANSLATION_FIELD (until account/spec truth)
10000.0,B,30.0,12849.97,41231.4,67104.83,222754.3,1.285,4.123,22.275,-0.9939,MISSING_EXECUTION_TRANSLATION_FIELD (until account/spec truth)
25000.0,A,175.0,83783.41,286017.63,430161.28,819156.47,3.3513,11.441,32.766,-2.5588,MISSING_EXECUTION_TRANSLATION_FIELD (until account/spec truth)
25000.0,B,75.0,32124.92,103078.5,167762.08,556885.76,1.285,4.123,22.275,-0.9939,MISSING_EXECUTION_TRANSLATION_FIELD (until account/spec truth)
50000.0,A,350.0,167566.81,572035.27,860322.55,1638312.94,3.3513,11.441,32.766,-2.5588,MISSING_EXECUTION_TRANSLATION_FIELD (until account/spec truth)
50000.0,B,150.0,64249.85,206157.01,335524.15,1113771.52,1.285,4.123,22.275,-0.9939,MISSING_EXECUTION_TRANSLATION_FIELD (until account/spec truth)
100000.0,A,700.0,335133.63,1144070.54,1720645.1,3276625.87,3.3513,11.441,32.766,-2.5588,MISSING_EXECUTION_TRANSLATION_FIELD (until account/spec truth)
100000.0,B,300.0,128499.69,412314.01,671048.31,2227543.05,1.285,4.123,22.275,-0.9939,MISSING_EXECUTION_TRANSLATION_FIELD (until account/spec truth)
