basket_id,leg,symbol,side,signal_ref,fill_price,slip_pts
R6T010200,L1,GBPAUD.PRO,LONG,1.908205,1.9082599999999998,5.5
R6T010200,L2,GBPNZD.PRO,SHORT,2.2944,2.29434,-6.0
R6T010200,L3,AUDNZD.PRO,LONG,1.20239,1.20243,4.0
R6T020200,L1,GBPAUD.PRO,LONG,1.908195,1.9082400000000002,4.5
R6T020200,L2,GBPNZD.PRO,SHORT,2.29439,2.29434,-5.0
R6T020200,L3,AUDNZD.PRO,LONG,1.20239,1.20243,4.0
R6T030201,L1,GBPAUD.PRO,LONG,1.908195,1.9082400000000002,4.5
R6T030201,L2,GBPNZD.PRO,SHORT,2.29439,2.29434,-5.0
R6T030201,L3,AUDNZD.PRO,LONG,1.20239,1.20243,4.0
R6T040202,L1,GBPAUD.PRO,LONG,1.908195,1.9082400000000002,4.5
R6T040202,L2,GBPNZD.PRO,SHORT,2.29439,2.29434,-5.0
R6T040202,L3,AUDNZD.PRO,LONG,1.20239,1.20243,4.0
R6T050202,L1,GBPAUD.PRO,LONG,1.908195,1.9082400000000002,4.5
R6T050202,L2,GBPNZD.PRO,SHORT,2.29439,2.29434,-5.0
R6T050202,L3,AUDNZD.PRO,LONG,1.20239,1.20243,4.0
