basket_id,leg,symbol,deal_ticket,order_ticket,position_ticket,volume,price,entry,time_msc
R6T010200,L1,GBPAUD.PRO,9558513,11958341,11958341,0.01,1.9082599999999998,0,1786950997347
R6T010200,L2,GBPNZD.PRO,9558514,11958342,11958342,0.01,2.29434,0,1786950997382
R6T010200,L3,AUDNZD.PRO,9558515,11958343,11958343,0.02,1.20243,0,1786950997419
R6T020200,L1,GBPAUD.PRO,9558519,11958347,11958347,0.01,1.9082400000000002,0,1786950998295
R6T020200,L2,GBPNZD.PRO,9558520,11958348,11958348,0.01,2.29434,0,1786950998332
R6T020200,L3,AUDNZD.PRO,9558521,11958349,11958349,0.02,1.20243,0,1786950998367
R6T030201,L1,GBPAUD.PRO,9558525,11958353,11958353,0.01,1.9082400000000002,0,1786950998750
R6T030201,L2,GBPNZD.PRO,9558526,11958354,11958354,0.01,2.29434,0,1786950998790
R6T030201,L3,AUDNZD.PRO,9558527,11958355,11958355,0.02,1.20243,0,1786950998835
R6T040202,L1,GBPAUD.PRO,9558531,11958359,11958359,0.01,1.9082400000000002,0,1786950999209
R6T040202,L2,GBPNZD.PRO,9558532,11958360,11958360,0.01,2.29434,0,1786950999244
R6T040202,L3,AUDNZD.PRO,9558533,11958361,11958361,0.02,1.20243,0,1786950999280
R6T050202,L1,GBPAUD.PRO,9558537,11958365,11958365,0.01,1.9082400000000002,0,1786950999655
R6T050202,L2,GBPNZD.PRO,9558538,11958366,11958366,0.01,2.29434,0,1786950999696
R6T050202,L3,AUDNZD.PRO,9558539,11958367,11958367,0.02,1.20243,0,1786950999733
