basket_id,leg,symbol,position_ticket,volume,price_open,comment
R6T010200,L1,GBPAUD.PRO,11958341,0.01,1.9082599999999998,TB|R6T010200|GBPAUD|L1
R6T010200,L2,GBPNZD.PRO,11958342,0.01,2.29434,TB|R6T010200|GBPNZD|L2
R6T010200,L3,AUDNZD.PRO,11958343,0.02,1.20243,TB|R6T010200|AUDNZD|L3
R6T020200,L1,GBPAUD.PRO,11958347,0.01,1.9082400000000002,TB|R6T020200|GBPAUD|L1
R6T020200,L2,GBPNZD.PRO,11958348,0.01,2.29434,TB|R6T020200|GBPNZD|L2
R6T020200,L3,AUDNZD.PRO,11958349,0.02,1.20243,TB|R6T020200|AUDNZD|L3
R6T030201,L1,GBPAUD.PRO,11958353,0.01,1.9082400000000002,TB|R6T030201|GBPAUD|L1
R6T030201,L2,GBPNZD.PRO,11958354,0.01,2.29434,TB|R6T030201|GBPNZD|L2
R6T030201,L3,AUDNZD.PRO,11958355,0.02,1.20243,TB|R6T030201|AUDNZD|L3
R6T040202,L1,GBPAUD.PRO,11958359,0.01,1.9082400000000002,TB|R6T040202|GBPAUD|L1
R6T040202,L2,GBPNZD.PRO,11958360,0.01,2.29434,TB|R6T040202|GBPNZD|L2
R6T040202,L3,AUDNZD.PRO,11958361,0.02,1.20243,TB|R6T040202|AUDNZD|L3
R6T050202,L1,GBPAUD.PRO,11958365,0.01,1.9082400000000002,TB|R6T050202|GBPAUD|L1
R6T050202,L2,GBPNZD.PRO,11958366,0.01,2.29434,TB|R6T050202|GBPNZD|L2
R6T050202,L3,AUDNZD.PRO,11958367,0.02,1.20243,TB|R6T050202|AUDNZD|L3
