ts_utc,attribution,symbol,volume,type,price,type_filling,retcode,comment
2026-08-17T04:16:40.199+00:00,test,GBPAUD.PRO,0.01,0,1.9082599999999998,1,10009,Request executed
2026-08-17T04:16:40.230+00:00,test,GBPNZD.PRO,0.01,1,2.29434,1,10009,Request executed
2026-08-17T04:16:40.265+00:00,test,AUDNZD.PRO,0.02,0,1.20243,1,10009,Request executed
2026-08-17T04:16:40.528+00:00,test,GBPAUD.PRO,0.01,1,1.90815,1,10009,Request executed
2026-08-17T04:16:40.560+00:00,test,GBPNZD.PRO,0.01,0,2.29446,1,10009,Request executed
2026-08-17T04:16:40.598+00:00,test,AUDNZD.PRO,0.02,1,1.20235,1,10009,Request executed
2026-08-17T04:16:41.142+00:00,test,GBPAUD.PRO,0.01,0,1.9082400000000002,1,10009,Request executed
2026-08-17T04:16:41.190+00:00,test,GBPNZD.PRO,0.01,1,2.29434,1,10009,Request executed
2026-08-17T04:16:41.222+00:00,test,AUDNZD.PRO,0.02,0,1.20243,1,10009,Request executed
2026-08-17T04:16:41.484+00:00,test,GBPAUD.PRO,0.01,1,1.90815,1,10009,Request executed
2026-08-17T04:16:41.515+00:00,test,GBPNZD.PRO,0.01,0,2.29444,1,10009,Request executed
2026-08-17T04:16:41.551+00:00,test,AUDNZD.PRO,0.02,1,1.20235,1,10009,Request executed
2026-08-17T04:16:41.601+00:00,test,GBPAUD.PRO,0.01,0,1.9082400000000002,1,10009,Request executed
2026-08-17T04:16:41.649+00:00,test,GBPNZD.PRO,0.01,1,2.29434,1,10009,Request executed
2026-08-17T04:16:41.695+00:00,test,AUDNZD.PRO,0.02,0,1.20243,1,10009,Request executed
2026-08-17T04:16:41.945+00:00,test,GBPAUD.PRO,0.01,1,1.90815,1,10009,Request executed
2026-08-17T04:16:41.973+00:00,test,GBPNZD.PRO,0.01,0,2.29444,1,10009,Request executed
2026-08-17T04:16:42.002+00:00,test,AUDNZD.PRO,0.02,1,1.20235,1,10009,Request executed
2026-08-17T04:16:42.068+00:00,test,GBPAUD.PRO,0.01,0,1.9082400000000002,1,10009,Request executed
2026-08-17T04:16:42.102+00:00,test,GBPNZD.PRO,0.01,1,2.29434,1,10009,Request executed
2026-08-17T04:16:42.135+00:00,test,AUDNZD.PRO,0.02,0,1.20243,1,10009,Request executed
2026-08-17T04:16:42.380+00:00,test,GBPAUD.PRO,0.01,1,1.90815,1,10009,Request executed
2026-08-17T04:16:42.426+00:00,test,GBPNZD.PRO,0.01,0,2.29444,1,10009,Request executed
2026-08-17T04:16:42.461+00:00,test,AUDNZD.PRO,0.02,1,1.20235,1,10009,Request executed
2026-08-17T04:16:42.513+00:00,test,GBPAUD.PRO,0.01,0,1.9082400000000002,1,10009,Request executed
2026-08-17T04:16:42.555+00:00,test,GBPNZD.PRO,0.01,1,2.29434,1,10009,Request executed
2026-08-17T04:16:42.584+00:00,test,AUDNZD.PRO,0.02,0,1.20243,1,10009,Request executed
2026-08-17T04:16:42.835+00:00,test,GBPAUD.PRO,0.01,1,1.90815,1,10009,Request executed
2026-08-17T04:16:42.869+00:00,test,GBPNZD.PRO,0.01,0,2.29444,1,10009,Request executed
2026-08-17T04:16:42.918+00:00,test,AUDNZD.PRO,0.02,1,1.20235,1,10009,Request executed
