alloc_id,heat_id,f_pct,survives_100,median_cagr_100,p95_dd_100,survives_75,median_cagr_75,p95_dd_75,survives_50,median_cagr_50,p95_dd_50,survives_25,median_cagr_25,p95_dd_25,region,dependency_sensitive,diagnostic_only
A0_50_50,H0,0.25,True,0.1448899775897351,0.020602072503020843,True,0.073533155714881,0.02736053775443758,True,0.006733778179391359,0.06314817072372098,False,-0.055984602673699535,0.19460079631687666,ROBUST_LOW_SCALE,False,False
A0_50_50,H0,0.5,True,0.30972258013168796,0.04086706955815335,True,0.15181718687302215,0.05413738309368377,True,0.01313782650931844,0.12287834858340355,False,-0.1090672398008189,0.35189172429885485,ROBUST_LOW_SCALE,False,False
A0_50_50,H0,0.75,True,0.49710671182320476,0.06079538259585799,True,0.23512668295325817,0.08036482114288478,True,0.019176157770593838,0.1793873679205475,False,-0.15938676094307933,0.4788973940782275,ROBUST_GROWTH_REGION,False,False
A0_50_50,H0,1.0,True,0.7098957979412889,0.08043830349850659,True,0.32375278883990793,0.1059455104052163,True,0.024886594878137547,0.2327141113245321,False,-0.2070842072295644,0.5813851684180285,ROBUST_GROWTH_REGION,False,False
A0_50_50,H0,1.5,True,1.225172343593246,0.11878831738082901,True,0.5179297434958942,0.15573278944052646,True,0.03525449881213638,0.33070662705773524,False,-0.2950775810160817,0.7305430916439775,AGGRESSIVE_FRAGILE,False,False
A0_50_50,H0,2.0,True,1.8865764279383244,0.15600510133525008,True,0.7368502771568404,0.20316089467951792,True,0.044149069164205135,0.41822993383303164,False,-0.37398536225416557,0.8271862105361936,AGGRESSIVE_FRAGILE,False,False
A0_50_50,H0,3.0,True,3.812822997120599,0.226847745941875,True,1.25924313570422,0.2921518890193777,True,0.057385428081869305,0.5646141805582614,False,-0.5078744267512705,0.929626306758139,AGGRESSIVE_FRAGILE,False,False
A0_50_50,H1-1.00-REJ,0.25,True,0.14375247017771142,0.02035235458506892,True,0.07318827506886605,0.026986320788138698,True,0.007032541732773678,0.06174152489671821,False,-0.05503998962715831,0.19158814590024761,ROBUST_LOW_SCALE,False,False
A0_50_50,H1-1.00-REJ,0.5,True,0.30710989165698876,0.040376532918377936,True,0.1511121608107986,0.05338788443239957,True,0.013729459571507119,0.12030336176575677,False,-0.10728406007257352,0.34703941020300466,ROBUST_LOW_SCALE,False,False
A0_50_50,H1-1.00-REJ,0.75,True,0.4925995529840582,0.060070102453523774,True,0.23402401337651152,0.07926491078644432,True,0.020114678057083946,0.1758351950182169,False,-0.1568582264107729,0.4730526805868467,ROBUST_GROWTH_REGION,False,False
A0_50_50,H1-1.00-REJ,1.0,True,0.703076498413786,0.07949108030283528,True,0.3221257570238271,0.1046195617906128,True,0.026166894019585385,0.22841607215263887,False,-0.20389452782396505,0.575098535202179,ROBUST_GROWTH_REGION,False,False
A0_50_50,H1-1.00-REJ,1.5,True,1.2120013657939124,0.11732124320688839,True,0.5151158050404261,0.153646002964381,True,0.03716300476751122,0.32507536200254,False,-0.2907784545832254,0.7243640444524138,AGGRESSIVE_FRAGILE,False,False
A0_50_50,H1-1.00-REJ,2.0,True,1.8638718738618005,0.15400668548249263,True,0.732518050743554,0.20075654956804223,True,0.04675217455449887,0.411177126564465,False,-0.36887290698345426,0.8218528775049754,AGGRESSIVE_FRAGILE,True,False
A0_50_50,H1-1.00-REJ,3.0,True,3.7559576885102337,0.22401585261840165,True,1.2509741980675857,0.2885441711170011,True,0.061367199175965004,0.5570805239137964,False,-0.5018310089758058,0.9263334282631313,AGGRESSIVE_FRAGILE,False,False
A0_50_50,H1-1.50-REJ,0.25,True,0.1448899775897351,0.020602072503020843,True,0.073533155714881,0.02736053775443758,True,0.006733778179391359,0.06314817072372098,False,-0.055984602673699535,0.19460079631687666,ROBUST_LOW_SCALE,False,False
A0_50_50,H1-1.50-REJ,0.5,True,0.30972258013168796,0.04086706955815335,True,0.15181718687302215,0.05413738309368377,True,0.01313782650931844,0.12287834858340355,False,-0.1090672398008189,0.35189172429885485,ROBUST_LOW_SCALE,False,False
A0_50_50,H1-1.50-REJ,0.75,True,0.49710671182320476,0.06079538259585799,True,0.23512668295325817,0.08036482114288478,True,0.019176157770593838,0.1793873679205475,False,-0.15938676094307933,0.4788973940782275,ROBUST_GROWTH_REGION,False,False
A0_50_50,H1-1.50-REJ,1.0,True,0.7098957979412889,0.08043830349850659,True,0.32375278883990793,0.1059455104052163,True,0.024886594878137547,0.2327141113245321,False,-0.2070842072295644,0.5813851684180285,ROBUST_GROWTH_REGION,False,False
A0_50_50,H1-1.50-REJ,1.5,True,1.225172343593246,0.11878831738082901,True,0.5179297434958942,0.15573278944052646,True,0.03525449881213638,0.33070662705773524,False,-0.2950775810160817,0.7305430916439775,AGGRESSIVE_FRAGILE,False,False
A0_50_50,H1-1.50-REJ,2.0,True,1.8865764279383244,0.15600510133525008,True,0.7368502771568404,0.20316089467951792,True,0.044149069164205135,0.41822993383303164,False,-0.37398536225416557,0.8271862105361936,AGGRESSIVE_FRAGILE,False,False
