n_paths,seed,max_dd_p5,max_dd_p25,max_dd_p50,max_dd_p75,max_dd_p90,max_dd_p95,max_dd_p99,cagr_p5,cagr_p25,cagr_p50,cagr_p75,cagr_p90,cagr_p95,cagr_p99,terminal_p5,terminal_p25,terminal_p50,terminal_p75,terminal_p90,terminal_p95,terminal_p99,min_eq_p5,min_eq_p25,min_eq_p50,min_eq_p75,min_eq_p90,min_eq_p95,min_eq_p99,dur_p50,dur_p95,time_under_water_p50,time_under_water_p95,exp_cagr,median_cagr,exp_max_dd,median_terminal,P_dd_ge_5,P_dd_ge_10,P_dd_ge_15,P_dd_ge_20,P_dd_ge_25,P_dd_ge_30,P_terminal_below_1,P_cagr_below_0,P_cagr_below_10,P_cagr_below_25,P_cagr_below_50,P_technical_ruin,P_below_90,P_below_80,P_below_75,P_below_50,insolvent,alloc_id,heat_id,f_pct,edge,scheme,block_p95_E5,block_p99_E5,block_p95_E10,block_p99_E10,block_p95_E15,block_p99_E15,block_p95_E20,block_p99_E20,block_p95_E25,block_p99_E25,block_p95_E30,block_p99_E30,episode_p95_E5,episode_p99_E5,episode_p95_E10,episode_p99_E10,episode_p95_E15,episode_p99_E15,episode_p95_E20,episode_p99_E20,episode_p95_E25,episode_p99_E25,episode_p95_E30,episode_p99_E30
10000,20260815,0.009902442414559806,0.011831684921653539,0.012957847442540247,0.015220053367827356,0.017975676421259273,0.01991599811380313,0.024051660590152995,0.11431643692128708,0.132081862902994,0.14504767623145043,0.15845151289310277,0.17029768020085123,0.17702063804173138,0.1897953897959399,1.3635158977986424,1.4267172936411332,1.4740269939145958,1.5239962965163798,1.569065437671248,1.5950246327473405,1.645118471649542,0.9913481267323262,0.9969606448544125,0.9990854529725166,1.000574733943237,1.0016434801558223,1.002252819619178,1.0034037586255224,50.0,99.0,573.0,631.0,0.14526909576250877,0.14504767623145043,0.013840386710439552,1.4740269939145958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,A0_50_50,H0,0.25,1.0,block,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,
10000,20260815,0.011150021333017174,0.013835414805594358,0.016506104791687022,0.020161900304119504,0.024448252475494505,0.02740507406306026,0.03415951671900094,0.04876562859637336,0.06319519425772852,0.07360771056389726,0.08471107316894516,0.09415666961759217,0.09984986816455346,0.1098439497591183,1.1461336893706182,1.191887760416386,1.2256319520769445,1.2622935368042272,1.294037307700554,1.313418967429952,1.3478974792424372,0.987299297930271,0.9948452523682031,0.9981171982236036,1.0000518230774695,1.0009379996067072,1.0014100203273235,1.0025528189691417,96.0,211.0,662.0,734.0,0.07390145244012183,0.07360771056389726,0.017599876634520496,1.2256319520769445,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9508,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,A0_50_50,H0,0.25,0.75,block,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,
10000,20260815,0.017287801166470634,0.0245856781192,0.032155144101692235,0.042922722644261495,0.05590271785171295,0.06425668923358682,0.08059356032303681,-0.013588201135055466,-0.001587707432120472,0.006876329731693387,0.015566377767856965,0.023270111573756982,0.027733896789163347,0.035706253602154396,0.9615665422915688,0.9954585975535323,1.019824397264137,1.0452413283351043,1.0681151791523704,1.0815168362777428,1.1057236911044732,0.9462205301287528,0.9719156164241736,0.9854217392114312,0.9946074935221736,0.9987891166421642,1.0000706270754702,1.0009369746565788,422.0,865.0,829.0,883.0,0.006951153604865864,0.006876329731693387,0.03534240604125815,1.019824397264137,0.1525,0.001,0.0,0.0,0.0,0.0,0.2935,0.2935,1.0,1.0,1.0,0.0,0.0008,0.0,0.0,0.0,0.0,A0_50_50,H0,0.25,0.5,block,False,False,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,
10000,20260815,0.11210314308819383,0.13700222868524084,0.15423716406257637,0.17158141546042247,0.1864713433185933,0.19563801423734814,0.2127468794405134,-0.07239730374759996,-0.06265103161185745,-0.05586949318103773,-0.04895704705417861,-0.042972020639489815,-0.03929711780300535,-0.03309761175183079,0.8063164184678753,0.830823454662307,0.8481584507449549,0.8660686248798375,0.8817731916331573,0.8915072588541612,0.9080865217643341,0.8051593631482483,0.8294679943345711,0.8469572295916328,0.8645220710715033,0.8802337490639954,0.8895771206781782,0.9057377260159066,884.0,889.0,886.0,889.0,-0.05585337443930314,-0.05586949318103773,0.15414871799379087,0.8481584507449549,1.0,0.9851,0.5638,0.0335,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9818,0.0308,0.0,0.0,0.0,A0_50_50,H0,0.25,0.25,block,False,False,False,False,False,False,True,False,True,True,True,True,,,,,,,,,,,,
10000,20260815,0.01973455954018936,0.02355063159556985,0.02578124066983268,0.030292394318028,0.03572995869274237,0.03952827165300374,0.04765089390369035,0.24080215559223447,0.2805668276968428,0.3100862818084098,0.3408879654966849,0.36849453771021284,0.38419156279259936,0.4144980951896569,1.8553224530104198,2.0307826946965815,2.16778482768467,2.317006865087749,2.456295395345896,2.5378694707424287,2.7003129821605754,0.9827408453566678,0.9938955941051635,0.9981709059450333,1.0011494678864736,1.0032865716125978,1.0045056392383562,1.006807517251045,50.0,99.0,573.0,632.0,0.3109540872549094,0.3100862818084098,0.027541068428390197,2.16778482768467,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0798,1.0,0.0,0.0,0.0,0.0,0.0,0.0,A0_50_50,H0,0.5,1.0,block,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,
10000,20260815,0.022232706645793895,0.027546202818592512,0.03282696835037689,0.04002616063550771,0.04843735840073186,0.05423704376726366,0.06735097956128867,0.0992850269225755,0.12974821292217947,0.15200288340810963,0.17596804677189581,0.196482584086739,0.20897713390408482,0.23104371585156402,1.3114876624269942,1.4183086990730223,1.499820548870661,1.5909419704283971,1.6717444023285104,1.7222415627437304,1.813829818736586,0.9746628128749445,0.9896750062791727,0.996222033977837,1.000103646154939,1.001874069062629,1.0028173455406817,1.0051056379382837,96.0,212.0,662.0,734.0,0.15287171672525152,0.15200288340810963,0.03496442831924884,1.499820548870661,0.0824,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0531,0.9976,1.0,0.0,0.0,0.0,0.0,0.0,0.0,A0_50_50,H0,0.5,0.75,block,False,False,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,
10000,20260815,0.03439609654762922,0.04881819694602811,0.06359478042705075,0.08460632288426481,0.10923218111022806,0.12494322025227392,0.15569193885537483,-0.027380237027641287,-0.003546618499172427,0.013418080570095858,0.031004844583940705,0.046714689155024906,0.05586472548933386,0.07232215164095011,0.9235531422805756,0.989873948858946,1.0389200000514882,1.0914063893614627,1.1397248388490782,1.1684982249477835,1.2214325826492214,0.8945201692108486,0.9440216490252472,0.9706329524829371,0.9890472515468717,0.9975113065828355,1.000128443151876,1.0018739493131577,425.0,866.0,829.0,883.0,0.013731731171386695,0.013418080570095858,0.06956264513622046,1.0389200000514882,0.7283,0.1426,0.0153,0.0009,0.0,0.0,0.2975,0.2975,0.9998,1.0,1.0,0.0,0.0619,0.0005,0.0,0.0,0.0,A0_50_50,H0,0.5,0.5,block,False,False,False,False,True,False,True,True,True,True,True,True,,,,,,,,,,,,
10000,20260815,0.2121675277676732,0.25576783825062227,0.28522418655326326,0.314275910771208,0.3387249465641055,0.3535423779647464,0.3807743702268306,-0.13981496991557918,-0.12161745751383604,-0.10885368340502477,-0.09573965421119557,-0.08431557030776861,-0.07726359181039408,-0.06529587040975447,0.649579818898581,0.6897264041513442,0.7188270798501459,0.7495467711534465,0.7769936472987578,0.7942583490909063,0.824125747251057,0.647737560112477,0.687487740324791,0.7168117918298833,0.7468754903820497,0.774300157946881,0.7908216037847571,0.8198419338163561,884.0,889.0,886.0,889.0,-0.108721352490132,-0.10885368340502477,0.28442824694683944,0.7188270798501459,1.0,1.0,0.9991,0.9745,0.7893,0.3678,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9689,0.7719,0.0,0.0,A0_50_50,H0,0.5,0.25,block,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,
10000,20260815,0.02949663754172434,0.035157646669314924,0.03847119582118877,0.045192825014826445,0.053240271921484526,0.058835620199779975,0.07081793998354947,0.3806091078821089,0.4474603915633591,0.49774285467596846,0.5508568227200806,0.5989942898162594,0.6265218907887474,0.6804116812122106,2.5190993110156867,2.8845122533145036,3.180943034480868,3.5148750321159574,3.8365240274685184,4.028776091158193,4.423068254921386,0.9741905767248904,0.9908472590899633,0.9972560604578801,1.0017242018297106,1.0049292743703262,1.0067584588575342,1.0102112758765673,50.0,99.0,574.0,632.0,0.49982538674236965,0.49774285467596846,0.04110290350044147,3.180943034480868,0.1437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.5122,0.0,0.0,0.0,0.0,0.0,0.0,A0_50_50,H0,0.75,1.0,block,False,False,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,
10000,20260815,0.033261395958956906,0.041116890078603814,0.04896486734333129,0.05963588884963812,0.07201477087549028,0.08052371563022313,0.09958037593035299,0.15164982172432862,0.1998150745619467,0.2354306819940375,0.2742227329640463,0.3076631067155039,0.32821089001810166,0.3648029393016515,1.4985041881980095,1.6851171935709617,1.8324075137672795,2.0020956553364457,2.156318760945675,2.2548080566806123,2.4373622953364342,0.962164275553435,0.9844079256785071,0.9943155115498221,1.0001179934918965,1.0028083465027833,1.0042166650743565,1.0076584569074254,97.0,214.0,663.0,735.0,0.237228480675237,0.2354306819940375,0.0520954335910336,1.8324075137672795,0.4686,0.0096,0.0001,0.0,0.0,0.0,0.0,0.0,0.0047,0.5967,1.0,0.0,0.0004,0.0,0.0,0.0,0.0,A0_50_50,H0,0.75,0.75,block,False,False,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,
