alloc_id,heat_id,f_pct,edge,scheme,p95_dd_ci_lo,p95_dd_ci_hi,p99_dd_ci_lo,p99_dd_ci_hi,median_cagr_ci_lo,median_cagr_ci_hi
A0_50_50,H0,0.25,1.0,block,0.019681284247193787,0.020075435473862615,0.023594163710472134,0.024494500526034458,0.14453489271738915,0.14552371137082135
A0_50_50,H0,0.25,0.75,block,0.02717828742478465,0.0277545362233268,0.03335149527259701,0.03490867188617113,0.07325176145138884,0.0740329959350363
A0_50_50,H0,0.25,0.5,block,0.06363850320215093,0.06482467860753102,0.07939736642545192,0.08342597828914458,0.006519250953201178,0.007189699812169925
A0_50_50,H0,0.25,0.25,block,0.19469846605819338,0.19635986434584055,0.21113804342141618,0.2147272681768562,-0.05611385335490784,-0.055627941137135206
A0_50_50,H0,0.5,1.0,block,0.03907958168626754,0.039855816309429255,0.04679554634959467,0.0485126036068537,0.308868382543667,0.3111744844405874
A0_50_50,H0,0.5,0.75,block,0.05379357332478552,0.054915955003090655,0.06582156521984,0.06889640242121882,0.15125841253177255,0.15291073698631627
A0_50_50,H0,0.5,0.5,block,0.1237565893987023,0.12605378716522636,0.15323225616742084,0.16079666272068285,0.0127208519489933,0.014062461748833965
A0_50_50,H0,0.5,0.25,block,0.3520819053083787,0.35468089865591124,0.37824366579993435,0.3839135776398362,-0.10931684899402597,-0.10839425315998906
A0_50_50,H0,0.75,1.0,block,0.058259404082604355,0.059387524313166164,0.06965475339651951,0.07209098244632926,0.4956224208754412,0.49958876102765487
A0_50_50,H0,0.75,0.75,block,0.07981910137205112,0.08149120840639305,0.0973305860345536,0.10197383661048494,0.23423838029221034,0.23688072215693254
A0_50_50,H0,0.75,0.5,block,0.1805070228259729,0.18396178869302063,0.22166443984164974,0.23222064929757788,0.018513372870077253,0.020612352806992734
A0_50_50,H0,0.75,0.25,block,0.4791471011022207,0.4822889557027932,0.510328350128862,0.5170950694824861,-0.15973100126844705,-0.15843771160327247
A0_50_50,H0,1.0,1.0,block,0.07708566831288376,0.07858454520567303,0.0920096126030997,0.09534845287905463,0.7076309602905733,0.7137445356350606
A0_50_50,H0,1.0,0.75,block,0.10531972541367911,0.10758440971415358,0.128143901834678,0.13391968151214884,0.32246953228843384,0.3262311752940056
A0_50_50,H0,1.0,0.5,block,0.23417939121911702,0.23851147128411268,0.28523586958627806,0.29795992432839086,0.023984275011179095,0.02682634199121826
