identity,output,numerator,denominator,observations,mean_residual,std_residual,max_abs_residual,pct_abs_residual_gt_1e-6
EURGBP~EURUSD/GBPUSD,EURGBP,EURUSD,GBPUSD,17245,4.3e-07,0.0008407,0.00780501,99.855
GBPCHF~GBPUSD/USDCHF,GBPCHF,GBPUSD,USDCHF,18111,-1.362e-05,0.00204183,0.02997074,99.8785
EURCHF~EURUSD/USDCHF,EURCHF,EURUSD,USDCHF,17240,-1.025e-05,0.00192441,0.02686936,99.9188
EURJPY~EURUSD/USDJPY,EURJPY,EURUSD,USDJPY,17240,1.028e-05,0.00212784,0.02771213,99.9652
GBPJPY~GBPUSD/USDJPY,GBPJPY,GBPUSD,USDJPY,23138,1.437e-05,0.00266481,0.05466587,99.9438
CHFJPY~USDCHF/USDJPY,CHFJPY,USDCHF,USDJPY,17946,2.391e-05,0.00200356,0.03789111,99.9498
