symbol,year_month,expected_bars,observed_bars,valid_bars,missing_bars,unexpected_missing_pct,coverage_pct
EURUSD,2015-10,12,12,0,12,100.0,0.0
EURUSD,2015-11,17,17,0,17,100.0,0.0
EURUSD,2015-12,18,18,0,18,100.0,0.0
EURUSD,2016-01,16,16,0,16,100.0,0.0
EURUSD,2016-02,17,17,0,17,100.0,0.0
EURUSD,2016-03,19,19,0,19,100.0,0.0
EURUSD,2016-04,16,16,0,16,100.0,0.0
EURUSD,2016-05,18,18,0,18,100.0,0.0
EURUSD,2016-06,18,18,0,18,100.0,0.0
EURUSD,2016-07,16,16,0,16,100.0,0.0
EURUSD,2016-08,19,19,0,19,100.0,0.0
EURUSD,2016-09,17,17,0,17,100.0,0.0
EURUSD,2016-10,17,17,0,17,100.0,0.0
EURUSD,2016-11,18,18,0,18,100.0,0.0
EURUSD,2016-12,17,17,0,17,100.0,0.0
EURUSD,2017-01,18,18,0,18,100.0,0.0
EURUSD,2017-02,16,16,0,16,100.0,0.0
EURUSD,2017-03,18,18,0,18,100.0,0.0
EURUSD,2017-04,16,16,0,16,100.0,0.0
EURUSD,2017-05,19,19,0,19,100.0,0.0
EURUSD,2017-06,17,17,0,17,100.0,0.0
EURUSD,2017-07,17,17,0,17,100.0,0.0
EURUSD,2017-08,19,19,0,19,100.0,0.0
EURUSD,2017-09,16,16,0,16,100.0,0.0
EURUSD,2017-10,18,18,0,18,100.0,0.0
EURUSD,2017-11,18,18,0,18,100.0,0.0
EURUSD,2017-12,16,16,0,16,100.0,0.0
EURUSD,2018-01,19,19,0,19,100.0,0.0
EURUSD,2018-02,16,16,0,16,100.0,0.0
EURUSD,2018-03,17,17,0,17,100.0,0.0
EURUSD,2018-04,17,17,0,17,100.0,0.0
EURUSD,2018-05,19,19,0,19,100.0,0.0
EURUSD,2018-06,16,16,0,16,100.0,0.0
EURUSD,2018-07,18,18,0,18,100.0,0.0
EURUSD,2018-08,18,18,0,18,100.0,0.0
EURUSD,2018-09,16,16,0,16,100.0,0.0
EURUSD,2018-10,19,19,0,19,100.0,0.0
EURUSD,2018-11,17,17,0,17,100.0,0.0
EURUSD,2018-12,15,15,0,15,100.0,0.0
EURUSD,2019-01,19,19,0,19,100.0,0.0
EURUSD,2019-02,16,16,0,16,100.0,0.0
EURUSD,2019-03,16,16,0,16,100.0,0.0
EURUSD,2019-04,18,18,0,18,100.0,0.0
EURUSD,2019-05,18,18,0,18,100.0,0.0
