time,open,high,low,close,volume
2015-10-10T20:00:00,0.64201,0.65518,0.63349,0.64895,0
2015-10-17T20:00:00,0.64772,0.66821,0.63953,0.65988,0
2015-10-24T20:00:00,0.65997,0.67043,0.65689,0.66855,0
2015-10-31T20:00:00,0.66448,0.66985,0.65233,0.65573,0
2015-11-07T19:00:00,0.65486,0.66095,0.6525,0.65742,0
2015-11-14T19:00:00,0.65823,0.6703,0.65117,0.66762,0
2015-11-21T19:00:00,0.66832,0.6746,0.66123,0.67193,0
2015-11-28T19:00:00,0.67259,0.68763,0.66018,0.67169,0
2015-12-05T19:00:00,0.67174,0.67187,0.64563,0.65936,0
2015-12-12T19:00:00,0.65997,0.67465,0.65877,0.66682,0
2015-12-19T19:00:00,0.66738,0.67855,0.66649,0.67448,0
2015-12-26T19:00:00,0.67302,0.68638,0.67302,0.68263,0
2016-01-02T19:00:00,0.68294,0.68328,0.65037,0.65038,0
2016-01-09T19:00:00,0.65018,0.66257,0.63822,0.647,0
2016-01-16T19:00:00,0.64273,0.66125,0.63449,0.65881,0
2016-01-23T19:00:00,0.65904,0.66655,0.65013,0.66248,0
2016-01-30T19:00:00,0.66221,0.67413,0.65599,0.65666,0
2016-02-06T19:00:00,0.65541,0.66071,0.63704,0.64609,0
2016-02-13T19:00:00,0.64575,0.66095,0.64574,0.65535,0
2016-02-20T19:00:00,0.65733,0.67201,0.6527,0.66001,0
2016-02-27T19:00:00,0.65666,0.67768,0.65431,0.6766,0
2016-03-05T19:00:00,0.67404,0.68077,0.65328,0.66258,0
2016-03-12T19:00:00,0.66018,0.66551,0.64938,0.65764,0
2016-03-19T20:00:00,0.65801,0.65999,0.65097,0.65193,0
2016-03-26T20:00:00,0.65193,0.67089,0.65165,0.66153,0
2016-04-02T20:00:00,0.65942,0.66134,0.64592,0.6492,0
2016-04-09T20:00:00,0.64798,0.67023,0.64676,0.66929,0
2016-04-16T20:00:00,0.66458,0.67876,0.66139,0.66983,0
2016-04-23T20:00:00,0.66987,0.67614,0.66153,0.66934,0
2016-04-30T20:00:00,0.66788,0.67268,0.65642,0.66508,0
2016-05-07T20:00:00,0.66383,0.66598,0.65358,0.65973,0
2016-05-14T20:00:00,0.65915,0.67199,0.65843,0.66963,0
2016-05-21T20:00:00,0.66988,0.67408,0.66253,0.66553,0
2016-05-28T20:00:00,0.66513,0.68102,0.66314,0.67823,0
2016-06-04T20:00:00,0.67818,0.68917,0.66841,0.6807,0
2016-06-11T20:00:00,0.68076,0.68398,0.67058,0.67678,0
2016-06-18T20:00:00,0.67927,0.70098,0.67716,0.69167,0
2016-06-25T20:00:00,0.68858,0.70007,0.68248,0.69695,0
2016-07-02T20:00:00,0.69656,0.71815,0.69219,0.71793,0
2016-07-09T20:00:00,0.71574,0.72266,0.69846,0.69867,0
2016-07-16T20:00:00,0.70098,0.70308,0.68581,0.69071,0
2016-07-23T20:00:00,0.68998,0.70167,0.68771,0.69818,0
2016-07-30T20:00:00,0.69804,0.70314,0.69278,0.69993,0
2016-08-06T20:00:00,0.69868,0.71161,0.69417,0.70174,0
2016-08-13T20:00:00,0.69974,0.70378,0.6919,0.69779,0
2016-08-20T20:00:00,0.69686,0.71289,0.69486,0.70748,0
2016-08-27T20:00:00,0.70708,0.71788,0.70527,0.7144,0
2016-09-03T20:00:00,0.7138,0.72489,0.7133,0.71415,0
2016-09-10T20:00:00,0.7138,0.71572,0.70595,0.71212,0
2016-09-17T20:00:00,0.7112,0.72014,0.70001,0.7023,0
2016-09-24T20:00:00,0.70212,0.71052,0.69853,0.70721,0
2016-10-01T20:00:00,0.70656,0.71454,0.69698,0.70062,0
2016-10-08T20:00:00,0.70218,0.70316,0.6943,0.70149,0
2016-10-15T20:00:00,0.70213,0.71853,0.70081,0.71146,0
2016-10-22T20:00:00,0.712,0.71406,0.70514,0.70716,0
2016-10-29T20:00:00,0.70584,0.71463,0.69769,0.7092,0
