time,open,high,low,close,volume
2015-10-11T20:00:00,120.159,120.214,119.885,120.043,0
2015-10-12T20:00:00,120.028,120.035,119.544,119.731,0
2015-10-13T20:00:00,119.747,119.757,118.622,118.845,0
2015-10-14T20:00:00,118.841,119.161,118.055,119.071,0
2015-10-15T20:00:00,119.08,119.653,118.898,119.468,0
2015-10-17T20:00:00,119.373,119.427,119.273,119.291,0
2015-10-18T20:00:00,119.299,119.605,119.131,119.504,0
2015-10-19T20:00:00,119.48,119.955,119.404,119.786,0
2015-10-20T20:00:00,119.794,120.083,119.787,119.851,0
2015-10-21T20:00:00,119.863,120.939,119.607,120.88,0
2015-10-22T20:00:00,120.885,121.466,120.218,121.455,0
2015-10-24T20:00:00,121.455,121.502,121.283,121.311,0
2015-10-25T20:00:00,121.326,121.326,120.588,120.958,0
2015-10-26T20:00:00,120.975,120.975,120.152,120.474,0
2015-10-27T20:00:00,120.469,121.25,120.018,120.874,0
2015-10-28T20:00:00,120.884,121.175,120.579,121.031,0
2015-10-29T20:00:00,121.032,121.476,120.272,120.645,0
2015-10-31T20:00:00,120.422,120.566,120.422,120.497,0
2015-11-01T19:00:00,120.509,120.803,120.25,120.784,0
2015-11-02T19:00:00,120.809,121.221,120.588,121.079,0
2015-11-03T19:00:00,121.089,121.709,120.993,121.517,0
2015-11-04T19:00:00,121.534,121.994,121.379,121.684,0
2015-11-05T19:00:00,121.678,123.259,121.624,123.144,0
2015-11-07T19:00:00,123.29,123.33,123.19,123.19,0
2015-11-08T19:00:00,123.211,123.596,122.968,123.043,0
2015-11-09T19:00:00,123.056,123.429,123.033,123.081,0
2015-11-10T19:00:00,123.08,123.197,122.729,122.745,0
2015-11-11T19:00:00,122.763,123.063,122.547,122.582,0
2015-11-12T19:00:00,122.594,122.98,122.432,122.616,0
2015-11-14T19:00:00,122.332,122.439,122.219,122.294,0
2015-11-15T19:00:00,122.332,123.326,122.316,123.256,0
2015-11-16T19:00:00,123.255,123.48,123.177,123.433,0
2015-11-17T19:00:00,123.428,123.75,123.21,123.509,0
2015-11-18T19:00:00,123.498,123.556,122.613,122.898,0
2015-11-19T19:00:00,122.897,123.043,122.715,122.821,0
2015-11-21T19:00:00,122.852,122.931,122.84,122.924,0
